#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,AA.ngb-st9                    
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,10/03/2017 4:03:09 PM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,AA                            
#SAMPLE MASS /mg:            ,10.4106                       
#MATERIAL:                   ,KHCO3                         
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,311.8469                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.34300, 0.00000,-2.474829e-003
 31.34300, 0.00167,-3.073340e-003
 31.34500, 0.00333,-3.068948e-003
 31.34500, 0.00500,-3.161714e-003
 31.34400, 0.00667,-3.152580e-003
 31.34200, 0.00833,-3.144568e-003
 31.34300, 0.01000,-3.139400e-003
 31.34300, 0.01167,-3.437413e-003
 31.34400, 0.01333,-3.437760e-003
 31.34500, 0.01500,-3.439175e-003
 31.34600, 0.01667,-3.440316e-003
 31.34500, 0.01833,-3.639709e-003
 31.34800, 0.02000,-3.636178e-003
 31.34800, 0.02167,-3.629271e-003
 31.34600, 0.02333,-3.619295e-003
 31.34600, 0.02500,-3.807602e-003
 31.34600, 0.02667,-3.796297e-003
 31.34400, 0.02833,-3.887200e-003
 31.34400, 0.03000,-3.881209e-003
 31.34400, 0.03167,-3.977719e-003
 31.34500, 0.03333,-3.974380e-003
 31.34700, 0.03500,-4.068835e-003
 31.34800, 0.03667,-4.060551e-003
 31.34300, 0.03833,-4.251031e-003
 31.34300, 0.04000,-4.242518e-003
 31.34400, 0.04167,-4.236708e-003
 31.34500, 0.04333,-4.234113e-003
 31.34400, 0.04500,-4.434194e-003
 31.34300, 0.04667,-4.435909e-003
 31.34700, 0.04833,-4.437812e-003
 31.34700, 0.05000,-4.438408e-003
 31.34700, 0.05167,-4.736944e-003
 31.34700, 0.05333,-4.733741e-003
 31.34600, 0.05500,-4.829561e-003
 31.34700, 0.05667,-4.824605e-003
 31.34700, 0.05833,-4.918465e-003
 31.34700, 0.06000,-4.911202e-003
 31.34800, 0.06167,-5.004350e-003
 31.34400, 0.06333,-5.000522e-003
 31.34400, 0.06500,-5.201543e-003
 31.34600, 0.06667,-5.206827e-003
 31.34800, 0.06833,-5.213206e-003
 31.35100, 0.07000,-5.217131e-003
 31.35100, 0.07167,-5.317535e-003
 31.34900, 0.07333,-5.316406e-003
 31.34800, 0.07500,-5.317408e-003
 31.34900, 0.07667,-5.323531e-003
 31.35000, 0.07833,-5.435486e-003
 31.35300, 0.08000,-5.452223e-003
 31.35500, 0.08167,-5.472214e-003
 31.35600, 0.08333,-5.494596e-003
 31.36000, 0.08500,-5.619787e-003
 31.36100, 0.08667,-5.649124e-003
 31.36300, 0.08833,-5.683841e-003
 31.36800, 0.09000,-5.724501e-003
 31.37200, 0.09167,-5.770826e-003
 31.37700, 0.09333,-5.821616e-003
 31.38100, 0.09500,-5.875174e-003
