#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,BB.ngb-st9                    
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,13/03/2017 9:42:59 AM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,BB                            
#SAMPLE MASS /mg:            ,16.1549                       
#MATERIAL:                   ,KHCO3                         
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,311.0814                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.97300, 0.00000,-1.997354e-003
 31.97200, 0.00167,-2.099784e-003
 31.97200, 0.00333,-2.103281e-003
 31.97300, 0.00500,-2.107833e-003
 31.97200, 0.00667,-2.213273e-003
 31.97300, 0.00833,-2.219080e-003
 31.97300, 0.01000,-2.225297e-003
 31.97300, 0.01167,-2.232162e-003
 31.97300, 0.01333,-2.239726e-003
 31.97400, 0.01500,-2.247695e-003
 31.97400, 0.01667,-2.255161e-003
 31.97500, 0.01833,-2.260981e-003
 31.97600, 0.02000,-2.464563e-003
 31.97500, 0.02167,-2.466182e-003
 31.97400, 0.02333,-2.466724e-003
 31.97400, 0.02500,-2.467028e-003
 31.97400, 0.02667,-2.467545e-003
 31.97500, 0.02833,-2.468533e-003
 31.97300, 0.03000,-2.470369e-003
 31.97300, 0.03167,-2.473448e-003
 31.97400, 0.03333,-2.477962e-003
 31.97400, 0.03500,-2.483578e-003
 31.97400, 0.03667,-2.589474e-003
 31.97500, 0.03833,-2.594722e-003
 31.97500, 0.04000,-2.598700e-003
 31.97600, 0.04167,-2.601131e-003
 31.97400, 0.04333,-2.602035e-003
 31.97500, 0.04500,-2.601428e-003
 31.97500, 0.04667,-2.599275e-003
 31.97400, 0.04833,-2.595647e-003
 31.97400, 0.05000,-2.591456e-003
 31.97300, 0.05167,-2.588839e-003
 31.97100, 0.05333,-2.690278e-003
 31.97100, 0.05500,-2.697276e-003
 31.97200, 0.05667,-2.709154e-003
 31.97400, 0.05833,-2.722840e-003
 31.97700, 0.06000,-2.734564e-003
 31.97800, 0.06167,-2.741892e-003
 31.97600, 0.06333,-2.744440e-003
 31.97600, 0.06500,-2.743479e-003
 31.97600, 0.06667,-2.841142e-003
 31.97600, 0.06833,-2.839716e-003
 31.97400, 0.07000,-2.841395e-003
 31.97400, 0.07167,-2.847417e-003
 31.97400, 0.07333,-2.857326e-003
 31.97800, 0.07500,-2.868896e-003
 31.97800, 0.07667,-2.879642e-003
 31.98000, 0.07833,-2.888771e-003
 31.97900, 0.08000,-2.897957e-003
 31.97700, 0.08167,-2.910113e-003
 31.98000, 0.08333,-3.127886e-003
 31.98200, 0.08500,-3.152863e-003
 31.98300, 0.08667,-3.185040e-003
 31.98600, 0.08833,-3.223065e-003
 31.99100, 0.09000,-3.065127e-003
 31.99600, 0.09167,-3.109623e-003
 31.99800, 0.09333,-3.155621e-003
 32.00100, 0.09500,-3.202999e-003
 32.00800, 0.09667,-3.252289e-003
 32.01100, 0.09833,-3.304341e-003
 32.01500, 0.10000,-3.259819e-003
 32.02000, 0.10167,-3.319349e-003
 32.02700, 0.10333,-3.383146e-003
 32.03200, 0.10500,-3.450799e-003
 32.03900, 0.10667,-3.421813e-003
 32.04600, 0.10833,-3.496000e-003
 32.05200, 0.11000,-3.572977e-003
 32.06000, 0.11167,-3.651966e-003
 32.06900, 0.11333,-3.432144e-003
