#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,B.ngb-st9                     
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,10/03/2017 9:20:53 AM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,B                             
#SAMPLE MASS /mg:            ,12.0508                       
#MATERIAL:                   ,KHCO3                         
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,311.0480                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.53600, 0.00000,-1.041827e-003
 31.53500, 0.00167,-1.447523e-003
 31.53300, 0.00333,-1.757387e-003
 31.53500, 0.00500,-1.771336e-003
 31.53300, 0.00667,-1.788960e-003
 31.53200, 0.00833,-1.808800e-003
 31.53500, 0.01000,-1.929251e-003
 31.53600, 0.01167,-1.948908e-003
 31.53600, 0.01333,-1.966679e-003
 31.53400, 0.01500,-1.982437e-003
 31.53500, 0.01667,-2.096686e-003
 31.53600, 0.01833,-2.110050e-003
 31.53500, 0.02000,-2.123229e-003
 31.53400, 0.02167,-2.137058e-003
 31.53400, 0.02333,-2.251963e-003
 31.53400, 0.02500,-2.267148e-003
 31.53600, 0.02667,-2.281184e-003
 31.53700, 0.02833,-2.293448e-003
 31.53400, 0.03000,-2.604654e-003
 31.53300, 0.03167,-2.616137e-003
 31.53400, 0.03333,-2.628694e-003
 31.53500, 0.03500,-2.642337e-003
 31.53600, 0.03667,-2.757064e-003
 31.53300, 0.03833,-2.773476e-003
 31.53400, 0.04000,-2.792154e-003
 31.53600, 0.04167,-2.912827e-003
 31.53700, 0.04333,-2.933984e-003
 31.53800, 0.04500,-2.953257e-003
 31.53800, 0.04667,-2.968314e-003
 31.54000, 0.04833,-2.977616e-003
 31.54000, 0.05000,-3.181576e-003
 31.53800, 0.05167,-3.182843e-003
 31.53400, 0.05333,-3.184872e-003
 31.53400, 0.05500,-3.190011e-003
 31.53600, 0.05667,-3.398407e-003
 31.53600, 0.05833,-3.408612e-003
 31.53600, 0.06000,-3.419600e-003
 31.53600, 0.06167,-3.431792e-003
 31.53400, 0.06333,-3.546085e-003
 31.53600, 0.06500,-3.562631e-003
 31.53800, 0.06667,-3.780571e-003
 31.53800, 0.06833,-3.798335e-003
 31.53900, 0.07000,-3.914600e-003
 31.54000, 0.07167,-3.929109e-003
 31.54000, 0.07333,-3.942617e-003
 31.54000, 0.07500,-3.956588e-003
 31.54000, 0.07667,-4.172908e-003
 31.54100, 0.07833,-4.193302e-003
 31.54200, 0.08000,-4.218758e-003
 31.54300, 0.08167,-4.249381e-003
 31.54700, 0.08333,-4.484613e-003
 31.54900, 0.08500,-4.523881e-003
 31.55200, 0.08667,-4.566740e-003
 31.55400, 0.08833,-4.612654e-003
 31.55900, 0.09000,-4.660950e-003
 31.56400, 0.09167,-4.711005e-003
 31.56600, 0.09333,-4.862447e-003
 31.57000, 0.09500,-4.915509e-003
 31.57600, 0.09667,-4.971176e-003
 31.57900, 0.09833,-5.030793e-003
 31.58400, 0.10000,-5.095480e-003
 31.58900, 0.10167,-5.165774e-003
 31.59600, 0.10333,-5.141005e-003
 31.60400, 0.10500,-5.219838e-003
 31.61100, 0.10667,-5.301486e-003
 31.61700, 0.10833,-5.385640e-003
 31.62300, 0.11000,-5.271898e-003
 31.63500, 0.11167,-5.359481e-003
 31.64200, 0.11333,-5.447586e-003
 31.64900, 0.11500,-5.535701e-003
 31.65700, 0.11667,-5.424112e-003
 31.66700, 0.11833,-5.513830e-003
 31.67500, 0.12000,-5.505821e-003
 31.68200, 0.12167,-5.600521e-003
 31.69300, 0.12333,-5.497783e-003
 31.70400, 0.12500,-5.596982e-003
 31.71300, 0.12667,-5.597496e-003
 31.72300, 0.12833,-5.699261e-003
 31.73300, 0.13000,-5.702694e-003
 31.74400, 0.13167,-5.808017e-003
 31.75600, 0.13333,-5.615056e-003
 31.76600, 0.13500,-5.723348e-003
 31.77800, 0.13667,-5.632027e-003
 31.79000, 0.13833,-5.440313e-003
 31.80300, 0.14000,-5.548030e-003
 31.81300, 0.14167,-5.455709e-003
 31.82400, 0.14333,-5.564217e-003
 31.83800, 0.14500,-5.574304e-003
 31.85000, 0.14667,-5.685953e-003
 31.86200, 0.14833,-5.497977e-003
 31.87600, 0.15000,-5.608893e-003
 31.89100, 0.15167,-5.517740e-003
 31.90100, 0.15333,-5.624314e-003
 31.91400, 0.15500,-5.328880e-003
 31.92700, 0.15667,-5.431897e-003
 31.94100, 0.15833,-5.233564e-003
 31.95300, 0.16000,-5.333961e-003
 31.96500, 0.16167,-5.233526e-003
 31.97900, 0.16333,-5.332845e-003
 31.99100, 0.16500,-5.132089e-003
 32.00500, 0.16667,-5.230931e-003
 32.01900, 0.16833,-5.228910e-003
 32.03100, 0.17000,-5.325403e-003
 32.04500, 0.17167,-5.019678e-003
 32.05900, 0.17333,-5.111102e-003
 32.07100, 0.17500,-4.999043e-003
 32.08500, 0.17667,-5.083459e-003
 32.09800, 0.17833,-5.065436e-003
 32.10800, 0.18000,-5.146245e-003
 32.12100, 0.18167,-4.926390e-003
 32.13600, 0.18333,-5.005692e-003
 32.14900, 0.18500,-4.883565e-003
 32.16000, 0.18667,-4.959666e-003
 32.17300, 0.18833,-4.834219e-003
 32.18600, 0.19000,-4.907441e-003
 32.19900, 0.19167,-4.879071e-003
 32.21200, 0.19333,-4.948838e-003
 32.22400, 0.19500,-4.816849e-003
 32.23600, 0.19667,-4.883340e-003
 32.24900, 0.19833,-4.748486e-003
 32.26200, 0.20000,-4.812394e-003
 32.27400, 0.20167,-4.775107e-003
