#EXPORTTYPE:                 ,DATA SINGLE                    
#FILE:                       ,CC.ngb-st9                     
#FORMAT:                     ,NETZSCH5                       
#FTYPE:                      ,ANSI                           
#IDENTITY:                   ,Saras                          
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,TG                             
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra         
#PROJECT:                    ,IL                             
#DATE/TIME:                  ,13/03/2017 12:15:15 PM (UTC+11)
#CORR. FILE:                 ,                               
#TEMPCAL:                    ,TCALZERO.TCX                   
#LABORATORY:                 ,Capture Lab                    
#OPERATOR:                   ,NJN                            
#REMARK:                     ,Training run                   
#SAMPLE:                     ,CC                             
#SAMPLE MASS /mg:            ,13.7182                        
#MATERIAL:                   ,KHCO3                          
#TYPE OF CRUCIBLE:           ,Al2O3                          
#SAMPLE CRUCIBLE MASS /mg:   ,311.7463                       
#REFERENCE CRUCIBLE MASS /mg:,                               
#M.RANGE /mg:                ,2000                           
#CORR. CODE:                 ,090                            
#RANGE:                      ,32°C/10.0(K/min)/800°C         
#SEGMENT:                    ,S1/1                           
#SEG. 1:                     ,32°C/10.0(K/min)/800°C         

##Temp./°C,Time/min,Mass loss/mg
 31.28800, 0.00000,-2.438551e-003
 31.29000, 0.00167,-3.638755e-003
 31.29000, 0.00333,-3.737718e-003
 31.29000, 0.00500,-3.735449e-003
 31.29000, 0.00667,-3.931884e-003
 31.29100, 0.00833,-3.927294e-003
 31.29100, 0.01000,-4.121948e-003
 31.29100, 0.01167,-4.116358e-003
 31.29000, 0.01333,-4.211526e-003
 31.29100, 0.01500,-4.208355e-003
 31.29000, 0.01667,-4.507028e-003
 31.29200, 0.01833,-4.506932e-003
 31.29300, 0.02000,-4.606911e-003
 31.29200, 0.02167,-4.605428e-003
 31.29400, 0.02333,-4.700984e-003
 31.29400, 0.02500,-4.692841e-003
 31.29400, 0.02667,-4.981369e-003
 31.29200, 0.02833,-4.968250e-003
 31.29100, 0.03000,-5.055529e-003
 31.28900, 0.03167,-5.043977e-003
 31.29100, 0.03333,-5.332953e-003
 31.29200, 0.03500,-5.321925e-003
 31.29000, 0.03667,-5.411887e-003
 31.28700, 0.03833,-5.405399e-003
 31.28700, 0.04000,-5.604601e-003
 31.28800, 0.04167,-5.609122e-003
 31.29200, 0.04333,-5.816216e-003
 31.29300, 0.04500,-5.822529e-003
 31.29200, 0.04667,-6.025742e-003
 31.29400, 0.04833,-6.025346e-003
