#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,C.ngb-st9                     
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,10/03/2017 1:22:58 PM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,C                             
#SAMPLE MASS /mg:            ,12.0878                       
#MATERIAL:                   ,KHCO3                         
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,310.9768                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.32300, 0.00000,-3.155927e-003
 31.32500, 0.00167,-3.953118e-003
 31.32600, 0.00333,-3.946119e-003
 31.32700, 0.00500,-3.934991e-003
 31.32700, 0.00667,-3.920437e-003
 31.32700, 0.00833,-4.204817e-003
 31.32600, 0.01000,-4.189006e-003
 31.32700, 0.01167,-4.272737e-003
 31.32800, 0.01333,-4.255730e-003
 31.32800, 0.01500,-4.338046e-003
 31.32600, 0.01667,-4.320239e-003
 31.32600, 0.01833,-4.502901e-003
 31.32700, 0.02000,-4.486138e-003
 31.32700, 0.02167,-4.569630e-003
 31.32700, 0.02333,-4.553371e-003
 31.32600, 0.02500,-4.638306e-003
 31.32600, 0.02667,-4.625554e-003
 31.32500, 0.02833,-4.715443e-003
 31.32800, 0.03000,-4.707207e-003
 31.32800, 0.03167,-4.899199e-003
 31.32800, 0.03333,-4.889642e-003
 31.33000, 0.03500,-4.977637e-003
 31.32900, 0.03667,-4.963534e-003
 31.32800, 0.03833,-5.048474e-003
 31.32800, 0.04000,-5.034028e-003
 31.32800, 0.04167,-5.121668e-003
 31.32800, 0.04333,-5.111813e-003
 31.32700, 0.04500,-5.303541e-003
 31.33000, 0.04667,-5.294981e-003
 31.33100, 0.04833,-5.384423e-003
 31.33000, 0.05000,-5.371421e-003
 31.32900, 0.05167,-5.557033e-003
 31.32800, 0.05333,-5.543192e-003
 31.32900, 0.05500,-5.731481e-003
 31.32800, 0.05667,-5.722590e-003
 31.32900, 0.05833,-5.816674e-003
 31.33000, 0.06000,-5.813524e-003
 31.32900, 0.06167,-5.912113e-003
 31.33100, 0.06333,-5.910460e-003
 31.33400, 0.06500,-6.006626e-003
 31.33400, 0.06667,-6.000035e-003
 31.33300, 0.06833,-6.192126e-003
 31.33100, 0.07000,-6.185587e-003
 31.33200, 0.07167,-6.382342e-003
 31.33400, 0.07333,-6.382679e-003
 31.33600, 0.07500,-6.386131e-003
 31.33600, 0.07667,-6.392554e-003
 31.33600, 0.07833,-6.402294e-003
 31.33900, 0.08000,-6.415609e-003
 31.34200, 0.08167,-6.732289e-003
 31.34400, 0.08333,-6.751956e-003
 31.34600, 0.08500,-6.774644e-003
 31.34900, 0.08667,-6.800809e-003
 31.35200, 0.08833,-6.830767e-003
 31.35600, 0.09000,-6.864308e-003
 31.36000, 0.09167,-6.901136e-003
 31.36500, 0.09333,-6.941357e-003
 31.36800, 0.09500,-6.785358e-003
 31.37200, 0.09667,-6.833329e-003
 31.38000, 0.09833,-6.785174e-003
 31.38500, 0.10000,-6.841186e-003
 31.39100, 0.10167,-6.902006e-003
 31.39400, 0.10333,-6.968058e-003
 31.40500, 0.10500,-6.838711e-003
 31.41300, 0.10667,-6.912120e-003
 31.42000, 0.10833,-6.785761e-003
 31.42800, 0.11000,-6.857982e-003
 31.43700, 0.11167,-6.828975e-003
 31.44300, 0.11333,-6.900337e-003
 31.45000, 0.11500,-6.774593e-003
 31.45900, 0.11667,-6.854268e-003
 31.46600, 0.11833,-6.740487e-003
 31.47800, 0.12000,-6.832892e-003
 31.48900, 0.12167,-6.630583e-003
 31.49800, 0.12333,-6.732214e-003
 31.50900, 0.12500,-6.536097e-003
 31.52300, 0.12667,-6.640473e-003
 31.53400, 0.12833,-6.343512e-003
 31.54500, 0.13000,-6.444036e-003
 31.55700, 0.13167,-6.342201e-003
 31.56700, 0.13333,-6.439102e-003
 31.57900, 0.13500,-6.235991e-003
 31.59000, 0.13667,-6.333631e-003
 31.60100, 0.13833,-6.131653e-003
 31.61500, 0.14000,-6.228897e-003
 31.62700, 0.14167,-5.924823e-003
 31.63900, 0.14333,-6.020281e-003
 31.64800, 0.14500,-5.717365e-003
 31.66100, 0.14667,-5.817776e-003
 31.67400, 0.14833,-5.721545e-003
 31.69000, 0.15000,-5.827046e-003
 31.70200, 0.15167,-5.532142e-003
 31.71500, 0.15333,-5.634855e-003
 31.72900, 0.15500,-5.433895e-003
 31.74400, 0.15667,-5.529401e-003
 31.75600, 0.15833,-5.422997e-003
 31.76500, 0.16000,-5.516913e-003
 31.78000, 0.16167,-5.212505e-003
 31.79500, 0.16333,-5.309185e-003
 31.80900, 0.16500,-5.005017e-003
 31.82400, 0.16667,-5.098705e-003
 31.83500, 0.16833,-4.990413e-003
 31.84800, 0.17000,-5.080531e-003
 31.86300, 0.17167,-4.868751e-003
 31.87800, 0.17333,-4.954223e-003
 31.89100, 0.17500,-4.836684e-003
 31.90300, 0.17667,-4.917022e-003
 31.91400, 0.17833,-4.896282e-003
 31.93000, 0.18000,-4.974397e-003
 31.94400, 0.18167,-4.750355e-003
 31.95700, 0.18333,-4.823272e-003
 31.96900, 0.18500,-4.693551e-003
 31.98100, 0.18667,-4.762516e-003
 31.99400, 0.18833,-4.631109e-003
 32.00800, 0.19000,-4.699260e-003
 32.02100, 0.19167,-4.666180e-003
 32.03400, 0.19333,-4.731043e-003
 32.04700, 0.19500,-4.693560e-003
 32.05900, 0.19667,-4.753694e-003
 32.07200, 0.19833,-4.811274e-003
 32.08500, 0.20000,-4.866343e-003
 32.09800, 0.20167,-4.619531e-003
 32.10800, 0.20333,-4.672181e-003
 32.12100, 0.20500,-4.725740e-003
 32.13300, 0.20667,-4.780938e-003
 32.14700, 0.20833,-4.737176e-003
 32.16000, 0.21000,-4.793062e-003
 32.17300, 0.21167,-4.847169e-003
 32.18600, 0.21333,-4.898812e-003
 32.19900, 0.21500,-4.948351e-003
 32.21000, 0.21667,-4.996467e-003
 32.22200, 0.21833,-4.943285e-003
 32.23700, 0.22000,-4.988440e-003
 32.24900, 0.22167,-5.131543e-003
 32.26000, 0.22333,-5.172565e-003
 32.27200, 0.22500,-5.312193e-003
 32.28500, 0.22667,-5.351252e-003
 32.29600, 0.22833,-5.389957e-003
 32.30900, 0.23000,-5.427771e-003
 32.32100, 0.23167,-5.463969e-003
 32.33400, 0.23333,-5.498127e-003
 32.34500, 0.23500,-5.730626e-003
 32.35600, 0.23667,-5.762512e-003
 32.36800, 0.23833,-5.794891e-003
 32.38000, 0.24000,-5.828202e-003
 32.39200, 0.24167,-5.861998e-003
 32.40500, 0.24333,-5.895359e-003
 32.41700, 0.24500,-5.927683e-003
 32.42900, 0.24667,-5.958972e-003
 32.44000, 0.24833,-5.989525e-003
 32.45200, 0.25000,-6.019617e-003
 32.46600, 0.25167,-6.149462e-003
 32.47600, 0.25333,-6.179306e-003
 32.48800, 0.25500,-6.209261e-003
 32.50100, 0.25667,-6.239517e-003
 32.51300, 0.25833,-6.269967e-003
 32.52500, 0.26000,-6.299832e-003
 32.53700, 0.26167,-6.328121e-003
 32.55100, 0.26333,-6.353914e-003
 32.56100, 0.26500,-6.376950e-003
 32.57400, 0.26667,-6.398055e-003
 32.58400, 0.26833,-6.419381e-003
 32.59500, 0.27000,-6.442910e-003
 32.60600, 0.27167,-6.469317e-003
 32.62100, 0.27333,-6.497946e-003
 32.63400, 0.27500,-6.527488e-003
 32.64400, 0.27667,-6.556840e-003
 32.65800, 0.27833,-6.585639e-003
 32.67000, 0.28000,-6.614267e-003
 32.68300, 0.28167,-6.643393e-003
 32.69500, 0.28333,-6.673842e-003
 32.70600, 0.28500,-6.705961e-003
 32.72100, 0.28667,-6.739157e-003
 32.73500, 0.28833,-6.872422e-003
 32.74700, 0.29000,-6.904793e-003
 32.76000, 0.29167,-6.936015e-003
 32.77300, 0.29333,-6.966427e-003
 32.78500, 0.29500,-6.995865e-003
 32.79900, 0.29667,-7.023601e-003
 32.81300, 0.29833,-7.149227e-003
 32.82400, 0.30000,-7.173279e-003
 32.83600, 0.30167,-7.197335e-003
 32.84800, 0.30333,-7.223224e-003
 32.86100, 0.30500,-7.451772e-003
 32.87500, 0.30667,-7.482248e-003
 32.88800, 0.30833,-7.512660e-003
 32.90200, 0.31000,-7.540972e-003
 32.91700, 0.31167,-7.766461e-003
 32.92600, 0.31333,-7.790151e-003
 32.94000, 0.31500,-7.814193e-003
 32.95200, 0.31667,-7.841232e-003
 32.96500, 0.31833,-7.972394e-003
 32.97800, 0.32000,-8.006876e-003
 32.99500, 0.32167,-8.042547e-003
 33.00800, 0.32333,-8.077376e-003
 33.02300, 0.32500,-8.110733e-003
 33.03500, 0.32667,-8.143901e-003
 33.04700, 0.32833,-8.378431e-003
 33.06300, 0.33000,-8.414702e-003
 33.07800, 0.33167,-8.451967e-003
 33.09300, 0.33333,-8.489035e-003
 33.10600, 0.33500,-8.525337e-003
 33.12000, 0.33667,-8.560910e-003
 33.13500, 0.33833,-8.595553e-003
 33.14900, 0.34000,-8.628596e-003
 33.16500, 0.34167,-8.659788e-003
 33.17800, 0.34333,-8.690544e-003
 33.19000, 0.34500,-8.823113e-003
