#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,DD.ngb-st9                    
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,13/03/2017 2:11:08 PM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,DD                            
#SAMPLE MASS /mg:            ,16.6699                       
#MATERIAL:                   ,KHCO3                         
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,311.7529                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.50900, 0.00000,-1.310501e-003
 31.50800, 0.00167,-2.314881e-003
 31.50600, 0.00333,-2.422137e-003
 31.50800, 0.00500,-2.432209e-003
 31.50700, 0.00667,-2.544736e-003
 31.50600, 0.00833,-2.558232e-003
 31.50800, 0.01000,-2.871493e-003
 31.50800, 0.01167,-2.883549e-003
 31.50800, 0.01333,-2.993492e-003
 31.50700, 0.01500,-3.001436e-003
 31.50800, 0.01667,-3.108923e-003
 31.50600, 0.01833,-3.118167e-003
 31.50400, 0.02000,-3.330653e-003
 31.50600, 0.02167,-3.346122e-003
 31.50800, 0.02333,-3.462676e-003
 31.50900, 0.02500,-3.477741e-003
 31.50800, 0.02667,-3.589577e-003
 31.50900, 0.02833,-3.598061e-003
 31.50800, 0.03000,-3.904236e-003
 31.50700, 0.03167,-3.909539e-003
 31.50700, 0.03333,-4.015640e-003
 31.50700, 0.03500,-4.024105e-003
 31.50500, 0.03667,-4.135455e-003
 31.50600, 0.03833,-4.148776e-003
 31.50900, 0.04000,-4.262310e-003
 31.50900, 0.04167,-4.274417e-003
 31.50800, 0.04333,-4.484569e-003
 31.50800, 0.04500,-4.493568e-003
 31.50800, 0.04667,-4.602535e-003
 31.50800, 0.04833,-4.611809e-003
 31.50800, 0.05000,-4.820684e-003
 31.50900, 0.05167,-4.828101e-003
 31.51000, 0.05333,-5.033783e-003
 31.50800, 0.05500,-5.038442e-003
 31.50600, 0.05667,-5.143160e-003
 31.50800, 0.05833,-5.148688e-003
 31.50800, 0.06000,-5.254956e-003
 31.50700, 0.06167,-5.261346e-003
 31.50800, 0.06333,-5.367594e-003
 31.50700, 0.06500,-5.374010e-003
 31.50700, 0.06667,-5.580839e-003
 31.50700, 0.06833,-5.588385e-003
 31.50800, 0.07000,-5.797213e-003
 31.50700, 0.07167,-5.808011e-003
 31.50700, 0.07333,-5.921775e-003
 31.50900, 0.07500,-5.939433e-003
 31.50800, 0.07667,-5.961126e-003
 31.51100, 0.07833,-5.986215e-003
 31.51400, 0.08000,-6.213835e-003
 31.51400, 0.08167,-6.243257e-003
 31.51700, 0.08333,-6.274147e-003
 31.51900, 0.08500,-6.306950e-003
 31.52200, 0.08667,-6.442879e-003
 31.52400, 0.08833,-6.483483e-003
 31.52500, 0.09000,-6.529700e-003
 31.53100, 0.09167,-6.581080e-003
 31.53700, 0.09333,-6.635950e-003
 31.54000, 0.09500,-6.692332e-003
 31.54600, 0.09667,-6.749361e-003
 31.55000, 0.09833,-6.808029e-003
 31.55400, 0.10000,-6.870042e-003
 31.55900, 0.10167,-6.936666e-003
 31.56600, 0.10333,-6.708247e-003
 31.57300, 0.10500,-6.783878e-003
 31.57900, 0.10667,-6.862217e-003
 31.58800, 0.10833,-6.942654e-003
 31.59400, 0.11000,-6.925315e-003
 31.60000, 0.11167,-6.810475e-003
 31.61100, 0.11333,-6.898338e-003
 31.61800, 0.11500,-6.988804e-003
 31.62600, 0.11667,-6.881043e-003
 31.63600, 0.11833,-6.974167e-003
 31.64600, 0.12000,-6.967755e-003
 31.65400, 0.12167,-7.061609e-003
 31.66200, 0.12333,-6.955831e-003
 31.67400, 0.12500,-7.050956e-003
 31.68300, 0.12667,-6.847622e-003
 31.69100, 0.12833,-6.945985e-003
 31.70200, 0.13000,-6.845952e-003
 31.71500, 0.13167,-6.647718e-003
 31.72400, 0.13333,-6.752112e-003
 31.73400, 0.13500,-6.460568e-003
 31.74500, 0.13667,-6.574013e-003
 31.75800, 0.13833,-6.491260e-003
 31.77300, 0.14000,-6.609284e-003
 31.78700, 0.14167,-6.425381e-003
 31.79800, 0.14333,-6.538905e-003
 31.80900, 0.14500,-6.350809e-003
 31.82100, 0.14667,-6.462128e-003
 31.83700, 0.14833,-6.572728e-003
 31.84900, 0.15000,-6.381475e-003
 31.86100, 0.15167,-6.087395e-003
 31.87500, 0.15333,-6.190750e-003
 31.88600, 0.15500,-6.092972e-003
 31.89900, 0.15667,-6.195660e-003
 31.91100, 0.15833,-5.999917e-003
 31.92500, 0.16000,-6.105639e-003
 31.93900, 0.16167,-6.011412e-003
 31.95300, 0.16333,-6.115336e-003
 31.96700, 0.16500,-5.916119e-003
 31.98000, 0.16667,-6.013653e-003
 31.99200, 0.16833,-5.908879e-003
 32.00600, 0.17000,-6.002997e-003
 32.01800, 0.17167,-5.796469e-003
 32.03200, 0.17333,-5.888525e-003
 32.04700, 0.17500,-5.778190e-003
 32.06000, 0.17667,-5.865376e-003
 32.07100, 0.17833,-5.851064e-003
 32.08400, 0.18000,-5.936705e-003
 32.09800, 0.18167,-5.723237e-003
 32.11200, 0.18333,-5.810214e-003
 32.12500, 0.18500,-5.796156e-003
 32.14000, 0.18667,-5.879363e-003
 32.15300, 0.18833,-5.858289e-003
 32.16600, 0.19000,-5.931953e-003
 32.18000, 0.19167,-5.800509e-003
 32.19100, 0.19333,-5.865065e-003
 32.20200, 0.19500,-5.927199e-003
 32.21600, 0.19667,-5.988318e-003
 32.22600, 0.19833,-5.949213e-003
 32.24100, 0.20000,-6.010027e-003
 32.25200, 0.20167,-6.070802e-003
 32.26300, 0.20333,-6.131028e-003
 32.27800, 0.20500,-6.089924e-003
 32.29100, 0.20667,-6.147463e-003
 32.30200, 0.20833,-6.204220e-003
 32.31200, 0.21000,-6.260993e-003
 32.32700, 0.21167,-6.318293e-003
 32.34100, 0.21333,-6.375765e-003
 32.35100, 0.21500,-6.432044e-003
 32.36500, 0.21667,-6.485433e-003
 32.37900, 0.21833,-6.535136e-003
 32.39100, 0.22000,-6.581350e-003
 32.40000, 0.22167,-6.625258e-003
 32.41300, 0.22333,-6.668439e-003
 32.42500, 0.22500,-6.711757e-003
 32.43700, 0.22667,-6.754846e-003
 32.45000, 0.22833,-6.796903e-003
 32.46100, 0.23000,-6.837783e-003
 32.47400, 0.23167,-6.978226e-003
 32.48400, 0.23333,-7.019545e-003
 32.49600, 0.23500,-7.062334e-003
 32.50900, 0.23667,-7.105683e-003
 32.52300, 0.23833,-7.147701e-003
 32.53600, 0.24000,-7.186874e-003
 32.54600, 0.24167,-7.322878e-003
 32.55700, 0.24333,-7.356498e-003
 32.57100, 0.24500,-7.389063e-003
 32.58100, 0.24667,-7.421684e-003
 32.59200, 0.24833,-7.454545e-003
 32.60500, 0.25000,-7.487359e-003
 32.61800, 0.25167,-7.719821e-003
 32.62900, 0.25333,-7.751661e-003
 32.63900, 0.25500,-7.782745e-003
 32.65300, 0.25667,-7.813027e-003
 32.66500, 0.25833,-7.942684e-003
 32.67600, 0.26000,-7.972159e-003
 32.68700, 0.26167,-8.002392e-003
 32.69900, 0.26333,-8.034059e-003
 32.71100, 0.26500,-8.166621e-003
 32.72500, 0.26667,-8.198857e-003
 32.73800, 0.26833,-8.230005e-003
 32.74700, 0.27000,-8.259911e-003
 32.76000, 0.27167,-8.388667e-003
 32.77300, 0.27333,-8.416440e-003
 32.78500, 0.27500,-8.443002e-003
