#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,E.ngb-st9                     
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,13/03/2017 4:03:23 PM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,E                             
#SAMPLE MASS /mg:            ,15.8650                       
#MATERIAL:                   ,KHCO3                         
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,311.1638                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.68300, 0.00000,-1.695131e-003
 31.68200, 0.00167,-2.396693e-003
 31.68100, 0.00333,-2.398434e-003
 31.68000, 0.00500,-2.600353e-003
 31.68200, 0.00667,-2.602566e-003
 31.68100, 0.00833,-2.804985e-003
 31.67900, 0.01000,-2.808105e-003
 31.67900, 0.01167,-2.912515e-003
 31.67900, 0.01333,-2.918458e-003
 31.68000, 0.01500,-3.125205e-003
 31.67900, 0.01667,-3.131515e-003
 31.68000, 0.01833,-3.236413e-003
 31.68000, 0.02000,-3.239975e-003
 31.67900, 0.02167,-3.343257e-003
 31.67700, 0.02333,-3.347460e-003
 31.67800, 0.02500,-3.353302e-003
 31.67900, 0.02667,-3.360634e-003
 31.67800, 0.02833,-3.668585e-003
 31.67900, 0.03000,-3.676702e-003
 31.68000, 0.03167,-3.785407e-003
 31.67700, 0.03333,-3.795076e-003
 31.67900, 0.03500,-3.905323e-003
 31.68100, 0.03667,-3.915259e-003
 31.68100, 0.03833,-4.023676e-003
 31.68000, 0.04000,-4.029939e-003
 31.68100, 0.04167,-4.234414e-003
 31.68000, 0.04333,-4.237851e-003
 31.68000, 0.04500,-4.240860e-003
 31.68000, 0.04667,-4.243770e-003
 31.67900, 0.04833,-4.346805e-003
 31.68100, 0.05000,-4.350226e-003
 31.67800, 0.05167,-4.354142e-003
 31.67900, 0.05333,-4.357972e-003
 31.68000, 0.05500,-4.560730e-003
