#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,FF.ngb-st9                    
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,16/03/2017 9:48:43 AM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,FF                            
#SAMPLE MASS /mg:            ,12.2350                       
#MATERIAL:                   ,KHCO3                         
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,311.9641                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.90200, 0.00000,-2.037716e-003
 31.90000, 0.00167,-2.239211e-003
 31.90100, 0.00333,-2.240848e-003
 31.90100, 0.00500,-2.242652e-003
 31.90100, 0.00667,-2.244659e-003
 31.90100, 0.00833,-2.246441e-003
 31.90000, 0.01000,-2.247698e-003
 31.90200, 0.01167,-2.248565e-003
 31.90000, 0.01333,-2.249525e-003
 31.89900, 0.01500,-2.250991e-003
 31.90100, 0.01667,-2.253298e-003
 31.90000, 0.01833,-2.256657e-003
 31.90000, 0.02000,-2.260929e-003
 31.90000, 0.02167,-2.266001e-003
 31.90100, 0.02333,-2.271672e-003
 31.90100, 0.02500,-2.277276e-003
 31.90100, 0.02667,-2.281704e-003
 31.90200, 0.02833,-2.283473e-003
 31.90200, 0.03000,-2.281151e-003
 31.90200, 0.03167,-2.274395e-003
 31.90100, 0.03333,-2.264879e-003
 31.89800, 0.03500,-2.256129e-003
 31.89600, 0.03667,-2.251790e-003
 31.89500, 0.03833,-2.253560e-003
 31.89700, 0.04000,-2.260397e-003
 31.90000, 0.04167,-2.269774e-003
 31.89900, 0.04333,-2.279655e-003
 31.89900, 0.04500,-2.289182e-003
 31.89900, 0.04667,-2.398394e-003
 31.90200, 0.04833,-2.407260e-003
 31.90100, 0.05000,-2.415066e-003
 31.90100, 0.05167,-2.420395e-003
 31.90300, 0.05333,-2.422137e-003
 31.90400, 0.05500,-2.420399e-003
 31.90100, 0.05667,-2.416568e-003
 31.89900, 0.05833,-2.412686e-003
 31.90000, 0.06000,-2.410194e-003
 31.90000, 0.06167,-2.409299e-003
 31.90100, 0.06333,-2.409631e-003
 31.89900, 0.06500,-2.411194e-003
 31.89900, 0.06667,-2.414401e-003
 31.90000, 0.06833,-2.419517e-003
 31.90000, 0.07000,-2.426166e-003
 31.90100, 0.07167,-2.433652e-003
 31.90200, 0.07333,-2.441643e-003
 31.90100, 0.07500,-2.450416e-003
 31.90300, 0.07667,-2.560932e-003
 31.90300, 0.07833,-2.574611e-003
 31.90300, 0.08000,-2.592223e-003
 31.90500, 0.08167,-2.613553e-003
 31.90900, 0.08333,-2.637827e-003
 31.91000, 0.08500,-2.664304e-003
 31.91200, 0.08667,-2.692882e-003
 31.91400, 0.08833,-2.724246e-003
 31.91700, 0.09000,-2.758912e-003
 31.92000, 0.09167,-2.797078e-003
 31.92500, 0.09333,-2.739199e-003
 31.92700, 0.09500,-2.786071e-003
 31.93000, 0.09667,-2.838228e-003
 31.93700, 0.09833,-2.895320e-003
 31.94200, 0.10000,-2.856086e-003
 31.94900, 0.10167,-2.918793e-003
 31.95300, 0.10333,-2.982265e-003
 31.96000, 0.10500,-3.046261e-003
 31.96600, 0.10667,-2.911260e-003
 31.97100, 0.10833,-2.978023e-003
 31.97800, 0.11000,-3.047401e-003
 31.98500, 0.11167,-3.120200e-003
 31.99100, 0.11333,-2.996895e-003
 32.00000, 0.11500,-3.077583e-003
 32.00700, 0.11667,-3.062129e-003
 32.01600, 0.11833,-3.149806e-003
 32.02500, 0.12000,-3.039781e-003
 32.03500, 0.12167,-3.131578e-003
 32.04300, 0.12333,-3.124887e-003
 32.05200, 0.12500,-3.219345e-003
 32.06400, 0.12667,-3.114522e-003
 32.07300, 0.12833,-3.209832e-003
 32.08200, 0.13000,-3.004702e-003
 32.09400, 0.13167,-3.099525e-003
 32.10400, 0.13333,-2.996050e-003
 32.11200, 0.13500,-3.096027e-003
 32.12200, 0.13667,-2.899879e-003
 32.13700, 0.13833,-3.006232e-003
 32.15000, 0.14000,-2.912446e-003
 32.16000, 0.14167,-3.016610e-003
 32.17300, 0.14333,-2.818983e-003
 32.18200, 0.14500,-2.921183e-003
 32.19400, 0.14667,-2.624097e-003
 32.20800, 0.14833,-2.727035e-003
 32.22000, 0.15000,-2.528207e-003
 32.23400, 0.15167,-2.626177e-003
 32.24400, 0.15333,-2.420930e-003
 32.25400, 0.15500,-2.513135e-003
 32.26800, 0.15667,-2.203692e-003
 32.28100, 0.15833,-2.293781e-003
 32.29000, 0.16000,-2.184767e-003
 32.30200, 0.16167,-2.277647e-003
 32.31400, 0.16333,-2.072405e-003
 32.33000, 0.16500,-2.167774e-003
 32.34300, 0.16667,-1.962406e-003
 32.35300, 0.16833,-2.055734e-003
 32.36700, 0.17000,-1.747386e-003
 32.37900, 0.17167,-1.836367e-003
 32.39500, 0.17333,-1.520910e-003
 32.40700, 0.17500,-1.600226e-003
 32.41700, 0.17667,-1.475459e-003
 32.42800, 0.17833,-1.549141e-003
 32.44000, 0.18000,-1.323896e-003
 32.45300, 0.18167,-1.400692e-003
 32.46400, 0.18333,-1.278287e-003
 32.47900, 0.18500,-1.354258e-003
 32.49300, 0.18667,-1.026694e-003
 32.50300, 0.18833,-1.094892e-003
 32.51400, 0.19000,-8.594026e-004
 32.52700, 0.19167,-9.218567e-004
 32.53900, 0.19333,-7.841911e-004
 32.54900, 0.19500,-8.481156e-004
 32.56100, 0.19667,-6.142140e-004
