#EXPORTTYPE:                 ,DATA SINGLE                    
#FILE:                       ,G.ngb-st9                      
#FORMAT:                     ,NETZSCH5                       
#FTYPE:                      ,ANSI                           
#IDENTITY:                   ,Saras                          
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,TG                             
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra         
#PROJECT:                    ,IL                             
#DATE/TIME:                  ,16/03/2017 12:21:32 PM (UTC+11)
#CORR. FILE:                 ,                               
#TEMPCAL:                    ,TCALZERO.TCX                   
#LABORATORY:                 ,Capture Lab                    
#OPERATOR:                   ,NJN                            
#REMARK:                     ,Training run                   
#SAMPLE:                     ,G                              
#SAMPLE MASS /mg:            ,18.6977                        
#MATERIAL:                   ,KHCO3                          
#TYPE OF CRUCIBLE:           ,Al2O3                          
#SAMPLE CRUCIBLE MASS /mg:   ,310.9103                       
#REFERENCE CRUCIBLE MASS /mg:,                               
#M.RANGE /mg:                ,2000                           
#CORR. CODE:                 ,090                            
#RANGE:                      ,32°C/10.0(K/min)/800°C         
#SEGMENT:                    ,S1/1                           
#SEG. 1:                     ,32°C/10.0(K/min)/800°C         

##Temp./°C,Time/min,Mass loss/mg
 31.33900, 0.00000,-1.760177e-003
 31.34000, 0.00167,-2.062291e-003
 31.34000, 0.00333,-2.265009e-003
 31.33900, 0.00500,-2.268317e-003
 31.33800, 0.00667,-2.372254e-003
 31.33900, 0.00833,-2.377162e-003
 31.33900, 0.01000,-2.583130e-003
 31.34000, 0.01167,-2.590543e-003
 31.33900, 0.01333,-2.799894e-003
 31.33800, 0.01500,-2.810916e-003
 31.34100, 0.01667,-2.922040e-003
 31.34300, 0.01833,-2.931009e-003
 31.34300, 0.02000,-3.036202e-003
 31.34200, 0.02167,-3.037880e-003
 31.34100, 0.02333,-3.137823e-003
 31.34000, 0.02500,-3.137698e-003
 31.34100, 0.02667,-3.438226e-003
 31.34100, 0.02833,-3.439318e-003
 31.34000, 0.03000,-3.540503e-003
 31.34000, 0.03167,-3.541729e-003
 31.34100, 0.03333,-3.643712e-003
 31.33900, 0.03500,-3.647422e-003
 31.33900, 0.03667,-3.953455e-003
 31.34000, 0.03833,-3.961566e-003
 31.34100, 0.04000,-4.070446e-003
 31.34200, 0.04167,-4.078682e-003
 31.34300, 0.04333,-4.185780e-003
 31.34100, 0.04500,-4.192099e-003
 31.34200, 0.04667,-4.498141e-003
