#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,H.ngb-st9                     
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,16/03/2017 2:18:03 PM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,H                             
#SAMPLE MASS /mg:            ,15.2905                       
#MATERIAL:                   ,KHCO3                         
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,311.9764                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.50100, 0.00000,-1.871769e-003
 31.50100, 0.00167,-2.174218e-003
 31.49900, 0.00333,-2.277674e-003
 31.50100, 0.00500,-2.282100e-003
 31.50100, 0.00667,-2.287138e-003
 31.50100, 0.00833,-2.291385e-003
 31.50100, 0.01000,-2.293918e-003
 31.50200, 0.01167,-2.294776e-003
 31.50100, 0.01333,-2.495034e-003
 31.49900, 0.01500,-2.496095e-003
 31.49900, 0.01667,-2.698960e-003
 31.50100, 0.01833,-2.703530e-003
 31.50000, 0.02000,-2.808627e-003
 31.50100, 0.02167,-2.812713e-003
 31.50100, 0.02333,-3.014668e-003
 31.50100, 0.02500,-3.014201e-003
 31.50100, 0.02667,-3.212085e-003
 31.49900, 0.02833,-3.209847e-003
 31.49800, 0.03000,-3.308956e-003
 31.49900, 0.03167,-3.309983e-003
 31.49800, 0.03333,-3.412462e-003
 31.50000, 0.03500,-3.415500e-003
 31.49900, 0.03667,-3.518650e-003
 31.49800, 0.03833,-3.521832e-003
 31.49900, 0.04000,-3.724847e-003
 31.49900, 0.04167,-3.727412e-003
 31.50000, 0.04333,-3.929105e-003
 31.49800, 0.04500,-3.929844e-003
 31.49900, 0.04667,-4.030290e-003
 31.49900, 0.04833,-4.031362e-003
 31.49600, 0.05000,-4.233521e-003
 31.49900, 0.05167,-4.236664e-003
 31.49900, 0.05333,-4.340974e-003
 31.49900, 0.05500,-4.347133e-003
 31.49700, 0.05667,-4.455889e-003
 31.49800, 0.05833,-4.466867e-003
 31.50100, 0.06000,-4.777847e-003
 31.50300, 0.06167,-4.785933e-003
 31.50300, 0.06333,-4.889786e-003
 31.50200, 0.06500,-4.890865e-003
 31.50000, 0.06667,-4.992246e-003
 31.49900, 0.06833,-4.996309e-003
 31.50200, 0.07000,-5.303636e-003
 31.50300, 0.07167,-5.313806e-003
 31.50300, 0.07333,-5.426351e-003
 31.50200, 0.07500,-5.441185e-003
 31.50500, 0.07667,-5.558596e-003
 31.50800, 0.07833,-5.578941e-003
 31.50700, 0.08000,-5.602834e-003
 31.51000, 0.08167,-5.631122e-003
 31.51100, 0.08333,-5.763971e-003
 31.51500, 0.08500,-5.800128e-003
 31.52100, 0.08667,-5.838157e-003
 31.52300, 0.08833,-5.877973e-003
 31.52400, 0.09000,-5.920874e-003
 31.52800, 0.09167,-5.968379e-003
 31.53300, 0.09333,-6.020608e-003
 31.53900, 0.09500,-6.075810e-003
 31.54500, 0.09667,-6.132303e-003
 31.55000, 0.09833,-6.190417e-003
 31.55300, 0.10000,-6.151727e-003
 31.55600, 0.10167,-6.217047e-003
 31.56800, 0.10333,-6.285607e-003
 31.57500, 0.10500,-6.356044e-003
 31.57900, 0.10667,-6.227825e-003
 31.58500, 0.10833,-6.302136e-003
 31.59300, 0.11000,-6.180878e-003
 31.60100, 0.11167,-6.264778e-003
 31.60900, 0.11333,-6.152837e-003
