#EXPORTTYPE:                 ,DATA SINGLE                    
#FILE:                       ,II.ngb-st9                     
#FORMAT:                     ,NETZSCH5                       
#FTYPE:                      ,ANSI                           
#IDENTITY:                   ,Saras                          
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,TG                             
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra         
#PROJECT:                    ,IL                             
#DATE/TIME:                  ,17/03/2017 11:28:17 AM (UTC+11)
#CORR. FILE:                 ,                               
#TEMPCAL:                    ,TCALZERO.TCX                   
#LABORATORY:                 ,Capture Lab                    
#OPERATOR:                   ,NJN                            
#REMARK:                     ,Training run                   
#SAMPLE:                     ,II                             
#SAMPLE MASS /mg:            ,10.9508                        
#MATERIAL:                   ,KHCO3                          
#TYPE OF CRUCIBLE:           ,Al2O3                          
#SAMPLE CRUCIBLE MASS /mg:   ,311.1153                       
#REFERENCE CRUCIBLE MASS /mg:,                               
#M.RANGE /mg:                ,2000                           
#CORR. CODE:                 ,090                            
#RANGE:                      ,32°C/10.0(K/min)/800°C         
#SEGMENT:                    ,S1/1                           
#SEG. 1:                     ,32°C/10.0(K/min)/800°C         

##Temp./°C,Time/min,Mass loss/mg
 31.63100, 0.00000,-1.008325e-003
 31.63000, 0.00167,-1.513742e-003
 31.63000, 0.00333,-1.523078e-003
 31.62800, 0.00500,-1.536281e-003
 31.62700, 0.00667,-1.552819e-003
 31.62900, 0.00833,-1.671368e-003
 31.62900, 0.01000,-1.690756e-003
 31.62800, 0.01167,-1.709683e-003
 31.63000, 0.01333,-1.726834e-003
 31.63000, 0.01500,-1.941826e-003
 31.62900, 0.01667,-1.955249e-003
 31.62800, 0.01833,-1.968328e-003
 31.62700, 0.02000,-1.982257e-003
 31.62900, 0.02167,-2.097543e-003
 31.62800, 0.02333,-2.114181e-003
 31.62800, 0.02500,-2.131766e-003
 31.62800, 0.02667,-2.149426e-003
 31.62900, 0.02833,-2.266045e-003
 31.63100, 0.03000,-2.280971e-003
 31.62900, 0.03167,-2.294729e-003
 31.62800, 0.03333,-2.308628e-003
 31.62800, 0.03500,-2.623649e-003
 31.62900, 0.03667,-2.639236e-003
 31.63000, 0.03833,-2.653481e-003
 31.63100, 0.04000,-2.664884e-003
 31.63000, 0.04167,-2.773728e-003
 31.62800, 0.04333,-2.782148e-003
 31.62800, 0.04500,-2.793076e-003
 31.62700, 0.04667,-2.808282e-003
 31.62700, 0.04833,-2.926572e-003
 31.63000, 0.05000,-2.944582e-003
 31.63400, 0.05167,-2.959294e-003
 31.63100, 0.05333,-2.969727e-003
 31.62800, 0.05500,-3.077098e-003
 31.63000, 0.05667,-3.083615e-003
 31.62900, 0.05833,-3.090689e-003
 31.62900, 0.06000,-3.098361e-003
 31.62900, 0.06167,-3.406764e-003
 31.62900, 0.06333,-3.416690e-003
 31.62700, 0.06500,-3.428803e-003
