#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,I.ngb-st9                     
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,17/03/2017 9:34:05 AM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,I                             
#SAMPLE MASS /mg:            ,17.0964                       
#MATERIAL:                   ,KHCO3                         
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,311.1070                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.53400, 0.00000,-3.086157e-003
 31.53300, 0.00167,-3.183545e-003
 31.53400, 0.00333,-3.476976e-003
 31.53700, 0.00500,-3.466525e-003
 31.53700, 0.00667,-3.452714e-003
 31.53600, 0.00833,-3.436695e-003
 31.53500, 0.01000,-3.519628e-003
 31.53600, 0.01167,-3.502635e-003
 31.53500, 0.01333,-3.486710e-003
 31.53500, 0.01500,-3.472265e-003
 31.53500, 0.01667,-3.659068e-003
 31.53500, 0.01833,-3.646435e-003
 31.53700, 0.02000,-3.633976e-003
 31.53600, 0.02167,-3.621943e-003
 31.53400, 0.02333,-3.810728e-003
 31.53600, 0.02500,-3.800256e-003
 31.53700, 0.02667,-3.789802e-003
 31.53700, 0.02833,-3.778349e-003
 31.53700, 0.03000,-3.865539e-003
 31.53600, 0.03167,-3.852175e-003
 31.53700, 0.03333,-3.839548e-003
 31.53500, 0.03500,-3.828649e-003
 31.53600, 0.03667,-3.919348e-003
 31.53700, 0.03833,-3.910387e-003
 31.53800, 0.04000,-3.900273e-003
 31.53800, 0.04167,-3.887943e-003
 31.53600, 0.04333,-3.973487e-003
 31.53800, 0.04500,-3.958415e-003
 31.53600, 0.04667,-3.944594e-003
 31.53300, 0.04833,-3.932988e-003
 31.53700, 0.05000,-4.123148e-003
 31.53600, 0.05167,-4.113338e-003
 31.53700, 0.05333,-4.101837e-003
 31.53800, 0.05500,-4.088895e-003
 31.53400, 0.05667,-4.176510e-003
 31.53300, 0.05833,-4.166695e-003
 31.53600, 0.06000,-4.160323e-003
 31.53500, 0.06167,-4.156960e-003
 31.53800, 0.06333,-4.255371e-003
 31.53500, 0.06500,-4.254613e-003
 31.53800, 0.06667,-4.253698e-003
 31.53900, 0.06833,-4.251752e-003
 31.54000, 0.07000,-4.348861e-003
 31.54000, 0.07167,-4.346396e-003
 31.53700, 0.07333,-4.346341e-003
 31.54000, 0.07500,-4.349870e-003
 31.54200, 0.07667,-4.557013e-003
 31.54400, 0.07833,-4.567243e-003
 31.54400, 0.08000,-4.580426e-003
 31.54600, 0.08167,-4.596872e-003
 31.54800, 0.08333,-4.616355e-003
 31.55200, 0.08500,-4.637963e-003
 31.55500, 0.08667,-4.660984e-003
 31.55700, 0.08833,-4.685860e-003
 31.55900, 0.09000,-4.714341e-003
 31.56200, 0.09167,-4.748143e-003
 31.56500, 0.09333,-4.787748e-003
 31.57300, 0.09500,-4.832342e-003
 31.57600, 0.09667,-4.880601e-003
 31.58100, 0.09833,-4.931327e-003
 31.58700, 0.10000,-4.984038e-003
 31.59300, 0.10167,-5.038835e-003
 31.59800, 0.10333,-4.896080e-003
 31.60400, 0.10500,-4.956157e-003
 31.61000, 0.10667,-5.019440e-003
 31.61900, 0.10833,-4.886293e-003
 31.62400, 0.11000,-4.957028e-003
 31.63100, 0.11167,-5.031547e-003
 31.64100, 0.11333,-5.109346e-003
 31.64900, 0.11500,-5.089616e-003
 31.65800, 0.11667,-5.171696e-003
 31.66600, 0.11833,-5.055714e-003
 31.67500, 0.12000,-5.141839e-003
 31.68400, 0.12167,-5.029668e-003
 31.69600, 0.12333,-5.118139e-003
 31.70400, 0.12500,-5.106017e-003
 31.71500, 0.12667,-5.192959e-003
 31.72500, 0.12833,-4.980160e-003
 31.73200, 0.13000,-5.069768e-003
 31.74400, 0.13167,-5.063799e-003
 31.75400, 0.13333,-5.163224e-003
 31.76600, 0.13500,-4.967069e-003
 31.77900, 0.13667,-5.072896e-003
 31.79200, 0.13833,-4.977948e-003
 31.80400, 0.14000,-5.080044e-003
 31.81600, 0.14167,-4.878270e-003
 31.82700, 0.14333,-4.973348e-003
 31.84000, 0.14500,-4.867358e-003
 31.84900, 0.14667,-4.963119e-003
 31.86100, 0.14833,-4.762818e-003
 31.87400, 0.15000,-4.867241e-003
 31.88900, 0.15167,-4.775608e-003
 31.90200, 0.15333,-4.885894e-003
 31.91500, 0.15500,-4.695242e-003
 31.93100, 0.15667,-4.800804e-003
 31.94600, 0.15833,-4.600700e-003
 31.95700, 0.16000,-4.694523e-003
 31.96900, 0.16167,-4.483711e-003
 31.98300, 0.16333,-4.571052e-003
 31.99300, 0.16500,-4.558905e-003
 32.00600, 0.16667,-4.647941e-003
 32.02100, 0.16833,-4.337550e-003
 32.03500, 0.17000,-4.426577e-003
 32.04700, 0.17167,-4.314248e-003
 32.06000, 0.17333,-4.400739e-003
 32.07300, 0.17500,-4.186471e-003
 32.08700, 0.17667,-4.271299e-003
 32.10100, 0.17833,-4.154841e-003
 32.11400, 0.18000,-4.236786e-003
 32.12600, 0.18167,-4.016973e-003
 32.14100, 0.18333,-4.095399e-003
 32.15400, 0.18500,-4.072027e-003
 32.16600, 0.18667,-4.146362e-003
 32.18000, 0.18833,-3.917798e-003
 32.19400, 0.19000,-3.986308e-003
 32.20600, 0.19167,-3.852624e-003
 32.21700, 0.19333,-3.917874e-003
 32.23000, 0.19500,-3.882776e-003
 32.24400, 0.19667,-3.946791e-003
 32.25700, 0.19833,-3.808248e-003
 32.27000, 0.20000,-3.865780e-003
 32.28300, 0.20167,-3.819826e-003
 32.29300, 0.20333,-3.872587e-003
 32.30400, 0.20500,-3.926566e-003
 32.31700, 0.20667,-3.983057e-003
 32.33100, 0.20833,-3.941154e-003
 32.34400, 0.21000,-3.998409e-003
 32.35800, 0.21167,-4.052560e-003
 32.37000, 0.21333,-4.103013e-003
 32.38200, 0.21500,-3.850973e-003
 32.39300, 0.21667,-3.898265e-003
 32.40400, 0.21833,-3.945500e-003
 32.41900, 0.22000,-3.991531e-003
 32.43300, 0.22167,-4.034894e-003
 32.44400, 0.22333,-4.075272e-003
 32.45300, 0.22500,-4.113683e-003
 32.46500, 0.22667,-4.151142e-003
 32.47900, 0.22833,-4.187749e-003
 32.49200, 0.23000,-4.223132e-003
 32.50100, 0.23167,-4.257319e-003
 32.51200, 0.23333,-4.291164e-003
 32.52600, 0.23500,-4.325852e-003
 32.53600, 0.23667,-4.361662e-003
 32.54800, 0.23833,-4.397471e-003
 32.56200, 0.24000,-4.431724e-003
 32.57400, 0.24167,-4.463329e-003
 32.58500, 0.24333,-4.492131e-003
 32.59500, 0.24500,-4.519082e-003
 32.60700, 0.24667,-4.545411e-003
 32.61900, 0.24833,-4.571931e-003
 32.63000, 0.25000,-4.598892e-003
 32.64100, 0.25167,-4.625944e-003
 32.65300, 0.25333,-4.652369e-003
 32.66600, 0.25500,-4.877763e-003
 32.67700, 0.25667,-4.902413e-003
 32.68600, 0.25833,-4.927118e-003
 32.69900, 0.26000,-4.952734e-003
 32.71100, 0.26167,-4.979638e-003
 32.72200, 0.26333,-5.007339e-003
 32.73500, 0.26500,-5.135363e-003
 32.74700, 0.26667,-5.163727e-003
 32.75700, 0.26833,-5.192104e-003
 32.77000, 0.27000,-5.219469e-003
 32.78400, 0.27167,-5.244510e-003
 32.79500, 0.27333,-5.266385e-003
 32.80600, 0.27500,-5.285601e-003
 32.81600, 0.27667,-5.303982e-003
 32.82700, 0.27833,-5.323509e-003
 32.84000, 0.28000,-5.345320e-003
 32.85000, 0.28167,-5.469365e-003
 32.86300, 0.28333,-5.494552e-003
 32.87600, 0.28500,-5.519838e-003
 32.88800, 0.28667,-5.544889e-003
 32.89900, 0.28833,-5.570163e-003
 32.91000, 0.29000,-5.596193e-003
 32.92300, 0.29167,-5.722957e-003
 32.93800, 0.29333,-5.750194e-003
 32.94800, 0.29500,-5.777884e-003
 32.95900, 0.29667,-5.805934e-003
 32.97300, 0.29833,-5.833991e-003
 32.98700, 0.30000,-5.861358e-003
 32.99900, 0.30167,-6.087462e-003
 33.01000, 0.30333,-6.112573e-003
 33.02200, 0.30500,-6.137837e-003
 33.03600, 0.30667,-6.164529e-003
 33.04700, 0.30833,-6.193566e-003
 33.06000, 0.31000,-6.224929e-003
 33.07300, 0.31167,-6.257701e-003
 33.08800, 0.31333,-6.290572e-003
 33.10200, 0.31500,-6.322746e-003
 33.11200, 0.31667,-6.354100e-003
 33.12600, 0.31833,-6.384676e-003
 33.14100, 0.32000,-6.414623e-003
 33.15300, 0.32167,-6.543699e-003
 33.16500, 0.32333,-6.571501e-003
 33.18000, 0.32500,-6.598878e-003
 33.19300, 0.32667,-6.627865e-003
 33.20200, 0.32833,-6.660228e-003
 33.21700, 0.33000,-6.696330e-003
 33.23400, 0.33167,-6.734746e-003
 33.24700, 0.33333,-6.772682e-003
 33.26300, 0.33500,-6.807856e-003
 33.27500, 0.33667,-6.840209e-003
 33.28800, 0.33833,-6.870693e-003
 33.30100, 0.34000,-6.900457e-003
 33.31700, 0.34167,-6.930395e-003
 33.32900, 0.34333,-6.961068e-003
 33.34200, 0.34500,-6.992335e-003
 33.35600, 0.34667,-7.023400e-003
 33.37200, 0.34833,-7.052965e-003
 33.38600, 0.35000,-7.080386e-003
 33.39800, 0.35167,-7.106582e-003
 33.41000, 0.35333,-7.133782e-003
 33.42400, 0.35500,-7.164276e-003
 33.43900, 0.35667,-7.199258e-003
 33.45300, 0.35833,-7.238289e-003
 33.46800, 0.36000,-7.279572e-003
 33.48400, 0.36167,-7.420573e-003
 33.50000, 0.36333,-7.458889e-003
 33.51500, 0.36500,-7.493630e-003
 33.52900, 0.36667,-7.525713e-003
 33.54000, 0.36833,-7.557118e-003
 33.55700, 0.37000,-7.589353e-003
 33.57100, 0.37167,-7.622806e-003
 33.58600, 0.37333,-7.656770e-003
 33.60200, 0.37500,-7.790637e-003
 33.61400, 0.37667,-7.824310e-003
 33.63100, 0.37833,-7.858105e-003
