#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,JJ.ngb-st9                    
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,17/03/2017 3:35:39 PM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,JJ                            
#SAMPLE MASS /mg:            ,11.2245                       
#MATERIAL:                   ,KHCO3                         
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,311.1365                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.32200, 0.00000,-2.138718e-003
 31.32000, 0.00167,-2.340203e-003
 31.32000, 0.00333,-2.441664e-003
 31.32100, 0.00500,-2.443112e-003
 31.32400, 0.00667,-2.644457e-003
 31.32200, 0.00833,-2.644581e-003
 31.32200, 0.01000,-2.643351e-003
 31.32200, 0.01167,-2.641077e-003
 31.32200, 0.01333,-2.738110e-003
 31.32300, 0.01500,-2.735020e-003
 31.32200, 0.01667,-2.733075e-003
 31.32000, 0.01833,-2.733624e-003
 31.32100, 0.02000,-2.937170e-003
 31.32300, 0.02167,-2.942819e-003
 31.32400, 0.02333,-2.948449e-003
 31.32400, 0.02500,-2.951794e-003
 31.32500, 0.02667,-3.151262e-003
 31.32500, 0.02833,-3.146695e-003
 31.32600, 0.03000,-3.139620e-003
 31.32100, 0.03167,-3.132265e-003
 31.32100, 0.03333,-3.226368e-003
 31.32400, 0.03500,-3.223051e-003
 31.32300, 0.03667,-3.222735e-003
 31.32000, 0.03833,-3.225225e-003
 31.32300, 0.04000,-3.429961e-003
 31.32400, 0.04167,-3.435685e-003
 31.32500, 0.04333,-3.440300e-003
 31.32500, 0.04500,-3.442265e-003
 31.32600, 0.04667,-3.641448e-003
 31.32500, 0.04833,-3.638785e-003
 31.32400, 0.05000,-3.635939e-003
 31.32500, 0.05167,-3.634576e-003
 31.32300, 0.05333,-3.735493e-003
 31.32500, 0.05500,-3.738440e-003
 31.32600, 0.05667,-3.742788e-003
 31.32600, 0.05833,-3.747982e-003
 31.32600, 0.06000,-3.953654e-003
 31.32700, 0.06167,-3.959404e-003
 31.32800, 0.06333,-3.964412e-003
 31.32900, 0.06500,-3.967578e-003
 31.32900, 0.06667,-4.168440e-003
 31.33000, 0.06833,-4.168244e-003
 31.32900, 0.07000,-4.169744e-003
 31.32600, 0.07167,-4.175575e-003
 31.32900, 0.07333,-4.286857e-003
 31.33200, 0.07500,-4.302833e-003
 31.33300, 0.07667,-4.321523e-003
 31.33500, 0.07833,-4.341451e-003
 31.33700, 0.08000,-4.462529e-003
 31.33800, 0.08167,-4.485605e-003
 31.34100, 0.08333,-4.512041e-003
 31.34300, 0.08500,-4.543210e-003
 31.34500, 0.08667,-4.579747e-003
 31.35000, 0.08833,-4.621195e-003
 31.35400, 0.09000,-4.766167e-003
 31.35900, 0.09167,-4.812739e-003
 31.36300, 0.09333,-4.759309e-003
 31.36800, 0.09500,-4.805592e-003
 31.37300, 0.09667,-4.853196e-003
 31.37500, 0.09833,-4.804975e-003
 31.37900, 0.10000,-4.863580e-003
 31.38700, 0.10167,-4.930355e-003
 31.39400, 0.10333,-5.004495e-003
 31.40000, 0.10500,-4.983077e-003
 31.41000, 0.10667,-5.062385e-003
 31.41900, 0.10833,-4.939565e-003
 31.42600, 0.11000,-5.013881e-003
 31.43200, 0.11167,-4.987324e-003
 31.43800, 0.11333,-5.063636e-003
 31.44600, 0.11500,-4.945795e-003
 31.45400, 0.11667,-5.034388e-003
 31.46600, 0.11833,-4.927844e-003
 31.47600, 0.12000,-5.023983e-003
 31.48500, 0.12167,-4.921380e-003
 31.49500, 0.12333,-5.019677e-003
 31.50500, 0.12500,-4.819002e-003
 31.51700, 0.12667,-4.919186e-003
 31.52700, 0.12833,-4.819845e-003
 31.53800, 0.13000,-4.920730e-003
 31.54900, 0.13167,-4.722215e-003
 31.56100, 0.13333,-4.825468e-003
 31.57100, 0.13500,-4.631760e-003
 31.58200, 0.13667,-4.741278e-003
 31.59600, 0.13833,-4.552660e-003
 31.61100, 0.14000,-4.663735e-003
 31.62300, 0.14167,-4.572921e-003
 31.63400, 0.14333,-4.679937e-003
 31.64600, 0.14500,-4.385171e-003
 31.66000, 0.14667,-4.488697e-003
 31.67400, 0.14833,-4.590510e-003
 31.68500, 0.15000,-4.391215e-003
 31.69600, 0.15167,-4.192130e-003
 31.71000, 0.15333,-4.294973e-003
 31.72400, 0.15500,-4.100798e-003
 31.73500, 0.15667,-4.209052e-003
 31.75100, 0.15833,-4.117801e-003
 31.76700, 0.16000,-4.224825e-003
 31.78000, 0.16167,-3.928513e-003
 31.79300, 0.16333,-4.028469e-003
 31.80600, 0.16500,-3.825538e-003
 31.82100, 0.16667,-3.920847e-003
 31.83300, 0.16833,-3.814837e-003
 31.84600, 0.17000,-3.906970e-003
 31.86200, 0.17167,-3.696635e-003
 31.87600, 0.17333,-3.784185e-003
 31.88600, 0.17500,-3.670824e-003
 31.89900, 0.17667,-3.757536e-003
 31.91400, 0.17833,-3.744043e-003
 31.93000, 0.18000,-3.828496e-003
 31.94200, 0.18167,-3.608893e-003
 31.95600, 0.18333,-3.684728e-003
 31.96800, 0.18500,-3.557381e-003
 31.98000, 0.18667,-3.628533e-003
 31.99200, 0.18833,-3.498941e-003
 32.00800, 0.19000,-3.568373e-003
 32.02000, 0.19167,-3.536370e-003
 32.03200, 0.19333,-3.602933e-003
 32.04500, 0.19500,-3.569017e-003
 32.05800, 0.19667,-3.635702e-003
 32.07000, 0.19833,-3.702680e-003
 32.08400, 0.20000,-3.768064e-003
 32.10000, 0.20167,-3.529703e-003
 32.11200, 0.20333,-3.586477e-003
 32.12200, 0.20500,-3.639092e-003
 32.13500, 0.20667,-3.689971e-003
 32.14700, 0.20833,-3.641957e-003
 32.15800, 0.21000,-3.696714e-003
 32.17200, 0.21167,-3.754144e-003
 32.18500, 0.21333,-3.812750e-003
 32.20000, 0.21500,-3.869902e-003
 32.21200, 0.21667,-3.923365e-003
 32.22700, 0.21833,-3.872572e-003
 32.23700, 0.22000,-3.918379e-003
 32.24700, 0.22167,-3.961752e-003
 32.26300, 0.22333,-4.003264e-003
 32.27500, 0.22500,-4.043259e-003
 32.28500, 0.22667,-4.082028e-003
 32.29700, 0.22833,-4.120154e-003
 32.30900, 0.23000,-4.158256e-003
 32.32300, 0.23167,-4.196656e-003
 32.33400, 0.23333,-4.235598e-003
 32.34400, 0.23500,-4.374997e-003
 32.35900, 0.23667,-4.414313e-003
 32.37200, 0.23833,-4.452725e-003
 32.38300, 0.24000,-4.489427e-003
 32.39600, 0.24167,-4.524433e-003
 32.40700, 0.24333,-4.558433e-003
 32.41900, 0.24500,-4.591658e-003
 32.43200, 0.24667,-4.623650e-003
 32.44400, 0.24833,-4.753374e-003
 32.45600, 0.25000,-4.779880e-003
 32.46800, 0.25167,-4.803294e-003
 32.47800, 0.25333,-4.824854e-003
 32.48900, 0.25500,-4.846635e-003
 32.50100, 0.25667,-4.870668e-003
 32.51000, 0.25833,-5.097510e-003
 32.52400, 0.26000,-5.126011e-003
 32.53900, 0.26167,-5.154550e-003
 32.54800, 0.26333,-5.182184e-003
 32.56100, 0.26500,-5.209169e-003
 32.57100, 0.26667,-5.236772e-003
 32.58400, 0.26833,-5.365437e-003
 32.59700, 0.27000,-5.394665e-003
 32.61000, 0.27167,-5.423788e-003
 32.62100, 0.27333,-5.452473e-003
 32.63300, 0.27500,-5.480881e-003
 32.64600, 0.27667,-5.509297e-003
 32.65800, 0.27833,-5.537618e-003
 32.67100, 0.28000,-5.565576e-003
 32.68300, 0.28167,-5.693280e-003
 32.69500, 0.28333,-5.721106e-003
 32.70700, 0.28500,-5.749618e-003
 32.72100, 0.28667,-5.779513e-003
 32.73200, 0.28833,-5.811298e-003
 32.74500, 0.29000,-5.844815e-003
 32.75900, 0.29167,-5.979471e-003
 32.77300, 0.29333,-6.014312e-003
 32.78500, 0.29500,-6.048279e-003
 32.79900, 0.29667,-6.080655e-003
 32.81200, 0.29833,-6.111383e-003
 32.82500, 0.30000,-6.140714e-003
 32.83700, 0.30167,-6.369452e-003
 32.85100, 0.30333,-6.398669e-003
 32.86200, 0.30500,-6.428965e-003
 32.87600, 0.30667,-6.459889e-003
 32.89100, 0.30833,-6.490377e-003
 32.90300, 0.31000,-6.519392e-003
 32.91700, 0.31167,-6.646819e-003
 32.92900, 0.31333,-6.674100e-003
 32.94100, 0.31500,-6.703010e-003
 32.95400, 0.31667,-6.734586e-003
 32.96900, 0.31833,-6.768611e-003
 32.98300, 0.32000,-6.803851e-003
 32.99700, 0.32167,-6.939069e-003
 33.01100, 0.32333,-6.973497e-003
 33.02300, 0.32500,-7.106743e-003
 33.04000, 0.32667,-7.138694e-003
 33.05200, 0.32833,-7.169788e-003
 33.06500, 0.33000,-7.200559e-003
 33.07900, 0.33167,-7.231688e-003
 33.09300, 0.33333,-7.263534e-003
 33.10700, 0.33500,-7.296169e-003
 33.12200, 0.33667,-7.329972e-003
 33.13400, 0.33833,-7.565767e-003
 33.14900, 0.34000,-7.604091e-003
 33.16400, 0.34167,-7.644749e-003
 33.17900, 0.34333,-7.686636e-003
 33.19600, 0.34500,-7.728450e-003
 33.20900, 0.34667,-7.769412e-003
 33.22400, 0.34833,-7.808972e-003
 33.24000, 0.35000,-7.846974e-003
 33.25500, 0.35167,-7.883617e-003
 33.26900, 0.35333,-7.919370e-003
 33.28300, 0.35500,-7.954828e-003
 33.29800, 0.35667,-7.990109e-003
 33.31400, 0.35833,-8.024569e-003
 33.32900, 0.36000,-8.057532e-003
 33.34300, 0.36167,-8.089035e-003
 33.35700, 0.36333,-8.120169e-003
 33.37200, 0.36500,-8.153162e-003
 33.38700, 0.36667,-8.190429e-003
 33.39900, 0.36833,-8.232819e-003
 33.41700, 0.37000,-8.278665e-003
 33.43700, 0.37167,-8.324866e-003
 33.45200, 0.37333,-8.368462e-003
 33.46700, 0.37500,-8.408123e-003
 33.48200, 0.37667,-8.444556e-003
 33.49700, 0.37833,-8.478920e-003
 33.51300, 0.38000,-8.511689e-003
 33.52900, 0.38167,-8.543330e-003
 33.54400, 0.38333,-8.575001e-003
 33.55700, 0.38500,-8.607804e-003
 33.57100, 0.38667,-8.641596e-003
 33.59200, 0.38833,-8.674916e-003
 33.60700, 0.39000,-8.706576e-003
 33.62000, 0.39167,-8.736464e-003
 33.63400, 0.39333,-8.766066e-003
 33.65100, 0.39500,-8.797726e-003
 33.66700, 0.39667,-8.833250e-003
 33.68000, 0.39833,-8.872951e-003
 33.69800, 0.40000,-8.915784e-003
 33.71800, 0.40167,-8.960023e-003
 33.73200, 0.40333,-9.003413e-003
 33.74900, 0.40500,-9.043694e-003
 33.76800, 0.40667,-9.080309e-003
 33.78300, 0.40833,-9.114480e-003
 33.79700, 0.41000,-9.148219e-003
 33.81200, 0.41167,-9.183638e-003
 33.83100, 0.41333,-9.221059e-003
 33.84600, 0.41500,-9.258651e-003
 33.86600, 0.41667,-9.293958e-003
 33.88200, 0.41833,-9.426411e-003
 33.89500, 0.42000,-9.457526e-003
 33.91200, 0.42167,-9.489843e-003
 33.92700, 0.42333,-9.525321e-003
 33.94500, 0.42500,-9.563263e-003
 33.96300, 0.42667,-9.601075e-003
 33.98100, 0.42833,-9.636270e-003
 33.99800, 0.43000,-9.667862e-003
 34.01100, 0.43167,-9.796844e-003
 34.02900, 0.43333,-9.824923e-003
 34.04400, 0.43500,-9.853467e-003
 34.06100, 0.43667,-9.882531e-003
 34.07900, 0.43833,-9.911935e-003
 34.09400, 0.44000,-9.942195e-003
 34.11000, 0.44167,-9.973926e-003
 34.12600, 0.44333,-1.000755e-002
 34.14600, 0.44500,-1.004287e-002
 34.16200, 0.44667,-1.007912e-002
 34.17800, 0.44833,-1.011485e-002
 34.19700, 0.45000,-1.014852e-002
 34.21500, 0.45167,-1.017906e-002
 34.23100, 0.45333,-1.020622e-002
 34.24700, 0.45500,-1.023123e-002
 34.26300, 0.45667,-1.025631e-002
 34.27800, 0.45833,-1.038290e-002
 34.29600, 0.46000,-1.041067e-002
 34.31500, 0.46167,-1.043833e-002
 34.33100, 0.46333,-1.046462e-002
 34.34700, 0.46500,-1.048913e-002
 34.36300, 0.46667,-1.051258e-002
 34.38100, 0.46833,-1.053602e-002
 34.39600, 0.47000,-1.056047e-002
 34.41400, 0.47167,-1.078648e-002
 34.42900, 0.47333,-1.081428e-002
 34.44800, 0.47500,-1.084349e-002
 34.46600, 0.47667,-1.087385e-002
 34.48200, 0.47833,-1.090530e-002
 34.49900, 0.48000,-1.093743e-002
 34.51700, 0.48167,-1.096913e-002
 34.53700, 0.48333,-1.099922e-002
 34.55500, 0.48500,-1.112717e-002
 34.56700, 0.48667,-1.115348e-002
 34.58800, 0.48833,-1.117912e-002
 34.60500, 0.49000,-1.120577e-002
 34.62100, 0.49167,-1.123422e-002
 34.63800, 0.49333,-1.126440e-002
 34.65700, 0.49500,-1.129542e-002
 34.67600, 0.49667,-1.132567e-002
 34.69400, 0.49833,-1.145369e-002
 34.71000, 0.50000,-1.147917e-002
 34.72800, 0.50167,-1.150279e-002
 34.74500, 0.50333,-1.152597e-002
 34.76200, 0.50500,-1.154995e-002
 34.77900, 0.50667,-1.157538e-002
 34.79700, 0.50833,-1.160197e-002
 34.81500, 0.51000,-1.162857e-002
 34.83400, 0.51167,-1.175385e-002
 34.85100, 0.51333,-1.177744e-002
 34.86800, 0.51500,-1.180006e-002
 34.88500, 0.51667,-1.182325e-002
 34.90200, 0.51833,-1.184809e-002
 34.92000, 0.52000,-1.187397e-002
 34.93900, 0.52167,-1.209909e-002
 34.95900, 0.52333,-1.212190e-002
 34.97400, 0.52500,-1.214246e-002
 34.99100, 0.52667,-1.216235e-002
 35.00800, 0.52833,-1.218411e-002
 35.02600, 0.53000,-1.220932e-002
 35.04300, 0.53167,-1.233792e-002
 35.06400, 0.53333,-1.236850e-002
 35.08200, 0.53500,-1.239996e-002
 35.10100, 0.53667,-1.253161e-002
 35.11700, 0.53833,-1.256330e-002
 35.13800, 0.54000,-1.259488e-002
 35.15800, 0.54167,-1.262651e-002
 35.17400, 0.54333,-1.265810e-002
 35.19300, 0.54500,-1.278933e-002
 35.21400, 0.54667,-1.281994e-002
 35.23100, 0.54833,-1.304943e-002
 35.25100, 0.55000,-1.307714e-002
 35.26900, 0.55167,-1.310358e-002
 35.28700, 0.55333,-1.312964e-002
 35.30500, 0.55500,-1.315598e-002
 35.32400, 0.55667,-1.328278e-002
 35.34400, 0.55833,-1.330954e-002
 35.36100, 0.56000,-1.333539e-002
 35.38100, 0.56167,-1.335967e-002
 35.40000, 0.56333,-1.338292e-002
 35.41700, 0.56500,-1.340638e-002
 35.43400, 0.56667,-1.353082e-002
 35.45400, 0.56833,-1.355593e-002
 35.47500, 0.57000,-1.358069e-002
 35.49300, 0.57167,-1.360433e-002
 35.51000, 0.57333,-1.362724e-002
 35.52900, 0.57500,-1.375079e-002
 35.54700, 0.57667,-1.377632e-002
 35.56700, 0.57833,-1.380392e-002
 35.58600, 0.58000,-1.383299e-002
 35.60600, 0.58167,-1.386260e-002
 35.62500, 0.58333,-1.409187e-002
 35.64400, 0.58500,-1.412034e-002
 35.66500, 0.58667,-1.414796e-002
