#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,J.ngb-st9                     
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,17/03/2017 1:26:13 PM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,J                             
#SAMPLE MASS /mg:            ,11.0150                       
#MATERIAL:                   ,KHCO3                         
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,311.9513                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.54900, 0.00000,-1.645848e-003
 31.54700, 0.00167,-1.949784e-003
 31.54700, 0.00333,-2.056166e-003
 31.54700, 0.00500,-2.064970e-003
 31.54900, 0.00667,-2.075751e-003
 31.54800, 0.00833,-2.086724e-003
 31.54900, 0.01000,-2.197161e-003
 31.54900, 0.01167,-2.206972e-003
 31.54900, 0.01333,-2.216157e-003
 31.55000, 0.01500,-2.224599e-003
 31.54900, 0.01667,-2.231900e-003
 31.55000, 0.01833,-2.237263e-003
 31.55000, 0.02000,-2.339968e-003
 31.55000, 0.02167,-2.340103e-003
 31.54900, 0.02333,-2.339038e-003
 31.54700, 0.02500,-2.339099e-003
 31.54600, 0.02667,-2.542072e-003
 31.54600, 0.02833,-2.547976e-003
 31.54800, 0.03000,-2.555158e-003
 31.54900, 0.03167,-2.561744e-003
 31.54800, 0.03333,-2.767217e-003
 31.54700, 0.03500,-2.772493e-003
 31.54600, 0.03667,-2.778929e-003
 31.54800, 0.03833,-2.787116e-003
 31.54800, 0.04000,-2.896628e-003
 31.54800, 0.04167,-2.906385e-003
 31.54900, 0.04333,-2.915090e-003
 31.54900, 0.04500,-2.921804e-003
 31.55100, 0.04667,-3.126204e-003
 31.54800, 0.04833,-3.128952e-003
 31.54900, 0.05000,-3.131391e-003
 31.54800, 0.05167,-3.135038e-003
 31.54800, 0.05333,-3.240635e-003
 31.54800, 0.05500,-3.247647e-003
