#EXPORTTYPE:                 ,DATA SINGLE                    
#FILE:                       ,KK.ngb-st9                     
#FORMAT:                     ,NETZSCH5                       
#FTYPE:                      ,ANSI                           
#IDENTITY:                   ,Saras                          
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,TG                             
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra         
#PROJECT:                    ,IL                             
#DATE/TIME:                  ,20/03/2017 12:21:48 PM (UTC+11)
#CORR. FILE:                 ,                               
#TEMPCAL:                    ,TCALZERO.TCX                   
#LABORATORY:                 ,Capture Lab                    
#OPERATOR:                   ,NJN                            
#REMARK:                     ,Training run                   
#SAMPLE:                     ,KK                             
#SAMPLE MASS /mg:            ,14.6570                        
#MATERIAL:                   ,zeolite                        
#TYPE OF CRUCIBLE:           ,Al2O3                          
#SAMPLE CRUCIBLE MASS /mg:   ,311.1418                       
#REFERENCE CRUCIBLE MASS /mg:,                               
#M.RANGE /mg:                ,2000                           
#CORR. CODE:                 ,090                            
#RANGE:                      ,32°C/10.0(K/min)/800°C         
#SEGMENT:                    ,S1/1                           
#SEG. 1:                     ,32°C/10.0(K/min)/800°C         

##Temp./°C,Time/min,Mass loss/mg
 31.42300, 0.00000,-1.485111e-003
 31.42200, 0.00167,-2.089866e-003
 31.42300, 0.00333,-2.097843e-003
 31.42100, 0.00500,-2.109006e-003
 31.42100, 0.00667,-2.122723e-003
 31.42500, 0.00833,-2.437117e-003
 31.42300, 0.01000,-2.450623e-003
 31.42400, 0.01167,-2.461999e-003
 31.42500, 0.01333,-2.470430e-003
 31.42400, 0.01500,-2.575472e-003
 31.42400, 0.01667,-2.577054e-003
 31.42400, 0.01833,-2.576316e-003
 31.42200, 0.02000,-2.575518e-003
 31.42000, 0.02167,-2.677031e-003
 31.41900, 0.02333,-2.682334e-003
 31.42100, 0.02500,-2.691076e-003
 31.42100, 0.02667,-2.701387e-003
 31.42200, 0.02833,-3.011187e-003
 31.42200, 0.03000,-3.019236e-003
 31.42100, 0.03167,-3.025286e-003
 31.42200, 0.03333,-3.029829e-003
 31.42100, 0.03500,-3.133807e-003
 31.42000, 0.03667,-3.137924e-003
 31.42000, 0.03833,-3.142554e-003
 31.42100, 0.04000,-3.148034e-003
 31.42000, 0.04167,-3.254421e-003
 31.41900, 0.04333,-3.261710e-003
 31.42100, 0.04500,-3.269902e-003
 31.42000, 0.04667,-3.278423e-003
 31.42000, 0.04833,-3.586546e-003
 31.42300, 0.05000,-3.593926e-003
 31.41900, 0.05167,-3.600517e-003
 31.42100, 0.05333,-3.606492e-003
 31.42200, 0.05500,-3.712196e-003
 31.41900, 0.05667,-3.717670e-003
 31.42200, 0.05833,-3.722575e-003
 31.42000, 0.06000,-3.726737e-003
 31.42100, 0.06167,-4.030233e-003
 31.42100, 0.06333,-4.034053e-003
 31.41900, 0.06500,-4.139960e-003
 31.41900, 0.06667,-4.149366e-003
 31.42000, 0.06833,-4.262479e-003
 31.42100, 0.07000,-4.277751e-003
 31.42300, 0.07167,-4.292843e-003
 31.42500, 0.07333,-4.306528e-003
 31.42400, 0.07500,-4.419851e-003
 31.42400, 0.07667,-4.435672e-003
 31.42300, 0.07833,-4.456754e-003
 31.42600, 0.08000,-4.483982e-003
 31.43000, 0.08167,-4.716179e-003
 31.43200, 0.08333,-4.751343e-003
 31.43500, 0.08500,-4.788488e-003
 31.43800, 0.08667,-4.828220e-003
 31.43900, 0.08833,-4.971805e-003
 31.44400, 0.09000,-5.019872e-003
 31.44800, 0.09167,-5.071747e-003
 31.45300, 0.09333,-5.126036e-003
 31.46000, 0.09500,-5.182070e-003
 31.46100, 0.09667,-5.240380e-003
 31.46600, 0.09833,-5.301676e-003
 31.47300, 0.10000,-5.366309e-003
 31.48000, 0.10167,-5.434155e-003
 31.48500, 0.10333,-5.404997e-003
 31.49000, 0.10500,-5.478987e-003
 31.49800, 0.10667,-5.556101e-003
 31.50600, 0.10833,-5.435879e-003
 31.51400, 0.11000,-5.517814e-003
 31.52000, 0.11167,-5.601622e-003
 31.52800, 0.11333,-5.687158e-003
 31.53800, 0.11500,-5.574315e-003
 31.54600, 0.11667,-5.663075e-003
 31.55400, 0.11833,-5.653833e-003
 31.56300, 0.12000,-5.747429e-003
 31.57200, 0.12167,-5.644307e-003
 31.58200, 0.12333,-5.744011e-003
 31.59400, 0.12500,-5.745630e-003
 31.60300, 0.12667,-5.848478e-003
 31.61400, 0.12833,-5.852321e-003
 31.62400, 0.13000,-5.957414e-003
 31.63600, 0.13167,-5.763866e-003
 31.64700, 0.13333,-5.871627e-003
 31.65900, 0.13500,-5.780754e-003
 31.67000, 0.13667,-5.891250e-003
 31.68200, 0.13833,-5.703101e-003
 31.69600, 0.14000,-5.815941e-003
 31.70600, 0.14167,-5.728660e-003
 31.72100, 0.14333,-5.839971e-003
 31.73500, 0.14500,-5.649307e-003
 31.74400, 0.14667,-5.756717e-003
 31.75800, 0.14833,-5.762647e-003
 31.77100, 0.15000,-5.867832e-003
 31.78300, 0.15167,-5.572430e-003
 31.79600, 0.15333,-5.676542e-003
 31.81000, 0.15500,-5.581005e-003
 31.82100, 0.15667,-5.686816e-003
