#EXPORTTYPE:                 ,DATA SINGLE                    
#FILE:                       ,K.ngb-st9                      
#FORMAT:                     ,NETZSCH5                       
#FTYPE:                      ,ANSI                           
#IDENTITY:                   ,Saras                          
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,TG                             
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra         
#PROJECT:                    ,IL                             
#DATE/TIME:                  ,20/03/2017 10:20:09 AM (UTC+11)
#CORR. FILE:                 ,                               
#TEMPCAL:                    ,TCALZERO.TCX                   
#LABORATORY:                 ,Capture Lab                    
#OPERATOR:                   ,NJN                            
#REMARK:                     ,Training run                   
#SAMPLE:                     ,K                              
#SAMPLE MASS /mg:            ,11.2596                        
#MATERIAL:                   ,zeolite                        
#TYPE OF CRUCIBLE:           ,Al2O3                          
#SAMPLE CRUCIBLE MASS /mg:   ,312.1269                       
#REFERENCE CRUCIBLE MASS /mg:,                               
#M.RANGE /mg:                ,2000                           
#CORR. CODE:                 ,090                            
#RANGE:                      ,32°C/10.0(K/min)/800°C         
#SEGMENT:                    ,S1/1                           
#SEG. 1:                     ,32°C/10.0(K/min)/800°C         

##Temp./°C,Time/min,Mass loss/mg
 31.96500, 0.00000,-2.133500e-003
 31.96500, 0.00167,-2.232883e-003
 31.96600, 0.00333,-2.230330e-003
 31.96500, 0.00500,-2.225890e-003
 31.96300, 0.00667,-2.220607e-003
 31.96300, 0.00833,-2.217640e-003
 31.96100, 0.01000,-2.218654e-003
 31.96300, 0.01167,-2.223993e-003
 31.96300, 0.01333,-2.232988e-003
 31.96300, 0.01500,-2.443905e-003
 31.96600, 0.01667,-2.454445e-003
 31.96600, 0.01833,-2.462724e-003
 31.96800, 0.02000,-2.467805e-003
 31.96600, 0.02167,-2.470012e-003
 31.96600, 0.02333,-2.470105e-003
 31.96600, 0.02500,-2.468513e-003
 31.96700, 0.02667,-2.465296e-003
 31.96600, 0.02833,-2.460750e-003
 31.96500, 0.03000,-2.455773e-003
 31.96300, 0.03167,-2.551511e-003
 31.96400, 0.03333,-2.548616e-003
 31.96400, 0.03500,-2.547385e-003
 31.96400, 0.03667,-2.548006e-003
 31.96200, 0.03833,-2.650380e-003
 31.96300, 0.04000,-2.653721e-003
 31.96500, 0.04167,-2.656612e-003
 31.96500, 0.04333,-2.657519e-003
 31.96400, 0.04500,-2.656214e-003
 31.96500, 0.04667,-2.654249e-003
 31.96100, 0.04833,-2.653717e-003
 31.96200, 0.05000,-2.655583e-003
 31.96400, 0.05167,-2.759489e-003
 31.96400, 0.05333,-2.764408e-003
 31.96500, 0.05500,-2.769710e-003
 31.96300, 0.05667,-2.775634e-003
 31.96400, 0.05833,-2.781848e-003
 31.96500, 0.06000,-2.786867e-003
 31.96800, 0.06167,-2.789152e-003
 31.96700, 0.06333,-2.788777e-003
 31.96400, 0.06500,-2.987922e-003
 31.96400, 0.06667,-2.989780e-003
 31.96400, 0.06833,-2.996397e-003
 31.96500, 0.07000,-3.007011e-003
 31.96700, 0.07167,-3.019228e-003
 31.97100, 0.07333,-3.031322e-003
 31.96800, 0.07500,-3.043489e-003
 31.96900, 0.07667,-3.057537e-003
 31.97000, 0.07833,-3.075690e-003
 31.97200, 0.08000,-3.098426e-003
 31.97400, 0.08167,-3.124343e-003
 31.97900, 0.08333,-3.151804e-003
 31.98000, 0.08500,-3.180202e-003
 31.98100, 0.08667,-3.210339e-003
 31.98500, 0.08833,-3.243941e-003
 31.98600, 0.09000,-3.282140e-003
 31.99100, 0.09167,-3.324452e-003
 31.99600, 0.09333,-3.369909e-003
 32.00100, 0.09500,-3.418326e-003
 32.00300, 0.09667,-3.470599e-003
 32.00700, 0.09833,-3.327940e-003
 32.01400, 0.10000,-3.390637e-003
 32.02100, 0.10167,-3.457569e-003
 32.02700, 0.10333,-3.527016e-003
 32.03400, 0.10500,-3.497944e-003
 32.04000, 0.10667,-3.570407e-003
 32.04700, 0.10833,-3.644857e-003
 32.05400, 0.11000,-3.721877e-003
 32.06300, 0.11167,-3.601959e-003
 32.06900, 0.11333,-3.685380e-003
 32.07800, 0.11500,-3.571934e-003
 32.08700, 0.11667,-3.661006e-003
 32.09700, 0.11833,-3.651754e-003
 32.10600, 0.12000,-3.743493e-003
 32.11400, 0.12167,-3.735562e-003
 32.12400, 0.12333,-3.827031e-003
 32.13600, 0.12500,-3.617175e-003
 32.14500, 0.12667,-3.706181e-003
 32.15200, 0.12833,-3.694859e-003
 32.16100, 0.13000,-3.783847e-003
 32.17400, 0.13167,-3.673410e-003
 32.18500, 0.13333,-3.764064e-003
 32.19200, 0.13500,-3.557062e-003
 32.20100, 0.13667,-3.653695e-003
 32.21400, 0.13833,-3.553724e-003
 32.22700, 0.14000,-3.655155e-003
 32.24100, 0.14167,-3.455957e-003
 32.24900, 0.14333,-3.555911e-003
 32.26000, 0.14500,-3.455799e-003
 32.27200, 0.14667,-3.555858e-003
 32.28700, 0.14833,-3.355056e-003
 32.29900, 0.15000,-3.451978e-003
 32.30900, 0.15167,-3.146207e-003
 32.32100, 0.15333,-3.238834e-003
 32.33300, 0.15500,-3.131519e-003
 32.34400, 0.15667,-3.225335e-003
 32.35800, 0.15833,-3.020505e-003
 32.36900, 0.16000,-3.116304e-003
 32.38200, 0.16167,-3.010776e-003
 32.39700, 0.16333,-3.102175e-003
 32.41000, 0.16500,-2.889881e-003
 32.41800, 0.16667,-2.974321e-003
 32.43200, 0.16833,-2.756764e-003
 32.44500, 0.17000,-2.838563e-003
