#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,LL.ngb-st9                    
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,20/03/2017 2:16:03 PM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,LL                            
#SAMPLE MASS /mg:            ,18.2313                       
#MATERIAL:                   ,zeolite                       
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,311.1406                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.60800, 0.00000,-1.675455e-003
 31.60800, 0.00167,-2.278413e-003
 31.60700, 0.00333,-2.282873e-003
 31.60700, 0.00500,-2.288800e-003
 31.60800, 0.00667,-2.496079e-003
 31.60600, 0.00833,-2.504253e-003
 31.60800, 0.01000,-2.512784e-003
 31.60700, 0.01167,-2.521118e-003
 31.60900, 0.01333,-2.728917e-003
 31.60800, 0.01500,-2.736722e-003
 31.60700, 0.01667,-2.745586e-003
 31.60700, 0.01833,-2.755868e-003
 31.60800, 0.02000,-2.866588e-003
 31.61100, 0.02167,-2.876044e-003
 31.61000, 0.02333,-2.883177e-003
 31.60900, 0.02500,-2.888086e-003
 31.60800, 0.02667,-3.191784e-003
 31.61000, 0.02833,-3.195261e-003
 31.60800, 0.03000,-3.199031e-003
 31.60900, 0.03167,-3.203342e-003
 31.60800, 0.03333,-3.308472e-003
 31.60800, 0.03500,-3.314360e-003
 31.60900, 0.03667,-3.420585e-003
 31.60900, 0.03833,-3.426779e-003
 31.60900, 0.04000,-3.432544e-003
 31.60800, 0.04167,-3.437696e-003
 31.61000, 0.04333,-3.642425e-003
 31.60900, 0.04500,-3.647243e-003
 31.60800, 0.04667,-3.652938e-003
 31.60900, 0.04833,-3.660037e-003
 31.60800, 0.05000,-3.868304e-003
 31.61100, 0.05167,-3.876612e-003
 31.61000, 0.05333,-3.883423e-003
 31.61000, 0.05500,-3.887309e-003
 31.61200, 0.05667,-3.987799e-003
 31.61000, 0.05833,-3.985675e-003
 31.60800, 0.06000,-3.982199e-003
 31.60800, 0.06167,-3.979092e-003
 31.60900, 0.06333,-4.278347e-003
 31.60600, 0.06500,-4.281366e-003
 31.60500, 0.06667,-4.288618e-003
 31.60900, 0.06833,-4.299786e-003
 31.60900, 0.07000,-4.413963e-003
 31.60900, 0.07167,-4.430017e-003
 31.61000, 0.07333,-4.447396e-003
 31.61300, 0.07500,-4.466177e-003
 31.61300, 0.07667,-4.786702e-003
 31.61400, 0.07833,-4.809470e-003
 31.61600, 0.08000,-4.835154e-003
 31.61900, 0.08167,-4.864226e-003
 31.62000, 0.08333,-4.896646e-003
 31.62300, 0.08500,-4.931924e-003
 31.62700, 0.08667,-4.969480e-003
 31.63000, 0.08833,-5.008932e-003
 31.63300, 0.09000,-5.050397e-003
 31.63600, 0.09167,-5.094487e-003
 31.64000, 0.09333,-5.141564e-003
 31.64400, 0.09500,-5.191433e-003
 31.65000, 0.09667,-5.243920e-003
 31.65400, 0.09833,-5.299730e-003
 31.65800, 0.10000,-5.360720e-003
 31.66300, 0.10167,-5.429004e-003
 31.66900, 0.10333,-5.305411e-003
 31.67800, 0.10500,-5.388596e-003
 31.68600, 0.10667,-5.475167e-003
 31.69400, 0.10833,-5.560954e-003
