#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,L.ngb-st9                     
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,9/03/2017 12:53:31 PM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,L                             
#SAMPLE MASS /mg:            ,13.0009                       
#MATERIAL:                   ,KHCO3                         
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,310.8731                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.41300, 0.00000,-1.530940e-003
 31.41400, 0.00167,-1.634685e-003
 31.41400, 0.00333,-1.640660e-003
 31.41300, 0.00500,-1.648822e-003
 31.41200, 0.00667,-1.758751e-003
 31.41200, 0.00833,-1.769780e-003
 31.41500, 0.01000,-1.781165e-003
 31.41400, 0.01167,-1.792302e-003
 31.41400, 0.01333,-2.102753e-003
 31.41400, 0.01500,-2.112541e-003
 31.41400, 0.01667,-2.121389e-003
 31.41500, 0.01833,-2.128615e-003
 31.41600, 0.02000,-2.234074e-003
 31.41400, 0.02167,-2.238684e-003
 31.41300, 0.02333,-2.244001e-003
 31.41300, 0.02500,-2.251465e-003
 31.41400, 0.02667,-2.461440e-003
 31.41400, 0.02833,-2.473069e-003
 31.41500, 0.03000,-2.485061e-003
 31.41600, 0.03167,-2.496137e-003
 31.41500, 0.03333,-2.805097e-003
 31.41700, 0.03500,-2.811241e-003
 31.41700, 0.03667,-2.814945e-003
 31.41500, 0.03833,-2.817469e-003
 31.41400, 0.04000,-2.920438e-003
 31.41500, 0.04167,-2.925323e-003
 31.41500, 0.04333,-2.932761e-003
 31.41400, 0.04500,-2.942050e-003
 31.41500, 0.04667,-3.251635e-003
 31.41800, 0.04833,-3.260053e-003
 31.41700, 0.05000,-3.266534e-003
 31.41500, 0.05167,-3.271468e-003
 31.41700, 0.05333,-3.376165e-003
 31.41500, 0.05500,-3.381682e-003
 31.41600, 0.05667,-3.388055e-003
 31.41700, 0.05833,-3.394990e-003
 31.41700, 0.06000,-3.502288e-003
 31.41600, 0.06167,-3.509781e-003
 31.41700, 0.06333,-3.517488e-003
 31.41800, 0.06500,-3.525561e-003
