#EXPORTTYPE:                 ,DATA SINGLE                    
#FILE:                       ,MM.ngb-st9                     
#FORMAT:                     ,NETZSCH5                       
#FTYPE:                      ,ANSI                           
#IDENTITY:                   ,Saras                          
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,TG                             
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra         
#PROJECT:                    ,IL                             
#DATE/TIME:                  ,21/03/2017 10:11:39 AM (UTC+11)
#CORR. FILE:                 ,                               
#TEMPCAL:                    ,TCALZERO.TCX                   
#LABORATORY:                 ,Capture Lab                    
#OPERATOR:                   ,NJN                            
#REMARK:                     ,Training run                   
#SAMPLE:                     ,MM                             
#SAMPLE MASS /mg:            ,11.2769                        
#MATERIAL:                   ,zeolite                        
#TYPE OF CRUCIBLE:           ,Al2O3                          
#SAMPLE CRUCIBLE MASS /mg:   ,311.1645                       
#REFERENCE CRUCIBLE MASS /mg:,                               
#M.RANGE /mg:                ,2000                           
#CORR. CODE:                 ,090                            
#RANGE:                      ,32°C/10.0(K/min)/800°C         
#SEGMENT:                    ,S1/1                           
#SEG. 1:                     ,32°C/10.0(K/min)/800°C         

##Temp./°C,Time/min,Mass loss/mg
 31.76700, 0.00000,-2.278087e-003
 31.76500, 0.00167,-2.280310e-003
 31.76800, 0.00333,-2.283328e-003
 31.76700, 0.00500,-2.287179e-003
 31.76700, 0.00667,-2.290986e-003
 31.77000, 0.00833,-2.292366e-003
 31.77000, 0.01000,-2.290524e-003
 31.76800, 0.01167,-2.286012e-003
 31.76800, 0.01333,-2.279953e-003
 31.76700, 0.01500,-2.273420e-003
 31.76800, 0.01667,-2.266727e-003
 31.76700, 0.01833,-2.259877e-003
 31.76600, 0.02000,-2.252967e-003
 31.76600, 0.02167,-2.246613e-003
 31.76600, 0.02333,-2.242132e-003
 31.76400, 0.02500,-2.240779e-003
 31.76400, 0.02667,-2.243041e-003
 31.76600, 0.02833,-2.248469e-003
 31.76700, 0.03000,-2.255421e-003
 31.76600, 0.03167,-2.261611e-003
 31.77000, 0.03333,-2.265368e-003
 31.76900, 0.03500,-2.466522e-003
 31.76800, 0.03667,-2.465926e-003
 31.76700, 0.03833,-2.465076e-003
 31.76900, 0.04000,-2.465345e-003
 31.76800, 0.04167,-2.467091e-003
 31.76800, 0.04333,-2.469655e-003
 31.77000, 0.04500,-2.472090e-003
 31.77000, 0.04667,-2.473174e-003
 31.76900, 0.04833,-2.471475e-003
 31.77100, 0.05000,-2.466506e-003
 31.77100, 0.05167,-2.459402e-003
 31.76700, 0.05333,-2.452465e-003
 31.76700, 0.05500,-2.448263e-003
 31.76700, 0.05667,-2.447963e-003
