#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,M.ngb-st9                     
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,20/03/2017 4:03:47 PM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,M                             
#SAMPLE MASS /mg:            ,18.9745                       
#MATERIAL:                   ,zeolite                       
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,312.0043                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 32.22500, 0.00000,-1.909441e-003
 32.22400, 0.00167,-2.611028e-003
 32.22400, 0.00333,-2.612958e-003
 32.22400, 0.00500,-2.815237e-003
 32.22300, 0.00667,-2.817735e-003
 32.22300, 0.00833,-2.920179e-003
 32.22300, 0.01000,-2.922560e-003
 32.22200, 0.01167,-3.224953e-003
 32.22200, 0.01333,-3.227479e-003
 32.22200, 0.01500,-3.330542e-003
 32.22100, 0.01667,-3.334624e-003
 32.22100, 0.01833,-3.440080e-003
 32.22100, 0.02000,-3.446759e-003
 32.22100, 0.02167,-3.753417e-003
 32.22200, 0.02333,-3.758082e-003
 32.22300, 0.02500,-3.858990e-003
 32.22100, 0.02667,-3.855639e-003
 32.22100, 0.02833,-4.149787e-003
 32.21900, 0.03000,-4.145374e-003
 32.21500, 0.03167,-4.346310e-003
 32.21500, 0.03333,-4.354179e-003
 32.21800, 0.03500,-4.467707e-003
 32.22100, 0.03667,-4.483645e-003
 32.22000, 0.03833,-4.798804e-003
 32.22100, 0.04000,-4.811178e-003
 32.22100, 0.04167,-4.919765e-003
 32.22300, 0.04333,-4.924211e-003
 32.22300, 0.04500,-5.225312e-003
 32.22000, 0.04667,-5.224989e-003
 32.21900, 0.04833,-5.425150e-003
 32.21900, 0.05000,-5.426490e-003
 32.22100, 0.05167,-5.727993e-003
 32.22000, 0.05333,-5.728071e-003
 32.22000, 0.05500,-5.925977e-003
 32.21800, 0.05667,-5.922583e-003
 32.21800, 0.05833,-6.019756e-003
 32.21600, 0.06000,-6.019489e-003
 32.21600, 0.06167,-6.322883e-003
 32.21600, 0.06333,-6.329623e-003
 32.21700, 0.06500,-6.738310e-003
 32.21900, 0.06667,-6.747089e-003
 32.21700, 0.06833,-6.954234e-003
 32.21900, 0.07000,-6.958572e-003
 32.21900, 0.07167,-7.260030e-003
 32.21800, 0.07333,-7.259700e-003
 32.21700, 0.07500,-7.359913e-003
 32.21600, 0.07667,-7.363651e-003
 32.21500, 0.07833,-7.573221e-003
 32.21700, 0.08000,-7.589372e-003
 32.21800, 0.08167,-7.811478e-003
 32.22100, 0.08333,-7.837900e-003
 32.22200, 0.08500,-8.066797e-003
 32.22500, 0.08667,-8.096540e-003
 32.22800, 0.08833,-8.226350e-003
 32.23000, 0.09000,-8.256983e-003
 32.23200, 0.09167,-8.290559e-003
 32.23200, 0.09333,-8.329531e-003
 32.23700, 0.09500,-8.574854e-003
 32.24100, 0.09667,-8.625360e-003
 32.24800, 0.09833,-8.678753e-003
 32.25200, 0.10000,-8.733476e-003
 32.25500, 0.10167,-8.789526e-003
 32.26000, 0.10333,-8.847909e-003
 32.26600, 0.10500,-8.909602e-003
 32.27100, 0.10667,-8.974747e-003
 32.27800, 0.10833,-9.042579e-003
 32.28300, 0.11000,-8.912242e-003
 32.29200, 0.11167,-8.982951e-003
 32.29600, 0.11333,-9.054709e-003
 32.30500, 0.11500,-9.128503e-003
 32.31000, 0.11667,-9.006185e-003
 32.31700, 0.11833,-9.089184e-003
 32.32600, 0.12000,-9.077608e-003
 32.33500, 0.12167,-9.169662e-003
 32.34500, 0.12333,-8.962275e-003
 32.35600, 0.12500,-9.053193e-003
 32.36400, 0.12667,-9.042185e-003
 32.37000, 0.12833,-9.130595e-003
 32.38100, 0.13000,-9.120260e-003
 32.39000, 0.13167,-9.212382e-003
 32.40000, 0.13333,-9.006796e-003
 32.41000, 0.13500,-9.102831e-003
 32.42100, 0.13667,-9.000054e-003
 32.43100, 0.13833,-9.098323e-003
 32.44100, 0.14000,-8.897595e-003
 32.45300, 0.14167,-8.997847e-003
 32.46400, 0.14333,-8.998957e-003
 32.47500, 0.14500,-9.100470e-003
 32.48600, 0.14667,-8.902001e-003
 32.50000, 0.14833,-9.003496e-003
 32.50900, 0.15000,-8.905316e-003
 32.52200, 0.15167,-9.007652e-003
 32.53300, 0.15333,-9.010372e-003
 32.54700, 0.15500,-9.112378e-003
 32.55900, 0.15667,-8.912174e-003
 32.57200, 0.15833,-9.008727e-003
 32.58300, 0.16000,-9.001754e-003
 32.59400, 0.16167,-9.091243e-003
 32.60700, 0.16333,-8.877390e-003
 32.61900, 0.16500,-8.960866e-003
 32.62900, 0.16667,-8.942976e-003
 32.64000, 0.16833,-9.025414e-003
 32.65100, 0.17000,-9.008988e-003
 32.66300, 0.17167,-9.092365e-003
 32.67800, 0.17333,-9.073295e-003
 32.69100, 0.17500,-9.150877e-003
 32.69800, 0.17667,-9.226171e-003
 32.70900, 0.17833,-9.301058e-003
 32.72200, 0.18000,-9.176492e-003
 32.73500, 0.18167,-9.251073e-003
 32.74700, 0.18333,-9.322545e-003
 32.76000, 0.18500,-9.390173e-003
 32.76800, 0.18667,-9.355398e-003
 32.77900, 0.18833,-9.420519e-003
 32.79100, 0.19000,-9.487488e-003
 32.80300, 0.19167,-9.556763e-003
 32.81500, 0.19333,-9.527200e-003
 32.82700, 0.19500,-9.596990e-003
 32.84100, 0.19667,-9.664504e-003
 32.85200, 0.19833,-9.728770e-003
 32.86300, 0.20000,-9.789373e-003
 32.87500, 0.20167,-9.846532e-003
 32.88700, 0.20333,-1.000093e-002
 32.89700, 0.20500,-1.005352e-002
 32.90800, 0.20667,-1.010548e-002
 32.91900, 0.20833,-1.015778e-002
 32.93000, 0.21000,-1.031052e-002
 32.94300, 0.21167,-1.036317e-002
 32.95400, 0.21333,-1.041490e-002
 32.96400, 0.21500,-1.046471e-002
 32.97800, 0.21667,-1.071203e-002
 32.98800, 0.21833,-1.075696e-002
 32.99800, 0.22000,-1.079971e-002
 33.00900, 0.22167,-1.084053e-002
 33.02100, 0.22333,-1.107947e-002
 33.03100, 0.22500,-1.111640e-002
 33.04200, 0.22667,-1.115147e-002
 33.05100, 0.22833,-1.118560e-002
 33.06300, 0.23000,-1.132018e-002
 33.07200, 0.23167,-1.135699e-002
 33.08300, 0.23333,-1.139701e-002
 33.09300, 0.23500,-1.143967e-002
 33.10700, 0.23667,-1.178271e-002
 33.12000, 0.23833,-1.182357e-002
 33.13000, 0.24000,-1.196061e-002
 33.14000, 0.24167,-1.199379e-002
 33.15100, 0.24333,-1.212419e-002
 33.16100, 0.24500,-1.215275e-002
 33.17200, 0.24667,-1.237976e-002
 33.18300, 0.24833,-1.240547e-002
 33.19200, 0.25000,-1.253014e-002
