#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,NN.ngb-st9                    
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,21/03/2017 2:49:23 PM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,NN                            
#SAMPLE MASS /mg:            ,17.6340                       
#MATERIAL:                   ,zeolite                       
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,311.1824                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 32.37200, 0.00000,-2.510991e-003
 32.37100, 0.00167,-2.909139e-003
 32.37200, 0.00333,-2.904272e-003
 32.37100, 0.00500,-2.896470e-003
 32.37200, 0.00667,-3.086199e-003
 32.37000, 0.00833,-3.074880e-003
 32.36900, 0.01000,-3.064373e-003
 32.36700, 0.01167,-3.056523e-003
 32.36700, 0.01333,-3.252506e-003
 32.36800, 0.01500,-3.252302e-003
 32.36800, 0.01667,-3.354703e-003
 32.36800, 0.01833,-3.357782e-003
 32.37000, 0.02000,-3.359506e-003
 32.37000, 0.02167,-3.358246e-003
 32.37000, 0.02333,-3.453389e-003
 32.37000, 0.02500,-3.445789e-003
 32.36700, 0.02667,-3.437150e-003
 32.36700, 0.02833,-3.428748e-003
 32.36700, 0.03000,-3.721086e-003
 32.36700, 0.03167,-3.713902e-003
 32.36600, 0.03333,-3.706718e-003
 32.36500, 0.03500,-3.699638e-003
 32.36600, 0.03667,-3.793246e-003
 32.36300, 0.03833,-3.788067e-003
 32.36400, 0.04000,-3.783915e-003
 32.36400, 0.04167,-3.780340e-003
 32.36500, 0.04333,-3.977045e-003
 32.36300, 0.04500,-3.974239e-003
 32.36200, 0.04667,-3.972298e-003
 32.36300, 0.04833,-3.971147e-003
 32.36400, 0.05000,-4.170347e-003
 32.36400, 0.05167,-4.169705e-003
 32.36200, 0.05333,-4.269441e-003
 32.36200, 0.05500,-4.269780e-003
 32.36400, 0.05667,-4.370637e-003
 32.36400, 0.05833,-4.371737e-003
 32.36300, 0.06000,-4.472962e-003
 32.36300, 0.06167,-4.474323e-003
 32.36300, 0.06333,-4.675409e-003
 32.36500, 0.06500,-4.675489e-003
