#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,N.ngb-st9                     
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,21/03/2017 1:02:09 PM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,N                             
#SAMPLE MASS /mg:            ,10.6537                       
#MATERIAL:                   ,zeolite                       
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,312.0539                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.49000, 0.00000,-2.293855e-003
 31.49000, 0.00167,-2.592925e-003
 31.49000, 0.00333,-2.589661e-003
 31.49200, 0.00500,-2.584096e-003
 31.49000, 0.00667,-2.676959e-003
 31.48800, 0.00833,-2.670706e-003
 31.48900, 0.01000,-2.667026e-003
 31.48900, 0.01167,-2.666282e-003
 31.48800, 0.01333,-2.667543e-003
 31.49200, 0.01500,-2.669325e-003
 31.49000, 0.01667,-2.770508e-003
 31.49100, 0.01833,-2.770526e-003
 31.49100, 0.02000,-2.769663e-003
 31.49100, 0.02167,-2.768376e-003
 31.49100, 0.02333,-2.866541e-003
 31.49100, 0.02500,-2.863405e-003
 31.49200, 0.02667,-2.857894e-003
 31.49200, 0.02833,-2.849594e-003
 31.49100, 0.03000,-3.039340e-003
 31.48800, 0.03167,-3.029034e-003
 31.48900, 0.03333,-3.020931e-003
 31.48800, 0.03500,-3.016698e-003
 31.48700, 0.03667,-3.116406e-003
 31.48800, 0.03833,-3.118362e-003
 31.49000, 0.04000,-3.120107e-003
 31.49200, 0.04167,-3.119817e-003
 31.48900, 0.04333,-3.117387e-003
 31.48900, 0.04500,-3.114348e-003
 31.48900, 0.04667,-3.212856e-003
 31.48900, 0.04833,-3.213828e-003
 31.48800, 0.05000,-3.216324e-003
 31.49200, 0.05167,-3.218676e-003
 31.49200, 0.05333,-3.219664e-003
 31.49000, 0.05500,-3.219183e-003
 31.49100, 0.05667,-3.318237e-003
 31.49000, 0.05833,-3.317859e-003
 31.49100, 0.06000,-3.318091e-003
 31.49200, 0.06167,-3.318567e-003
 31.49200, 0.06333,-3.519377e-003
 31.49100, 0.06500,-3.520960e-003
