#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,Q.ngb-st9                     
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,21/03/2017 4:47:06 PM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,Q                             
#SAMPLE MASS /mg:            ,11.3483                       
#MATERIAL:                   ,zeolite                       
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,312.0190                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.57100, 0.00000,-2.051744e-003
 31.57200, 0.00167,-2.253213e-003
 31.57100, 0.00333,-2.254736e-003
 31.57100, 0.00500,-2.356296e-003
 31.57200, 0.00667,-2.358018e-003
 31.57100, 0.00833,-2.360095e-003
 31.57100, 0.01000,-2.362174e-003
 31.57300, 0.01167,-2.463527e-003
 31.57100, 0.01333,-2.463588e-003
 31.57300, 0.01500,-2.562311e-003
 31.57100, 0.01667,-2.560296e-003
 31.57000, 0.01833,-2.558334e-003
 31.57200, 0.02000,-2.557214e-003
 31.57000, 0.02167,-2.557497e-003
 31.57000, 0.02333,-2.559069e-003
 31.57100, 0.02500,-2.761434e-003
 31.57100, 0.02667,-2.763980e-003
 31.57200, 0.02833,-2.766312e-003
 31.57100, 0.03000,-2.768985e-003
 31.57100, 0.03167,-2.772765e-003
 31.57000, 0.03333,-2.777590e-003
 31.57300, 0.03500,-2.882509e-003
 31.57400, 0.03667,-2.886148e-003
 31.57200, 0.03833,-2.887543e-003
 31.57300, 0.04000,-2.886650e-003
 31.57300, 0.04167,-2.884280e-003
 31.57200, 0.04333,-2.881671e-003
 31.57200, 0.04500,-2.979705e-003
 31.56900, 0.04667,-2.978515e-003
 31.57400, 0.04833,-2.977675e-003
 31.57200, 0.05000,-2.976932e-003
 31.57000, 0.05167,-2.976246e-003
 31.57100, 0.05333,-2.976082e-003
 31.57200, 0.05500,-3.076849e-003
 31.57000, 0.05667,-3.078115e-003
 31.57200, 0.05833,-3.079371e-003
 31.57200, 0.06000,-3.080736e-003
 31.57100, 0.06167,-3.282753e-003
 31.57100, 0.06333,-3.286190e-003
 31.57100, 0.06500,-3.291291e-003
 31.57200, 0.06667,-3.297635e-003
 31.57500, 0.06833,-3.404867e-003
 31.57200, 0.07000,-3.413123e-003
 31.57300, 0.07167,-3.422501e-003
 31.57500, 0.07333,-3.433023e-003
 31.57700, 0.07500,-3.544909e-003
 31.57700, 0.07667,-3.558986e-003
 31.57600, 0.07833,-3.576973e-003
 31.57900, 0.08000,-3.600418e-003
 31.58100, 0.08167,-3.629321e-003
 31.58400, 0.08333,-3.662095e-003
 31.58900, 0.08500,-3.696472e-003
 31.59000, 0.08667,-3.730621e-003
 31.59500, 0.08833,-3.863890e-003
 31.59700, 0.09000,-3.897011e-003
 31.59800, 0.09167,-3.931218e-003
