#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,R.ngb-st9                     
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,22/03/2017 9:43:44 AM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,R                             
#SAMPLE MASS /mg:            ,18.8541                       
#MATERIAL:                   ,zeolite                       
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,311.2628                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.52600, 0.00000,-2.518503e-003
 31.52700, 0.00167,-3.419039e-003
 31.52700, 0.00333,-3.418708e-003
 31.52600, 0.00500,-3.517520e-003
 31.52900, 0.00667,-3.514774e-003
 31.53000, 0.00833,-3.508377e-003
 31.52900, 0.01000,-3.497512e-003
 31.52800, 0.01167,-3.683090e-003
 31.52700, 0.01333,-3.667626e-003
 31.52500, 0.01500,-3.653653e-003
 31.52400, 0.01667,-3.642833e-003
 31.52600, 0.01833,-3.835757e-003
 31.52400, 0.02000,-3.831900e-003
 31.52500, 0.02167,-3.829848e-003
 31.52600, 0.02333,-3.827968e-003
 31.52700, 0.02500,-3.924953e-003
 31.52700, 0.02667,-3.920593e-003
 31.52600, 0.02833,-3.916022e-003
 31.52500, 0.03000,-3.912730e-003
 31.52600, 0.03167,-4.111574e-003
 31.52700, 0.03333,-4.112159e-003
 31.52700, 0.03500,-4.113170e-003
 31.52900, 0.03667,-4.113568e-003
 31.52900, 0.03833,-4.313029e-003
 31.52700, 0.04000,-4.311559e-003
 31.53000, 0.04167,-4.309070e-003
 31.52900, 0.04333,-4.305301e-003
 31.53000, 0.04500,-4.499941e-003
 31.52900, 0.04667,-4.493395e-003
 31.52900, 0.04833,-4.486811e-003
 31.52800, 0.05000,-4.481348e-003
 31.52800, 0.05167,-4.577248e-003
 31.52800, 0.05333,-4.573701e-003
 31.53100, 0.05500,-4.569661e-003
 31.52900, 0.05667,-4.564781e-003
 31.52800, 0.05833,-4.759465e-003
 31.52800, 0.06000,-4.754508e-003
 31.52900, 0.06167,-4.750436e-003
 31.52900, 0.06333,-4.747673e-003
 31.52900, 0.06500,-4.946918e-003
 31.52700, 0.06667,-4.948646e-003
 31.52900, 0.06833,-5.052460e-003
 31.53200, 0.07000,-5.057657e-003
 31.53200, 0.07167,-5.064091e-003
 31.53100, 0.07333,-5.072414e-003
 31.53100, 0.07500,-5.283349e-003
 31.53500, 0.07667,-5.296689e-003
 31.53700, 0.07833,-5.311942e-003
 31.53900, 0.08000,-5.329541e-003
 31.53700, 0.08167,-5.451232e-003
 31.54100, 0.08333,-5.478830e-003
 31.54400, 0.08500,-5.512681e-003
 31.54800, 0.08667,-5.551169e-003
 31.55300, 0.08833,-5.591937e-003
 31.55700, 0.09000,-5.633659e-003
 31.56100, 0.09167,-5.676504e-003
 31.56300, 0.09333,-5.721277e-003
 31.56800, 0.09500,-5.768227e-003
 31.57500, 0.09667,-5.816991e-003
 31.58000, 0.09833,-5.767518e-003
 31.58300, 0.10000,-5.820825e-003
 31.58800, 0.10167,-5.878737e-003
 31.59400, 0.10333,-5.942331e-003
 31.60100, 0.10500,-5.810866e-003
 31.61000, 0.10667,-5.882640e-003
 31.61700, 0.10833,-5.856608e-003
 31.62300, 0.11000,-5.932733e-003
 31.63000, 0.11167,-5.811440e-003
 31.64000, 0.11333,-5.892971e-003
 31.64900, 0.11500,-5.777036e-003
 31.65600, 0.11667,-5.863189e-003
 31.66600, 0.11833,-5.851208e-003
 31.67500, 0.12000,-5.941056e-003
 31.68500, 0.12167,-5.832640e-003
 31.69500, 0.12333,-5.926071e-003
 31.70400, 0.12500,-5.721770e-003
 31.71500, 0.12667,-5.819825e-003
 31.72500, 0.12833,-5.719796e-003
 31.73800, 0.13000,-5.820568e-003
 31.74800, 0.13167,-5.520798e-003
 31.76000, 0.13333,-5.619483e-003
 31.77100, 0.13500,-5.416127e-003
 31.78100, 0.13667,-5.510600e-003
 31.79400, 0.13833,-5.403318e-003
 31.80400, 0.14000,-5.495620e-003
 31.81400, 0.14167,-5.289326e-003
 31.82500, 0.14333,-5.386224e-003
 31.83800, 0.14500,-5.187326e-003
 31.85000, 0.14667,-5.292188e-003
 31.86300, 0.14833,-4.998968e-003
 31.87700, 0.15000,-5.105148e-003
 31.89100, 0.15167,-4.908568e-003
 31.90400, 0.15333,-5.008338e-003
 31.91500, 0.15500,-4.905190e-003
 31.92800, 0.15667,-5.000974e-003
 31.94000, 0.15833,-4.797462e-003
 31.95300, 0.16000,-4.895322e-003
 31.96700, 0.16167,-4.694277e-003
 31.98100, 0.16333,-4.493323e-003
 31.99300, 0.16500,-4.591111e-003
 32.00900, 0.16667,-4.686520e-003
 32.02100, 0.16833,-4.378812e-003
 32.03400, 0.17000,-4.367595e-003
 32.04900, 0.17167,-4.453543e-003
 32.06000, 0.17333,-4.537866e-003
 32.07100, 0.17500,-4.420977e-003
 32.08700, 0.17667,-4.202415e-003
 32.10100, 0.17833,-4.281188e-003
 32.11200, 0.18000,-4.356334e-003
 32.12500, 0.18167,-4.228028e-003
 32.13700, 0.18333,-4.097493e-003
 32.14900, 0.18500,-4.165926e-003
 32.16200, 0.18667,-4.234250e-003
 32.17400, 0.18833,-4.102995e-003
 32.18600, 0.19000,-4.071811e-003
 32.20000, 0.19167,-4.139886e-003
 32.21400, 0.19333,-4.206774e-003
 32.22500, 0.19500,-4.072321e-003
 32.23600, 0.19667,-4.136412e-003
 32.25200, 0.19833,-4.198875e-003
 32.26400, 0.20000,-4.259433e-003
 32.27500, 0.20167,-4.217558e-003
 32.28800, 0.20333,-4.272984e-003
 32.30100, 0.20500,-4.325877e-003
 32.31300, 0.20667,-4.376256e-003
 32.32300, 0.20833,-4.324255e-003
 32.33700, 0.21000,-4.370311e-003
 32.34800, 0.21167,-4.415263e-003
 32.35900, 0.21333,-4.460195e-003
 32.37100, 0.21500,-4.505934e-003
 32.38100, 0.21667,-4.452405e-003
 32.39700, 0.21833,-4.498406e-003
 32.40800, 0.22000,-4.542902e-003
 32.42000, 0.22167,-4.585642e-003
 32.43000, 0.22333,-4.627140e-003
 32.44200, 0.22500,-4.667756e-003
 32.45600, 0.22667,-4.707397e-003
 32.46800, 0.22833,-4.746181e-003
 32.47700, 0.23000,-4.884681e-003
 32.48900, 0.23167,-4.923289e-003
 32.50200, 0.23333,-4.961898e-003
 32.51600, 0.23500,-4.999661e-003
 32.52500, 0.23667,-5.035366e-003
 32.53700, 0.23833,-5.067900e-003
 32.55100, 0.24000,-5.096842e-003
 32.56100, 0.24167,-5.122690e-003
 32.57100, 0.24333,-5.246849e-003
 32.58100, 0.24500,-5.271261e-003
 32.59200, 0.24667,-5.297097e-003
 32.60500, 0.24833,-5.324312e-003
 32.61600, 0.25000,-5.352492e-003
 32.62700, 0.25167,-5.381365e-003
 32.63800, 0.25333,-5.511202e-003
 32.65100, 0.25500,-5.542274e-003
 32.66100, 0.25667,-5.573925e-003
 32.67400, 0.25833,-5.604370e-003
 32.68800, 0.26000,-5.632201e-003
 32.69900, 0.26167,-5.657635e-003
 32.70800, 0.26333,-5.882497e-003
 32.71800, 0.26500,-5.909131e-003
 32.73200, 0.26667,-5.938338e-003
 32.74300, 0.26833,-5.968617e-003
 32.75800, 0.27000,-5.997251e-003
 32.76900, 0.27167,-6.022907e-003
 32.78000, 0.27333,-6.146106e-003
 32.78900, 0.27500,-6.168475e-003
 32.80200, 0.27667,-6.191682e-003
 32.81500, 0.27833,-6.216566e-003
 32.82400, 0.28000,-6.342921e-003
 32.83800, 0.28167,-6.370022e-003
 32.85000, 0.28333,-6.397061e-003
 32.86100, 0.28500,-6.423000e-003
 32.87500, 0.28667,-6.447454e-003
 32.88600, 0.28833,-6.471564e-003
 32.89600, 0.29000,-6.597282e-003
 32.90800, 0.29167,-6.626139e-003
 32.92000, 0.29333,-6.858147e-003
 32.93600, 0.29500,-6.891517e-003
 32.94800, 0.29667,-6.924106e-003
 32.96000, 0.29833,-6.954442e-003
 32.97300, 0.30000,-6.982328e-003
 32.98500, 0.30167,-7.008449e-003
 32.99700, 0.30333,-7.033424e-003
 33.00900, 0.30500,-7.057801e-003
 33.02200, 0.30667,-7.182334e-003
 33.03400, 0.30833,-7.208091e-003
 33.04500, 0.31000,-7.336123e-003
 33.05800, 0.31167,-7.366451e-003
 33.07100, 0.31333,-7.397725e-003
 33.08700, 0.31500,-7.427992e-003
 33.09900, 0.31667,-7.456427e-003
 33.11000, 0.31833,-7.483940e-003
 33.12200, 0.32000,-7.612345e-003
 33.13500, 0.32167,-7.642758e-003
 33.15000, 0.32333,-7.674894e-003
 33.16300, 0.32500,-7.707475e-003
 33.17500, 0.32667,-7.739223e-003
 33.19100, 0.32833,-7.770067e-003
 33.20300, 0.33000,-8.001187e-003
 33.21300, 0.33167,-8.033471e-003
 33.22900, 0.33333,-8.066673e-003
 33.24400, 0.33500,-8.099833e-003
 33.25800, 0.33667,-8.132014e-003
 33.27000, 0.33833,-8.163720e-003
 33.28200, 0.34000,-8.196874e-003
 33.29700, 0.34167,-8.232977e-003
 33.31000, 0.34333,-8.371971e-003
 33.32700, 0.34500,-8.412133e-003
 33.34100, 0.34667,-8.451333e-003
 33.35500, 0.34833,-8.487779e-003
 33.37000, 0.35000,-8.520668e-003
 33.38300, 0.35167,-8.550284e-003
 33.39700, 0.35333,-8.577633e-003
 33.41000, 0.35500,-8.604594e-003
 33.42300, 0.35667,-8.733238e-003
 33.43600, 0.35833,-8.764991e-003
 33.45100, 0.36000,-8.800012e-003
 33.46600, 0.36167,-8.837089e-003
 33.48100, 0.36333,-8.874528e-003
 33.49700, 0.36500,-8.911262e-003
 33.50900, 0.36667,-8.947338e-003
 33.52500, 0.36833,-8.983379e-003
 33.53900, 0.37000,-9.120243e-003
 33.55400, 0.37167,-9.157976e-003
 33.56900, 0.37333,-9.195988e-003
 33.58500, 0.37500,-9.233453e-003
 33.59900, 0.37667,-9.269801e-003
 33.61500, 0.37833,-9.305235e-003
 33.62900, 0.38000,-9.341032e-003
 33.64300, 0.38167,-9.378498e-003
 33.65800, 0.38333,-9.618089e-003
 33.67500, 0.38500,-9.658923e-003
 33.69100, 0.38667,-9.699336e-003
 33.70700, 0.38833,-9.737732e-003
 33.72100, 0.39000,-9.773456e-003
 33.73700, 0.39167,-9.806768e-003
 33.75200, 0.39333,-9.838621e-003
 33.76600, 0.39500,-9.870365e-003
 33.78200, 0.39667,-1.000335e-002
 33.79500, 0.39833,-1.003827e-002
 33.81200, 0.40000,-1.007442e-002
 33.82900, 0.40167,-1.011041e-002
 33.84400, 0.40333,-1.014517e-002
 33.86000, 0.40500,-1.017891e-002
 33.87400, 0.40667,-1.021328e-002
 33.88800, 0.40833,-1.024931e-002
 33.90500, 0.41000,-1.038623e-002
 33.92400, 0.41167,-1.042230e-002
 33.94000, 0.41333,-1.045656e-002
 33.95200, 0.41500,-1.048930e-002
 33.96700, 0.41667,-1.052141e-002
 33.98600, 0.41833,-1.055332e-002
 34.00100, 0.42000,-1.058451e-002
 34.01600, 0.42167,-1.061425e-002
 34.03200, 0.42333,-1.074272e-002
 34.04600, 0.42500,-1.077070e-002
 34.06300, 0.42667,-1.079884e-002
 34.07800, 0.42833,-1.082784e-002
 34.09300, 0.43000,-1.085785e-002
 34.10900, 0.43167,-1.088843e-002
 34.12600, 0.43333,-1.091895e-002
 34.14200, 0.43500,-1.094883e-002
 34.15700, 0.43667,-1.117813e-002
 34.17300, 0.43833,-1.120745e-002
 34.18800, 0.44000,-1.123733e-002
 34.20500, 0.44167,-1.126781e-002
 34.22200, 0.44333,-1.139856e-002
 34.23600, 0.44500,-1.142913e-002
 34.25400, 0.44667,-1.145913e-002
 34.27000, 0.44833,-1.148877e-002
 34.28500, 0.45000,-1.161847e-002
 34.30200, 0.45167,-1.164856e-002
 34.31700, 0.45333,-1.167911e-002
 34.33500, 0.45500,-1.170956e-002
 34.35200, 0.45667,-1.183940e-002
 34.36600, 0.45833,-1.186835e-002
 34.38400, 0.46000,-1.189631e-002
 34.40000, 0.46167,-1.192391e-002
 34.41600, 0.46333,-1.215163e-002
 34.43100, 0.46500,-1.217960e-002
 34.44900, 0.46667,-1.220765e-002
 34.46600, 0.46833,-1.223552e-002
 34.48100, 0.47000,-1.236313e-002
 34.49800, 0.47167,-1.239075e-002
 34.51400, 0.47333,-1.241901e-002
 34.53100, 0.47500,-1.244808e-002
 34.54700, 0.47667,-1.257763e-002
 34.56500, 0.47833,-1.260705e-002
 34.58200, 0.48000,-1.263629e-002
 34.59800, 0.48167,-1.266563e-002
 34.61300, 0.48333,-1.279488e-002
 34.63200, 0.48500,-1.282311e-002
 34.65100, 0.48667,-1.284943e-002
 34.66500, 0.48833,-1.287352e-002
 34.68100, 0.49000,-1.319603e-002
 34.69800, 0.49167,-1.321860e-002
 34.71400, 0.49333,-1.324237e-002
 34.73000, 0.49500,-1.326758e-002
 34.74900, 0.49667,-1.339413e-002
 34.76400, 0.49833,-1.342176e-002
 34.78100, 0.50000,-1.344969e-002
 34.80000, 0.50167,-1.347728e-002
 34.81600, 0.50333,-1.360427e-002
 34.83300, 0.50500,-1.363055e-002
 34.85000, 0.50667,-1.365702e-002
 34.86700, 0.50833,-1.368487e-002
 34.88300, 0.51000,-1.391464e-002
 34.90100, 0.51167,-1.394576e-002
 34.92100, 0.51333,-1.397681e-002
 34.93700, 0.51500,-1.400615e-002
 34.95500, 0.51667,-1.413222e-002
 34.97200, 0.51833,-1.415467e-002
 34.99000, 0.52000,-1.417437e-002
 35.00500, 0.52167,-1.419325e-002
 35.02000, 0.52333,-1.441333e-002
 35.03800, 0.52500,-1.443562e-002
 35.05600, 0.52667,-1.446000e-002
 35.07400, 0.52833,-1.448562e-002
 35.09000, 0.53000,-1.471187e-002
 35.10800, 0.53167,-1.473873e-002
 35.12600, 0.53333,-1.476668e-002
 35.14300, 0.53500,-1.479584e-002
 35.16000, 0.53667,-1.502556e-002
 35.18100, 0.53833,-1.505504e-002
 35.19800, 0.54000,-1.508404e-002
 35.21400, 0.54167,-1.511217e-002
 35.23200, 0.54333,-1.523902e-002
 35.25300, 0.54500,-1.526448e-002
 35.26900, 0.54667,-1.528914e-002
 35.28500, 0.54833,-1.531427e-002
 35.30300, 0.55000,-1.554166e-002
 35.32100, 0.55167,-1.557220e-002
 35.34000, 0.55333,-1.560486e-002
 35.35900, 0.55500,-1.563736e-002
 35.37900, 0.55667,-1.576760e-002
 35.39700, 0.55833,-1.579467e-002
 35.41300, 0.56000,-1.581866e-002
 35.43100, 0.56167,-1.584008e-002
 35.45100, 0.56333,-1.605992e-002
 35.46700, 0.56500,-1.607973e-002
 35.48300, 0.56667,-1.610121e-002
 35.50100, 0.56833,-1.612589e-002
 35.52000, 0.57000,-1.645417e-002
 35.53900, 0.57167,-1.648487e-002
 35.55800, 0.57333,-1.651589e-002
 35.57700, 0.57500,-1.654515e-002
 35.59600, 0.57667,-1.667096e-002
 35.61400, 0.57833,-1.669273e-002
 35.63300, 0.58000,-1.671124e-002
 35.64800, 0.58167,-1.672861e-002
 35.66600, 0.58333,-1.704707e-002
 35.68400, 0.58500,-1.706857e-002
 35.70200, 0.58667,-1.709366e-002
 35.72100, 0.58833,-1.712129e-002
 35.74000, 0.59000,-1.724940e-002
 35.76000, 0.59167,-1.727559e-002
 35.77900, 0.59333,-1.729864e-002
 35.79700, 0.59500,-1.731934e-002
 35.81300, 0.59667,-1.754012e-002
 35.83100, 0.59833,-1.756359e-002
 35.85000, 0.60000,-1.779081e-002
 35.86900, 0.60167,-1.782064e-002
 35.89100, 0.60333,-1.795058e-002
 35.90900, 0.60500,-1.797879e-002
 35.92800, 0.60667,-1.800451e-002
 35.94600, 0.60833,-1.802849e-002
 35.96500, 0.61000,-1.815187e-002
 35.98300, 0.61167,-1.817542e-002
 36.00300, 0.61333,-1.829917e-002
 36.02100, 0.61500,-1.832302e-002
 36.04100, 0.61667,-1.854664e-002
 36.05800, 0.61833,-1.857007e-002
 36.07900, 0.62000,-1.869337e-002
 36.09700, 0.62167,-1.871729e-002
 36.11500, 0.62333,-1.894196e-002
 36.13400, 0.62500,-1.896684e-002
 36.15600, 0.62667,-1.919105e-002
 36.17400, 0.62833,-1.921376e-002
 36.19100, 0.63000,-1.933446e-002
 36.21300, 0.63167,-1.935358e-002
 36.22900, 0.63333,-1.947251e-002
 36.24800, 0.63500,-1.949201e-002
 36.26700, 0.63667,-1.961267e-002
 36.28600, 0.63833,-1.963449e-002
 36.30700, 0.64000,-1.995699e-002
 36.32300, 0.64167,-1.997974e-002
 36.34400, 0.64333,-2.010193e-002
 36.36500, 0.64500,-2.012377e-002
 36.38200, 0.64667,-2.024611e-002
 36.40000, 0.64833,-2.026945e-002
 36.42000, 0.65000,-2.049369e-002
 36.44200, 0.65167,-2.071778e-002
 36.46100, 0.65333,-2.074042e-002
 36.47900, 0.65500,-2.076101e-002
 36.49900, 0.65667,-2.088043e-002
 36.51800, 0.65833,-2.090049e-002
 36.53500, 0.66000,-2.112235e-002
 36.55600, 0.66167,-2.114590e-002
 36.57700, 0.66333,-2.137031e-002
 36.59600, 0.66500,-2.149428e-002
 36.61600, 0.66667,-2.151726e-002
 36.63600, 0.66833,-2.184005e-002
 36.65300, 0.67000,-2.186358e-002
 36.67400, 0.67167,-2.188749e-002
 36.69500, 0.67333,-2.201081e-002
 36.71600, 0.67500,-2.203241e-002
 36.73400, 0.67667,-2.215263e-002
 36.75300, 0.67833,-2.247323e-002
 36.77100, 0.68000,-2.249620e-002
 36.79200, 0.68167,-2.272195e-002
 36.81400, 0.68333,-2.274944e-002
 36.83400, 0.68500,-2.297688e-002
 36.85400, 0.68667,-2.300243e-002
 36.87400, 0.68833,-2.302491e-002
 36.89500, 0.69000,-2.324402e-002
 36.91500, 0.69167,-2.336065e-002
 36.93200, 0.69333,-2.337676e-002
 36.95100, 0.69500,-2.359412e-002
 36.97100, 0.69667,-2.361361e-002
 36.99300, 0.69833,-2.383468e-002
 37.01200, 0.70000,-2.385619e-002
 37.03200, 0.70167,-2.417687e-002
 37.05200, 0.70333,-2.419627e-002
 37.07300, 0.70500,-2.441473e-002
 37.09200, 0.70667,-2.443348e-002
 37.11000, 0.70833,-2.455380e-002
 37.13100, 0.71000,-2.457611e-002
 37.15200, 0.71167,-2.489989e-002
 37.17400, 0.71333,-2.492387e-002
 37.19300, 0.71500,-2.504716e-002
 37.21300, 0.71667,-2.506920e-002
 37.23400, 0.71833,-2.538990e-002
 37.25500, 0.72000,-2.540940e-002
 37.27400, 0.72167,-2.552808e-002
 37.29400, 0.72333,-2.554630e-002
 37.31400, 0.72500,-2.576459e-002
 37.33500, 0.72667,-2.578294e-002
 37.35400, 0.72833,-2.610099e-002
 37.37600, 0.73000,-2.611820e-002
 37.39500, 0.73167,-2.623455e-002
 37.41400, 0.73333,-2.624979e-002
 37.43600, 0.73500,-2.636426e-002
 37.45600, 0.73667,-2.637940e-002
 37.47300, 0.73833,-2.669655e-002
 37.49300, 0.74000,-2.671603e-002
 37.51700, 0.74167,-2.693708e-002
 37.53700, 0.74333,-2.695812e-002
 37.55700, 0.74500,-2.727724e-002
 37.57800, 0.74667,-2.729369e-002
 37.59800, 0.74833,-2.740803e-002
 37.61800, 0.75000,-2.742126e-002
 37.63600, 0.75167,-2.773448e-002
 37.65800, 0.75333,-2.774828e-002
 37.67800, 0.75500,-2.786316e-002
 37.69700, 0.75667,-2.787882e-002
 37.71800, 0.75833,-2.809478e-002
 37.74000, 0.76000,-2.811093e-002
 37.75800, 0.76167,-2.842715e-002
 37.77900, 0.76333,-2.844310e-002
 37.80100, 0.76500,-2.855882e-002
 37.81900, 0.76667,-2.857406e-002
 37.84100, 0.76833,-2.888816e-002
 37.86200, 0.77000,-2.890146e-002
 37.88000, 0.77167,-2.911472e-002
 37.90100, 0.77333,-2.912867e-002
 37.92100, 0.77500,-2.924443e-002
 37.94200, 0.77667,-2.926219e-002
 37.96200, 0.77833,-2.958131e-002
 37.98400, 0.78000,-2.960029e-002
 38.00500, 0.78167,-2.981771e-002
 38.02700, 0.78333,-2.983268e-002
 38.04500, 0.78500,-3.014567e-002
 38.06600, 0.78667,-3.015764e-002
 38.08600, 0.78833,-3.027015e-002
 38.10600, 0.79000,-3.028417e-002
 38.12700, 0.79167,-3.059990e-002
 38.14700, 0.79333,-3.061717e-002
 38.17000, 0.79500,-3.073546e-002
 38.18900, 0.79667,-3.075426e-002
 38.21000, 0.79833,-3.097220e-002
 38.23300, 0.80000,-3.098773e-002
 38.25300, 0.80167,-3.129968e-002
 38.27400, 0.80333,-3.130800e-002
 38.29400, 0.80500,-3.151508e-002
 38.31000, 0.80667,-3.152428e-002
 38.33100, 0.80833,-3.183708e-002
 38.35300, 0.81000,-3.185289e-002
 38.37700, 0.81167,-3.196901e-002
 38.39600, 0.81333,-3.198300e-002
 38.41700, 0.81500,-3.229393e-002
 38.43700, 0.81667,-3.230327e-002
 38.45600, 0.81833,-3.251304e-002
 38.47600, 0.82000,-3.252442e-002
