#EXPORTTYPE:                 ,DATA SINGLE                    
#FILE:                       ,S.ngb-st9                      
#FORMAT:                     ,NETZSCH5                       
#FTYPE:                      ,ANSI                           
#IDENTITY:                   ,Saras                          
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,TG                             
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra         
#PROJECT:                    ,IL                             
#DATE/TIME:                  ,22/03/2017 11:34:47 AM (UTC+11)
#CORR. FILE:                 ,                               
#TEMPCAL:                    ,TCALZERO.TCX                   
#LABORATORY:                 ,Capture Lab                    
#OPERATOR:                   ,NJN                            
#REMARK:                     ,Training run                   
#SAMPLE:                     ,S                              
#SAMPLE MASS /mg:            ,14.3454                        
#MATERIAL:                   ,zeolite                        
#TYPE OF CRUCIBLE:           ,Al2O3                          
#SAMPLE CRUCIBLE MASS /mg:   ,312.0404                       
#REFERENCE CRUCIBLE MASS /mg:,                               
#M.RANGE /mg:                ,2000                           
#CORR. CODE:                 ,090                            
#RANGE:                      ,32°C/10.0(K/min)/800°C         
#SEGMENT:                    ,S1/1                           
#SEG. 1:                     ,32°C/10.0(K/min)/800°C         

##Temp./°C,Time/min,Mass loss/mg
 31.95200, 0.00000,-1.662557e-003
 31.94900, 0.00167,-2.065314e-003
 31.94900, 0.00333,-2.269450e-003
 31.94900, 0.00500,-2.274969e-003
 31.95000, 0.00667,-2.281468e-003
 31.95000, 0.00833,-2.287187e-003
 31.94900, 0.01000,-2.492231e-003
 31.94800, 0.01167,-2.497867e-003
 31.94700, 0.01333,-2.505403e-003
 31.94800, 0.01500,-2.515591e-003
 31.94900, 0.01667,-2.628545e-003
 31.94800, 0.01833,-2.643801e-003
 31.94900, 0.02000,-2.659884e-003
 31.95000, 0.02167,-2.674280e-003
 31.95300, 0.02333,-2.784205e-003
 31.95300, 0.02500,-2.788488e-003
 31.95100, 0.02667,-2.788906e-003
 31.94900, 0.02833,-2.789395e-003
 31.94600, 0.03000,-2.893429e-003
 31.94800, 0.03167,-2.901646e-003
 31.95000, 0.03333,-2.912363e-003
 31.95200, 0.03500,-2.923480e-003
 31.94900, 0.03667,-3.233883e-003
 31.94900, 0.03833,-3.243283e-003
 31.95100, 0.04000,-3.251311e-003
 31.95200, 0.04167,-3.257459e-003
 31.95200, 0.04333,-3.362029e-003
 31.94900, 0.04500,-3.366332e-003
 31.94800, 0.04667,-3.371318e-003
