#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,T.ngb-st9                     
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,22/03/2017 1:37:30 PM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,T                             
#SAMPLE MASS /mg:            ,11.7852                       
#MATERIAL:                   ,zeolite                       
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,311.1629                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.44500, 0.00000,-1.179295e-003
 31.44400, 0.00167,-1.785288e-003
 31.44200, 0.00333,-1.795705e-003
 31.44300, 0.00500,-1.910463e-003
 31.44400, 0.00667,-1.929539e-003
 31.44300, 0.00833,-2.052288e-003
 31.44400, 0.01000,-2.077250e-003
 31.44500, 0.01167,-2.301565e-003
 31.45000, 0.01333,-2.321848e-003
 31.45000, 0.01500,-2.336361e-003
 31.44700, 0.01667,-2.346079e-003
 31.44600, 0.01833,-2.553972e-003
 31.44600, 0.02000,-2.562983e-003
 31.44600, 0.02167,-2.574098e-003
 31.44600, 0.02333,-2.586284e-003
 31.44700, 0.02500,-2.697759e-003
 31.44800, 0.02667,-2.707467e-003
 31.44700, 0.02833,-2.916021e-003
 31.44500, 0.03000,-2.925012e-003
 31.44400, 0.03167,-3.035675e-003
 31.44700, 0.03333,-3.048102e-003
 31.44700, 0.03500,-3.161302e-003
 31.44600, 0.03667,-3.174024e-003
 31.44700, 0.03833,-3.185383e-003
 31.44700, 0.04000,-3.195045e-003
 31.44800, 0.04167,-3.503392e-003
 31.44700, 0.04333,-3.511480e-003
 31.44400, 0.04500,-3.520229e-003
 31.44700, 0.04667,-3.529506e-003
 31.44700, 0.04833,-3.638488e-003
 31.44800, 0.05000,-3.646331e-003
 31.44600, 0.05167,-3.653379e-003
 31.44600, 0.05333,-3.661114e-003
 31.44500, 0.05500,-3.770403e-003
 31.44500, 0.05667,-3.780997e-003
 31.45000, 0.05833,-3.892431e-003
 31.44600, 0.06000,-3.904581e-003
 31.44500, 0.06167,-4.117156e-003
 31.44800, 0.06333,-4.129459e-003
 31.45000, 0.06500,-4.240360e-003
 31.44900, 0.06667,-4.248942e-003
 31.44800, 0.06833,-4.255825e-003
 31.44800, 0.07000,-4.263123e-003
 31.44800, 0.07167,-4.472966e-003
 31.44700, 0.07333,-4.486440e-003
 31.44900, 0.07500,-4.503654e-003
 31.45100, 0.07667,-4.524341e-003
 31.45100, 0.07833,-4.748497e-003
 31.45300, 0.08000,-4.776723e-003
 31.45400, 0.08167,-4.809451e-003
 31.45600, 0.08333,-4.845883e-003
 31.46200, 0.08500,-4.884708e-003
 31.46500, 0.08667,-4.925526e-003
 31.46500, 0.08833,-4.969049e-003
 31.46800, 0.09000,-5.016614e-003
 31.47400, 0.09167,-5.069091e-003
 31.47800, 0.09333,-5.126054e-003
 31.48300, 0.09500,-5.186419e-003
 31.48800, 0.09667,-5.249424e-003
 31.49300, 0.09833,-5.314392e-003
 31.49900, 0.10000,-5.380628e-003
 31.50600, 0.10167,-5.448056e-003
 31.51100, 0.10333,-5.517238e-003
 31.51500, 0.10500,-5.389124e-003
 31.52400, 0.10667,-5.464735e-003
 31.53000, 0.10833,-5.544562e-003
 31.53700, 0.11000,-5.628268e-003
 31.54600, 0.11167,-5.515380e-003
 31.55400, 0.11333,-5.605623e-003
 31.56200, 0.11500,-5.598612e-003
 31.57100, 0.11667,-5.693970e-003
 31.58100, 0.11833,-5.591160e-003
 31.59000, 0.12000,-5.689370e-003
 31.60000, 0.12167,-5.688010e-003
 31.61000, 0.12333,-5.786977e-003
 31.61900, 0.12500,-5.686673e-003
 31.63000, 0.12667,-5.787728e-003
 31.63900, 0.12833,-5.690393e-003
 31.65000, 0.13000,-5.794133e-003
 31.66300, 0.13167,-5.698170e-003
 31.67300, 0.13333,-5.802069e-003
 31.68300, 0.13500,-5.605596e-003
 31.69400, 0.13667,-5.708296e-003
 31.70700, 0.13833,-5.609344e-003
 31.71900, 0.14000,-5.708406e-003
 31.72900, 0.14167,-5.506623e-003
 31.73800, 0.14333,-5.606692e-003
 31.75100, 0.14500,-5.511380e-003
 31.76100, 0.14667,-5.621353e-003
 31.77600, 0.14833,-5.434392e-003
 31.79200, 0.15000,-5.547479e-003
 31.80500, 0.15167,-5.358685e-003
 31.81400, 0.15333,-5.467697e-003
 31.82900, 0.15500,-5.275345e-003
 31.84300, 0.15667,-5.382510e-003
 31.85600, 0.15833,-5.289208e-003
 31.86800, 0.16000,-4.995209e-003
 31.88300, 0.16167,-5.100524e-003
 31.89600, 0.16333,-5.205365e-003
 31.91000, 0.16500,-5.209826e-003
 31.92200, 0.16667,-4.913476e-003
 31.93700, 0.16833,-5.014982e-003
