#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,V.ngb-st9                     
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,23/03/2017 9:07:49 AM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,NJN                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,V                             
#SAMPLE MASS /mg:            ,16.7750                       
#MATERIAL:                   ,zeolite                       
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,311.1670                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.46200, 0.00000,-2.597904e-003
 31.46200, 0.00167,-3.295204e-003
 31.46100, 0.00333,-3.288447e-003
 31.46300, 0.00500,-3.477688e-003
 31.46300, 0.00667,-3.463856e-003
 31.46200, 0.00833,-3.549338e-003
 31.45900, 0.01000,-3.536234e-003
 31.45900, 0.01167,-3.625892e-003
 31.46000, 0.01333,-3.618642e-003
 31.46000, 0.01500,-3.713205e-003
 31.46100, 0.01667,-3.708138e-003
 31.46200, 0.01833,-3.703017e-003
 31.45900, 0.02000,-3.697903e-003
 31.46000, 0.02167,-3.992692e-003
 31.46300, 0.02333,-3.987054e-003
 31.46100, 0.02500,-3.980642e-003
 31.46100, 0.02667,-3.973732e-003
 31.46100, 0.02833,-4.067593e-003
 31.46000, 0.03000,-4.063401e-003
 31.46100, 0.03167,-4.161149e-003
 31.46100, 0.03333,-4.159996e-003
 31.46400, 0.03500,-4.358775e-003
 31.46200, 0.03667,-4.356701e-003
 31.46300, 0.03833,-4.553737e-003
 31.46300, 0.04000,-4.550267e-003
 31.46300, 0.04167,-4.546539e-003
 31.46400, 0.04333,-4.542834e-003
 31.46400, 0.04500,-4.639589e-003
 31.46200, 0.04667,-4.637039e-003
 31.46500, 0.04833,-4.835219e-003
 31.46500, 0.05000,-4.834091e-003
 31.46400, 0.05167,-5.033014e-003
 31.46500, 0.05333,-5.031031e-003
 31.46700, 0.05500,-5.127242e-003
 31.46600, 0.05667,-5.120682e-003
 31.46500, 0.05833,-5.311135e-003
 31.46700, 0.06000,-5.300038e-003
 31.46400, 0.06167,-5.490093e-003
 31.46200, 0.06333,-5.483760e-003
 31.46200, 0.06500,-5.581832e-003
 31.46500, 0.06667,-5.582958e-003
 31.46700, 0.06833,-5.784870e-003
 31.46600, 0.07000,-5.786205e-003
 31.46500, 0.07167,-5.887377e-003
 31.46700, 0.07333,-5.890103e-003
 31.46700, 0.07500,-6.096264e-003
 31.46700, 0.07667,-6.106994e-003
 31.46900, 0.07833,-6.322362e-003
 31.47100, 0.08000,-6.341449e-003
 31.47500, 0.08167,-6.362996e-003
 31.47600, 0.08333,-6.386358e-003
 31.47800, 0.08500,-6.511913e-003
 31.48100, 0.08667,-6.540916e-003
 31.48400, 0.08833,-6.574590e-003
 31.48600, 0.09000,-6.613196e-003
 31.49200, 0.09167,-6.655813e-003
 31.49600, 0.09333,-6.700978e-003
 31.50200, 0.09500,-6.747440e-003
 31.50500, 0.09667,-6.795162e-003
 31.51000, 0.09833,-6.845116e-003
 31.51400, 0.10000,-6.898191e-003
 31.52000, 0.10167,-6.854685e-003
 31.52800, 0.10333,-6.914782e-003
 31.53200, 0.10500,-6.979109e-003
 31.53800, 0.10667,-7.048508e-003
 31.54500, 0.10833,-6.823223e-003
 31.55400, 0.11000,-6.902111e-003
 31.56300, 0.11167,-6.883368e-003
 31.57200, 0.11333,-6.966091e-003
