#EXPORTTYPE:                 ,DATA SINGLE                    
#FILE:                       ,X.ngb-st9                      
#FORMAT:                     ,NETZSCH5                       
#FTYPE:                      ,ANSI                           
#IDENTITY:                   ,Saras                          
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,TG                             
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra         
#PROJECT:                    ,IL                             
#DATE/TIME:                  ,23/03/2017 10:55:01 AM (UTC+11)
#CORR. FILE:                 ,                               
#TEMPCAL:                    ,TCALZERO.TCX                   
#LABORATORY:                 ,Capture Lab                    
#OPERATOR:                   ,NJN                            
#REMARK:                     ,Training run                   
#SAMPLE:                     ,X                              
#SAMPLE MASS /mg:            ,11.2418                        
#MATERIAL:                   ,zeolite                        
#TYPE OF CRUCIBLE:           ,Al2O3                          
#SAMPLE CRUCIBLE MASS /mg:   ,312.0761                       
#REFERENCE CRUCIBLE MASS /mg:,                               
#M.RANGE /mg:                ,2000                           
#CORR. CODE:                 ,090                            
#RANGE:                      ,32°C/10.0(K/min)/800°C         
#SEGMENT:                    ,S1/1                           
#SEG. 1:                     ,32°C/10.0(K/min)/800°C         

##Temp./°C,Time/min,Mass loss/mg
 32.49300, 0.00000,-2.650532e-003
 32.49300, 0.00167,-3.049087e-003
 32.49200, 0.00333,-3.145070e-003
 32.49200, 0.00500,-3.138507e-003
 32.49500, 0.00667,-3.130178e-003
 32.49200, 0.00833,-3.121899e-003
 32.49000, 0.01000,-3.314751e-003
 32.49000, 0.01167,-3.308897e-003
 32.49300, 0.01333,-3.304044e-003
 32.49200, 0.01500,-3.299399e-003
 32.49000, 0.01667,-3.494366e-003
 32.49100, 0.01833,-3.488679e-003
 32.49100, 0.02000,-3.481874e-003
 32.49100, 0.02167,-3.473175e-003
 32.49100, 0.02333,-3.562444e-003
 32.48900, 0.02500,-3.550768e-003
 32.48800, 0.02667,-3.539667e-003
 32.48600, 0.02833,-3.530282e-003
 32.48800, 0.03000,-3.822964e-003
 32.48700, 0.03167,-3.817649e-003
 32.48600, 0.03333,-3.814113e-003
 32.48600, 0.03500,-3.812294e-003
 32.48700, 0.03667,-3.911884e-003
 32.48600, 0.03833,-3.911844e-003
 32.48800, 0.04000,-3.910800e-003
 32.48800, 0.04167,-3.907995e-003
 32.48700, 0.04333,-4.203150e-003
 32.48600, 0.04500,-4.196365e-003
 32.48700, 0.04667,-4.188073e-003
 32.48600, 0.04833,-4.178709e-003
 32.48400, 0.05000,-4.268836e-003
 32.48500, 0.05167,-4.259619e-003
 32.48300, 0.05333,-4.252322e-003
 32.48100, 0.05500,-4.247154e-003
 32.48300, 0.05667,-4.343264e-003
 32.48400, 0.05833,-4.339591e-003
 32.48300, 0.06000,-4.435587e-003
 32.48100, 0.06167,-4.431643e-003
 32.48100, 0.06333,-4.428544e-003
 32.48200, 0.06500,-4.426660e-003
 32.48200, 0.06667,-4.725805e-003
 32.48100, 0.06833,-4.725832e-003
 32.48200, 0.07000,-4.726983e-003
 32.48100, 0.07167,-4.729664e-003
 32.48200, 0.07333,-4.834179e-003
 32.48300, 0.07500,-4.841187e-003
 32.48300, 0.07667,-4.851735e-003
 32.48300, 0.07833,-4.866825e-003
 32.48500, 0.08000,-5.186678e-003
 32.48700, 0.08167,-5.210294e-003
 32.49100, 0.08333,-5.235867e-003
 32.49300, 0.08500,-5.262333e-003
 32.49500, 0.08667,-5.290065e-003
 32.49600, 0.08833,-5.320492e-003
 32.49900, 0.09000,-5.355180e-003
 32.50400, 0.09167,-5.395134e-003
 32.50600, 0.09333,-5.440547e-003
 32.51100, 0.09500,-5.490913e-003
 32.51600, 0.09667,-5.545484e-003
 32.52200, 0.09833,-5.603240e-003
 32.52700, 0.10000,-5.663297e-003
 32.53300, 0.10167,-5.724599e-003
 32.53700, 0.10333,-5.785701e-003
 32.54700, 0.10500,-5.845332e-003
 32.55200, 0.10667,-5.903789e-003
 32.55500, 0.10833,-5.963156e-003
 32.56100, 0.11000,-5.826537e-003
 32.56600, 0.11167,-5.896294e-003
 32.57600, 0.11333,-5.972276e-003
 32.58300, 0.11500,-6.052589e-003
 32.59300, 0.11667,-5.934840e-003
 32.60000, 0.11833,-6.017449e-003
 32.60900, 0.12000,-6.099777e-003
 32.61700, 0.12167,-6.181855e-003
 32.62600, 0.12333,-5.964027e-003
 32.63500, 0.12500,-6.047012e-003
 32.64300, 0.12667,-6.031859e-003
 32.65200, 0.12833,-6.119285e-003
 32.66100, 0.13000,-6.109018e-003
 32.67300, 0.13167,-6.199687e-003
 32.68300, 0.13333,-6.189786e-003
 32.69300, 0.13500,-6.278700e-003
 32.70200, 0.13667,-6.167267e-003
 32.71200, 0.13833,-6.257013e-003
 32.72200, 0.14000,-6.148808e-003
 32.73300, 0.14167,-6.241909e-003
 32.74500, 0.14333,-6.234262e-003
 32.75700, 0.14500,-6.324063e-003
 32.76800, 0.14667,-6.111231e-003
 32.77600, 0.14833,-6.197531e-003
 32.78600, 0.15000,-6.185058e-003
 32.79800, 0.15167,-6.274636e-003
 32.81100, 0.15333,-6.265538e-003
 32.82300, 0.15500,-6.356249e-003
 32.83200, 0.15667,-6.145092e-003
 32.84500, 0.15833,-6.230577e-003
 32.85900, 0.16000,-6.112177e-003
 32.86800, 0.16167,-6.190576e-003
 32.87700, 0.16333,-6.067214e-003
 32.88800, 0.16500,-6.143607e-003
 32.90100, 0.16667,-6.020207e-003
 32.91200, 0.16833,-6.096416e-003
 32.92300, 0.17000,-6.071745e-003
 32.93400, 0.17167,-6.146397e-003
 32.94500, 0.17333,-6.020959e-003
 32.95700, 0.17500,-6.095760e-003
 32.96800, 0.17667,-5.970031e-003
 32.97900, 0.17833,-6.041990e-003
 32.99500, 0.18000,-6.010019e-003
 33.00300, 0.18167,-6.073942e-003
 33.01300, 0.18333,-5.934442e-003
 33.02300, 0.18500,-5.992738e-003
 33.03600, 0.18667,-5.949571e-003
 33.04600, 0.18833,-6.005259e-003
 33.05600, 0.19000,-5.960391e-003
 33.06600, 0.19167,-6.016077e-003
 33.07700, 0.19333,-6.073000e-003
 33.08800, 0.19500,-6.130700e-003
 33.10000, 0.19667,-5.887580e-003
 33.11200, 0.19833,-5.942114e-003
 33.12300, 0.20000,-5.894018e-003
 33.13200, 0.20167,-5.943784e-003
 33.14100, 0.20333,-5.991686e-003
 33.15600, 0.20500,-6.037315e-003
 33.16500, 0.20667,-5.979970e-003
 33.17400, 0.20833,-6.019496e-003
 33.18600, 0.21000,-6.057570e-003
 33.19300, 0.21167,-6.097001e-003
 33.20300, 0.21333,-6.039382e-003
 33.21400, 0.21500,-6.084238e-003
 33.22700, 0.21667,-6.128965e-003
 33.23900, 0.21833,-6.170608e-003
 33.24900, 0.22000,-6.008059e-003
 33.25700, 0.22167,-6.042448e-003
 33.26700, 0.22333,-6.075823e-003
 33.27700, 0.22500,-6.109551e-003
 33.28800, 0.22667,-6.143429e-003
 33.29900, 0.22833,-6.176721e-003
 33.30900, 0.23000,-6.109134e-003
 33.31700, 0.23167,-6.140556e-003
 33.32800, 0.23333,-6.170858e-003
 33.34100, 0.23500,-6.200140e-003
 33.34800, 0.23667,-6.228693e-003
 33.35700, 0.23833,-6.256736e-003
 33.36900, 0.24000,-6.284682e-003
 33.37900, 0.24167,-6.312882e-003
 33.38900, 0.24333,-6.341408e-003
 33.39700, 0.24500,-6.370207e-003
 33.40900, 0.24667,-6.398490e-003
 33.42000, 0.24833,-6.425139e-003
 33.43100, 0.25000,-6.449355e-003
 33.43800, 0.25167,-6.471576e-003
 33.44900, 0.25333,-6.493011e-003
 33.45700, 0.25500,-6.514971e-003
 33.46900, 0.25667,-6.537866e-003
 33.47800, 0.25833,-6.561663e-003
 33.48800, 0.26000,-6.585855e-003
 33.49800, 0.26167,-6.609669e-003
 33.50900, 0.26333,-6.532103e-003
 33.51900, 0.26500,-6.552468e-003
 33.52900, 0.26667,-6.570733e-003
 33.53700, 0.26833,-6.587996e-003
 33.54800, 0.27000,-6.606043e-003
 33.55600, 0.27167,-6.626408e-003
 33.56500, 0.27333,-6.649122e-003
 33.57900, 0.27500,-6.672886e-003
 33.58800, 0.27667,-6.696256e-003
 33.59900, 0.27833,-6.717994e-003
 33.60700, 0.28000,-6.738052e-003
 33.61900, 0.28167,-6.756994e-003
 33.62800, 0.28333,-6.775389e-003
 33.63700, 0.28500,-6.793332e-003
 33.64900, 0.28667,-6.811011e-003
 33.65800, 0.28833,-6.829200e-003
 33.66700, 0.29000,-6.848715e-003
 33.67700, 0.29167,-6.870411e-003
 33.68900, 0.29333,-6.894668e-003
 33.69800, 0.29500,-6.920887e-003
 33.71000, 0.29667,-6.947653e-003
 33.72200, 0.29833,-6.973741e-003
 33.73200, 0.30000,-6.998215e-003
 33.74200, 0.30167,-7.020309e-003
 33.75300, 0.30333,-7.039849e-003
 33.76500, 0.30500,-7.057555e-003
 33.77300, 0.30667,-7.075191e-003
 33.78200, 0.30833,-7.094893e-003
 33.79300, 0.31000,-7.118059e-003
 33.80400, 0.31167,-7.144257e-003
 33.81700, 0.31333,-7.171278e-003
 33.82800, 0.31500,-7.197112e-003
 33.84000, 0.31667,-7.221169e-003
 33.84800, 0.31833,-7.244310e-003
 33.85900, 0.32000,-7.267726e-003
 33.87200, 0.32167,-7.292375e-003
 33.88200, 0.32333,-7.318439e-003
 33.89300, 0.32500,-7.345398e-003
 33.90500, 0.32667,-7.372455e-003
 33.91600, 0.32833,-7.398413e-003
 33.92900, 0.33000,-7.422504e-003
 33.94100, 0.33167,-7.445448e-003
 33.94700, 0.33333,-7.468764e-003
 33.96000, 0.33500,-7.493153e-003
 33.97300, 0.33667,-7.518689e-003
 33.98600, 0.33833,-7.545001e-003
 33.99500, 0.34000,-7.572353e-003
 34.00500, 0.34167,-7.601555e-003
 34.01900, 0.34333,-7.632881e-003
 34.03200, 0.34500,-7.665484e-003
 34.04400, 0.34667,-7.697732e-003
 34.05600, 0.34833,-7.728233e-003
 34.06800, 0.35000,-7.756489e-003
 34.08100, 0.35167,-7.782700e-003
 34.09100, 0.35333,-7.807581e-003
 34.10300, 0.35500,-7.831882e-003
 34.11500, 0.35667,-7.856421e-003
 34.12700, 0.35833,-7.881763e-003
 34.13800, 0.36000,-7.908002e-003
 34.15000, 0.36167,-7.934522e-003
 34.16300, 0.36333,-7.960591e-003
 34.17700, 0.36500,-7.986319e-003
 34.18600, 0.36667,-8.013126e-003
 34.19700, 0.36833,-8.042509e-003
 34.21000, 0.37000,-8.074806e-003
 34.22500, 0.37167,-8.108372e-003
 34.23900, 0.37333,-8.140985e-003
 34.25100, 0.37500,-8.171526e-003
 34.26100, 0.37667,-8.200271e-003
 34.27500, 0.37833,-8.228248e-003
 34.28900, 0.38000,-8.256755e-003
 34.29900, 0.38167,-8.286614e-003
 34.31200, 0.38333,-8.317889e-003
 34.32600, 0.38500,-8.350347e-003
 34.34000, 0.38667,-8.383311e-003
 34.35200, 0.38833,-8.415972e-003
 34.36500, 0.39000,-8.447774e-003
 34.37900, 0.39167,-8.478525e-003
 34.39200, 0.39333,-8.508154e-003
 34.40400, 0.39500,-8.536670e-003
 34.41800, 0.39667,-8.564243e-003
 34.43000, 0.39833,-8.591195e-003
 34.44300, 0.40000,-8.617400e-003
 34.45600, 0.40167,-8.642813e-003
 34.47000, 0.40333,-8.667885e-003
 34.48100, 0.40500,-8.693527e-003
 34.49300, 0.40667,-8.720555e-003
 34.50800, 0.40833,-8.749470e-003
 34.52100, 0.41000,-8.780209e-003
 34.53400, 0.41167,-8.811979e-003
 34.54800, 0.41333,-8.843719e-003
 34.56200, 0.41500,-8.874323e-003
 34.57600, 0.41667,-8.902808e-003
 34.58900, 0.41833,-8.829001e-003
 34.60200, 0.42000,-8.854023e-003
 34.61500, 0.42167,-8.879815e-003
 34.62600, 0.42333,-8.907919e-003
 34.64100, 0.42500,-8.938086e-003
 34.65600, 0.42667,-8.968664e-003
 34.67100, 0.42833,-8.997764e-003
 34.68400, 0.43000,-9.024743e-003
 34.69500, 0.43167,-9.050576e-003
 34.71000, 0.43333,-9.076824e-003
 34.72300, 0.43500,-9.104694e-003
 34.73700, 0.43667,-9.134034e-003
 34.75100, 0.43833,-9.163484e-003
 34.76500, 0.44000,-9.190963e-003
 34.78100, 0.44167,-9.214868e-003
 34.79400, 0.44333,-9.235410e-003
 34.80400, 0.44500,-9.254456e-003
 34.81800, 0.44667,-9.274574e-003
 34.83100, 0.44833,-9.297890e-003
 34.84500, 0.45000,-9.324484e-003
 34.85900, 0.45167,-9.353014e-003
 34.87500, 0.45333,-9.381620e-003
 34.88800, 0.45500,-9.409006e-003
 34.90300, 0.45667,-9.434659e-003
 34.91500, 0.45833,-9.458784e-003
 34.92900, 0.46000,-9.481215e-003
 34.94500, 0.46167,-9.501979e-003
 34.95800, 0.46333,-9.521940e-003
 34.96900, 0.46500,-9.542167e-003
 34.98200, 0.46667,-9.563229e-003
 34.99900, 0.46833,-9.584874e-003
 35.01300, 0.47000,-9.606465e-003
 35.02500, 0.47167,-9.627881e-003
 35.03900, 0.47333,-9.650122e-003
 35.05200, 0.47500,-9.674463e-003
 35.06700, 0.47667,-9.700896e-003
 35.08200, 0.47833,-9.728350e-003
 35.09700, 0.48000,-9.755256e-003
 35.11100, 0.48167,-9.780562e-003
 35.12600, 0.48333,-9.804531e-003
 35.13900, 0.48500,-9.828489e-003
 35.15200, 0.48667,-9.853629e-003
 35.16800, 0.48833,-9.880346e-003
 35.18300, 0.49000,-9.907999e-003
 35.19700, 0.49167,-9.935040e-003
 35.21300, 0.49333,-9.959958e-003
 35.22700, 0.49500,-9.982484e-003
 35.24200, 0.49667,-1.000367e-002
 35.25400, 0.49833,-1.002552e-002
 35.26700, 0.50000,-1.004910e-002
 35.28400, 0.50167,-1.007362e-002
 35.30000, 0.50333,-1.009729e-002
 35.31500, 0.50500,-1.011877e-002
 35.32700, 0.50667,-1.013868e-002
 35.34100, 0.50833,-1.015905e-002
 35.35500, 0.51000,-1.018203e-002
 35.37100, 0.51167,-1.030842e-002
 35.38500, 0.51333,-1.033738e-002
 35.40100, 0.51500,-1.036656e-002
 35.41800, 0.51667,-1.039356e-002
 35.43300, 0.51833,-1.041713e-002
 35.44700, 0.52000,-1.043777e-002
 35.46000, 0.52167,-1.045771e-002
 35.47500, 0.52333,-1.047917e-002
 35.48800, 0.52500,-1.050291e-002
 35.50600, 0.52667,-1.052777e-002
 35.52200, 0.52833,-1.055255e-002
 35.53600, 0.53000,-1.057687e-002
 35.54900, 0.53167,-1.060115e-002
 35.56500, 0.53333,-1.062588e-002
 35.58200, 0.53500,-1.065116e-002
 35.59700, 0.53667,-1.067656e-002
 35.61000, 0.53833,-1.070166e-002
 35.62800, 0.54000,-1.072624e-002
 35.64200, 0.54167,-1.075032e-002
 35.65700, 0.54333,-1.077342e-002
 35.67400, 0.54500,-1.079579e-002
 35.68800, 0.54667,-1.081881e-002
 35.70200, 0.54833,-1.084401e-002
 35.71700, 0.55000,-1.087200e-002
 35.73400, 0.55167,-1.100178e-002
 35.75300, 0.55333,-1.103125e-002
 35.76700, 0.55500,-1.105863e-002
 35.78200, 0.55667,-1.108318e-002
 35.79900, 0.55833,-1.110579e-002
 35.81300, 0.56000,-1.112825e-002
 35.82800, 0.56167,-1.115200e-002
 35.84400, 0.56333,-1.117795e-002
 35.86000, 0.56500,-1.120583e-002
 35.87600, 0.56667,-1.123393e-002
 35.89400, 0.56833,-1.126016e-002
 35.91000, 0.57000,-1.128355e-002
 35.92500, 0.57167,-1.140448e-002
 35.93800, 0.57333,-1.142428e-002
 35.95500, 0.57500,-1.144410e-002
 35.97200, 0.57667,-1.146488e-002
 35.98600, 0.57833,-1.148712e-002
 36.00100, 0.58000,-1.151070e-002
 36.01800, 0.58167,-1.153532e-002
 36.03600, 0.58333,-1.156045e-002
 36.05000, 0.58500,-1.158541e-002
 36.06600, 0.58667,-1.160957e-002
 36.08400, 0.58833,-1.183288e-002
 36.09900, 0.59000,-1.185591e-002
 36.11500, 0.59167,-1.187915e-002
 36.12900, 0.59333,-1.190289e-002
 36.14800, 0.59500,-1.192658e-002
 36.16500, 0.59667,-1.194981e-002
 36.17900, 0.59833,-1.197262e-002
 36.19600, 0.60000,-1.199586e-002
 36.21100, 0.60167,-1.202101e-002
 36.22800, 0.60333,-1.204839e-002
 36.24500, 0.60500,-1.217720e-002
 36.26300, 0.60667,-1.220606e-002
 36.28000, 0.60833,-1.223401e-002
 36.29600, 0.61000,-1.226095e-002
 36.31200, 0.61167,-1.228722e-002
 36.32900, 0.61333,-1.231276e-002
 36.34700, 0.61500,-1.233723e-002
 36.36400, 0.61667,-1.236036e-002
 36.37800, 0.61833,-1.238226e-002
 36.39600, 0.62000,-1.240346e-002
 36.41300, 0.62167,-1.252487e-002
 36.42700, 0.62333,-1.254690e-002
 36.44600, 0.62500,-1.256941e-002
 36.46200, 0.62667,-1.259244e-002
 36.47800, 0.62833,-1.261568e-002
 36.49700, 0.63000,-1.263910e-002
 36.51100, 0.63167,-1.266325e-002
 36.52900, 0.63333,-1.268768e-002
 36.54600, 0.63500,-1.271184e-002
 36.56500, 0.63667,-1.273503e-002
 36.58000, 0.63833,-1.275707e-002
 36.59600, 0.64000,-1.277807e-002
 36.61400, 0.64167,-1.289851e-002
 36.63100, 0.64333,-1.291905e-002
 36.64700, 0.64500,-1.294016e-002
 36.66300, 0.64667,-1.296203e-002
 36.68100, 0.64833,-1.298465e-002
 36.69900, 0.65000,-1.300775e-002
 36.71500, 0.65167,-1.303138e-002
 36.73300, 0.65333,-1.305592e-002
 36.74800, 0.65500,-1.308170e-002
 36.76700, 0.65667,-1.310814e-002
 36.78700, 0.65833,-1.333465e-002
 36.80200, 0.66000,-1.336114e-002
 36.82000, 0.66167,-1.338763e-002
 36.83600, 0.66333,-1.341420e-002
 36.85600, 0.66500,-1.343985e-002
 36.87500, 0.66667,-1.346391e-002
 36.89100, 0.66833,-1.348666e-002
 36.90600, 0.67000,-1.350927e-002
 36.92500, 0.67167,-1.353267e-002
 36.94200, 0.67333,-1.355669e-002
 36.96200, 0.67500,-1.367975e-002
 36.97900, 0.67667,-1.370085e-002
 36.99500, 0.67833,-1.371987e-002
 37.01300, 0.68000,-1.373767e-002
 37.02900, 0.68167,-1.375557e-002
 37.04700, 0.68333,-1.377415e-002
 37.06400, 0.68500,-1.379362e-002
 37.08200, 0.68667,-1.381374e-002
 37.09900, 0.68833,-1.393429e-002
 37.11700, 0.69000,-1.395494e-002
 37.13400, 0.69167,-1.397564e-002
 37.15300, 0.69333,-1.399648e-002
 37.16900, 0.69500,-1.401789e-002
 37.18700, 0.69667,-1.403979e-002
 37.20500, 0.69833,-1.416187e-002
 37.22400, 0.70000,-1.418352e-002
 37.24100, 0.70167,-1.420445e-002
 37.25900, 0.70333,-1.422495e-002
 37.27600, 0.70500,-1.424570e-002
 37.29300, 0.70667,-1.426670e-002
 37.31300, 0.70833,-1.448727e-002
 37.33100, 0.71000,-1.450703e-002
 37.34800, 0.71167,-1.452625e-002
 37.36500, 0.71333,-1.454605e-002
 37.38200, 0.71500,-1.456720e-002
 37.40100, 0.71667,-1.458898e-002
 37.42100, 0.71833,-1.470973e-002
 37.43900, 0.72000,-1.472801e-002
 37.45500, 0.72167,-1.474342e-002
 37.47300, 0.72333,-1.475665e-002
 37.49000, 0.72500,-1.476936e-002
 37.50800, 0.72667,-1.478326e-002
 37.52400, 0.72833,-1.490030e-002
 37.54200, 0.73000,-1.492164e-002
 37.56000, 0.73167,-1.494722e-002
 37.58000, 0.73333,-1.497500e-002
 37.60000, 0.73500,-1.510197e-002
 37.61900, 0.73667,-1.512557e-002
 37.63800, 0.73833,-1.514504e-002
 37.65400, 0.74000,-1.516197e-002
 37.67200, 0.74167,-1.517884e-002
 37.68800, 0.74333,-1.519745e-002
 37.70800, 0.74500,-1.541764e-002
 37.72900, 0.74667,-1.543852e-002
 37.74500, 0.74833,-1.555935e-002
 37.76300, 0.75000,-1.557993e-002
 37.78300, 0.75167,-1.560088e-002
 37.79900, 0.75333,-1.562244e-002
 37.82000, 0.75500,-1.564340e-002
 37.83900, 0.75667,-1.566315e-002
 37.85700, 0.75833,-1.578157e-002
 37.87400, 0.76000,-1.579923e-002
 37.89200, 0.76167,-1.581688e-002
 37.91200, 0.76333,-1.583476e-002
 37.93000, 0.76500,-1.595261e-002
 37.94800, 0.76667,-1.596988e-002
 37.96700, 0.76833,-1.598632e-002
 37.98500, 0.77000,-1.600215e-002
 38.00300, 0.77167,-1.621741e-002
 38.02100, 0.77333,-1.623215e-002
 38.04100, 0.77500,-1.624684e-002
 38.05800, 0.77667,-1.626254e-002
 38.07400, 0.77833,-1.637987e-002
 38.09500, 0.78000,-1.639888e-002
 38.11500, 0.78167,-1.641964e-002
 38.13200, 0.78333,-1.644179e-002
 38.15100, 0.78500,-1.656490e-002
 38.17100, 0.78667,-1.658864e-002
 38.19000, 0.78833,-1.661192e-002
 38.21000, 0.79000,-1.663326e-002
 38.23000, 0.79167,-1.675204e-002
 38.24700, 0.79333,-1.676884e-002
 38.26500, 0.79500,-1.678452e-002
 38.28400, 0.79667,-1.680018e-002
 38.30400, 0.79833,-1.701649e-002
 38.32100, 0.80000,-1.703385e-002
 38.34000, 0.80167,-1.705211e-002
 38.36000, 0.80333,-1.707134e-002
 38.37900, 0.80500,-1.719154e-002
 38.39700, 0.80667,-1.721225e-002
 38.41700, 0.80833,-1.723296e-002
 38.43800, 0.81000,-1.725361e-002
 38.45500, 0.81167,-1.747437e-002
 38.47400, 0.81333,-1.749493e-002
