#EXPORTTYPE:                 ,DATA SINGLE                    
#FILE:                       ,Z.ngb-st9                      
#FORMAT:                     ,NETZSCH5                       
#FTYPE:                      ,ANSI                           
#IDENTITY:                   ,Saras                          
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,TG                             
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra         
#PROJECT:                    ,IL                             
#DATE/TIME:                  ,23/03/2017 12:52:54 PM (UTC+11)
#CORR. FILE:                 ,                               
#TEMPCAL:                    ,TCALZERO.TCX                   
#LABORATORY:                 ,Capture Lab                    
#OPERATOR:                   ,NJN                            
#REMARK:                     ,Training run                   
#SAMPLE:                     ,Z                              
#SAMPLE MASS /mg:            ,15.9042                        
#MATERIAL:                   ,zeolite                        
#TYPE OF CRUCIBLE:           ,Al2O3                          
#SAMPLE CRUCIBLE MASS /mg:   ,311.1594                       
#REFERENCE CRUCIBLE MASS /mg:,                               
#M.RANGE /mg:                ,2000                           
#CORR. CODE:                 ,090                            
#RANGE:                      ,32°C/10.0(K/min)/800°C         
#SEGMENT:                    ,S1/1                           
#SEG. 1:                     ,32°C/10.0(K/min)/800°C         

##Temp./°C,Time/min,Mass loss/mg
 31.42500, 0.00000,-3.791955e-003
 31.42900, 0.00167,-4.186628e-003
 31.43200, 0.00333,-4.274681e-003
 31.43100, 0.00500,-4.256225e-003
 31.43100, 0.00667,-4.331798e-003
 31.43100, 0.00833,-4.303959e-003
 31.43200, 0.01000,-4.374432e-003
 31.43100, 0.01167,-4.345092e-003
 31.42900, 0.01333,-4.617963e-003
 31.42800, 0.01500,-4.593892e-003
 31.43100, 0.01667,-4.672099e-003
 31.43200, 0.01833,-4.650626e-003
 31.43100, 0.02000,-4.727777e-003
 31.43200, 0.02167,-4.703606e-003
 31.43100, 0.02333,-4.879661e-003
 31.42900, 0.02500,-4.857533e-003
 31.43100, 0.02667,-4.937745e-003
 31.43100, 0.02833,-4.919646e-003
 31.43300, 0.03000,-5.101951e-003
 31.43200, 0.03167,-5.083791e-003
 31.43200, 0.03333,-5.265023e-003
 31.43300, 0.03500,-5.246092e-003
 31.43300, 0.03667,-5.427606e-003
 31.43200, 0.03833,-5.409766e-003
 31.43300, 0.04000,-5.492293e-003
 31.43400, 0.04167,-5.474718e-003
 31.43400, 0.04333,-5.656865e-003
 31.43400, 0.04500,-5.639335e-003
 31.43300, 0.04667,-5.723072e-003
 31.43300, 0.04833,-5.707956e-003
 31.43400, 0.05000,-5.892227e-003
 31.43700, 0.05167,-5.873778e-003
 31.43700, 0.05333,-6.052300e-003
 31.43300, 0.05500,-6.029832e-003
 31.43100, 0.05667,-6.209340e-003
 31.43300, 0.05833,-6.193026e-003
 31.43500, 0.06000,-6.281120e-003
 31.43200, 0.06167,-6.271915e-003
 31.43500, 0.06333,-6.462775e-003
