#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,cellulose.ngb-st9             
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,30/05/2017 2:08:57 PM (UTC+10)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Mulvaney                      
#OPERATOR:                   ,JGC                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,cellulose                     
#SAMPLE MASS /mg:            ,17.1559                       
#MATERIAL:                   ,CZTSE                         
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,312.1469                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.59900, 0.00000,-1.717149e-003
 31.60100, 0.00167,-2.219238e-003
 31.59900, 0.00333,-2.222051e-003
 31.59800, 0.00500,-2.425544e-003
 31.59900, 0.00667,-2.430072e-003
 31.59800, 0.00833,-2.436535e-003
 31.59800, 0.01000,-2.444920e-003
 31.59800, 0.01167,-2.654141e-003
 31.60000, 0.01333,-2.662315e-003
 31.60000, 0.01500,-2.667800e-003
 31.60100, 0.01667,-2.670483e-003
 31.59800, 0.01833,-2.772088e-003
 31.59700, 0.02000,-2.774814e-003
 31.59700, 0.02167,-2.779939e-003
 31.59900, 0.02333,-2.787506e-003
 31.59900, 0.02500,-3.096634e-003
 31.59700, 0.02667,-3.106082e-003
 31.60000, 0.02833,-3.114867e-003
 31.60100, 0.03000,-3.122595e-003
 31.59900, 0.03167,-3.329254e-003
 31.59900, 0.03333,-3.335074e-003
 31.60000, 0.03500,-3.340462e-003
 31.60100, 0.03667,-3.345555e-003
 31.59900, 0.03833,-3.550139e-003
 31.59900, 0.04000,-3.553742e-003
 31.60100, 0.04167,-3.656095e-003
 31.60100, 0.04333,-3.657681e-003
 31.59800, 0.04500,-3.759474e-003
 31.59700, 0.04667,-3.762350e-003
 31.60000, 0.04833,-3.866703e-003
 31.60000, 0.05000,-3.872340e-003
 31.59800, 0.05167,-4.078860e-003
 31.59900, 0.05333,-4.086146e-003
 31.60000, 0.05500,-4.194005e-003
 31.60000, 0.05667,-4.201800e-003
 31.60100, 0.05833,-4.309126e-003
 31.60100, 0.06000,-4.316251e-003
 31.60000, 0.06167,-4.623508e-003
 31.60100, 0.06333,-4.630733e-003
 31.60200, 0.06500,-4.737297e-003
 31.60300, 0.06667,-4.742646e-003
 31.60200, 0.06833,-4.847262e-003
 31.60200, 0.07000,-4.852819e-003
 31.60100, 0.07167,-4.961236e-003
 31.60200, 0.07333,-4.973338e-003
 31.60300, 0.07500,-4.988381e-003
 31.60600, 0.07667,-5.004982e-003
 31.60700, 0.07833,-5.322649e-003
 31.60700, 0.08000,-5.342223e-003
 31.60700, 0.08167,-5.365397e-003
 31.61100, 0.08333,-5.393482e-003
 31.61200, 0.08500,-5.526472e-003
 31.61600, 0.08667,-5.563344e-003
 31.62000, 0.08833,-5.603178e-003
 31.62200, 0.09000,-5.645641e-003
 31.62600, 0.09167,-5.691016e-003
 31.63000, 0.09333,-5.740008e-003
 31.63400, 0.09500,-5.793082e-003
 31.63900, 0.09667,-5.849993e-003
 31.64400, 0.09833,-5.909697e-003
 31.65000, 0.10000,-5.970651e-003
 31.65700, 0.10167,-5.831686e-003
 31.66100, 0.10333,-5.892889e-003
 31.66700, 0.10500,-5.955636e-003
 31.67100, 0.10667,-6.021821e-003
 31.67800, 0.10833,-5.792613e-003
 31.68600, 0.11000,-5.868632e-003
 31.69400, 0.11167,-5.850475e-003
 31.69900, 0.11333,-5.938377e-003
 31.70800, 0.11500,-5.931418e-003
 31.72000, 0.11667,-6.026963e-003
 31.72900, 0.11833,-5.821193e-003
 31.74000, 0.12000,-5.911356e-003
 31.74800, 0.12167,-5.798100e-003
 31.75500, 0.12333,-5.884791e-003
 31.76100, 0.12500,-5.675106e-003
 31.77300, 0.12667,-5.770651e-003
 31.78400, 0.12833,-5.470297e-003
 31.79600, 0.13000,-5.571609e-003
 31.80600, 0.13167,-5.472947e-003
 31.81500, 0.13333,-5.573870e-003
 31.82700, 0.13500,-5.374417e-003
 31.83900, 0.13667,-5.474741e-003
 31.85000, 0.13833,-5.274823e-003
 31.85900, 0.14000,-5.374393e-003
 31.87200, 0.14167,-5.072772e-003
 31.88400, 0.14333,-5.169173e-003
 31.89600, 0.14500,-4.863313e-003
 31.90500, 0.14667,-4.956129e-003
 31.91600, 0.14833,-4.849576e-003
 31.92800, 0.15000,-4.945571e-003
 31.93900, 0.15167,-4.644847e-003
 31.95200, 0.15333,-4.746480e-003
 31.96500, 0.15500,-4.548465e-003
 31.97900, 0.15667,-4.648581e-003
 31.99100, 0.15833,-4.545412e-003
 32.00300, 0.16000,-4.638797e-003
 32.01500, 0.16167,-4.329542e-003
 32.02700, 0.16333,-4.418774e-003
 32.03900, 0.16500,-4.107204e-003
 32.05100, 0.16667,-4.195131e-003
 32.06500, 0.16833,-4.082920e-003
 32.07600, 0.17000,-4.170905e-003
 32.08700, 0.17167,-3.958622e-003
 32.10200, 0.17333,-4.044673e-003
 32.11600, 0.17500,-3.927605e-003
 32.12800, 0.17667,-4.006917e-003
 32.13800, 0.17833,-3.783827e-003
 32.15000, 0.18000,-3.860262e-003
 32.16200, 0.18167,-3.736916e-003
 32.17600, 0.18333,-3.812707e-003
 32.19000, 0.18500,-3.785947e-003
 32.20000, 0.18667,-3.855370e-003
 32.21200, 0.18833,-3.720648e-003
 32.22500, 0.19000,-3.782786e-003
 32.23600, 0.19167,-3.643351e-003
 32.24500, 0.19333,-3.703879e-003
 32.25900, 0.19500,-3.765577e-003
 32.27000, 0.19667,-3.828582e-003
 32.28200, 0.19833,-3.791540e-003
 32.29600, 0.20000,-3.852409e-003
 32.30700, 0.20167,-3.909417e-003
 32.32000, 0.20333,-3.962109e-003
 32.33100, 0.20500,-3.812215e-003
 32.33900, 0.20667,-3.862550e-003
 32.35100, 0.20833,-3.915104e-003
 32.36400, 0.21000,-3.969992e-003
 32.37700, 0.21167,-4.025234e-003
 32.38900, 0.21333,-4.078043e-003
 32.40100, 0.21500,-4.126486e-003
 32.41300, 0.21667,-4.170530e-003
 32.42400, 0.21833,-4.211973e-003
 32.43200, 0.22000,-4.253219e-003
 32.44400, 0.22167,-4.295617e-003
 32.45700, 0.22333,-4.338881e-003
 32.46900, 0.22500,-4.381340e-003
 32.48000, 0.22667,-4.421212e-003
 32.49100, 0.22833,-4.458001e-003
 32.50300, 0.23000,-4.492707e-003
 32.51200, 0.23167,-4.727364e-003
 32.52300, 0.23333,-4.763639e-003
 32.53300, 0.23500,-4.801558e-003
 32.54700, 0.23667,-4.839146e-003
 32.56000, 0.23833,-4.873981e-003
 32.57000, 0.24000,-4.905029e-003
 32.58000, 0.24167,-5.033468e-003
 32.58900, 0.24333,-5.061752e-003
 32.60000, 0.24500,-5.091366e-003
 32.61200, 0.24667,-5.222373e-003
 32.62600, 0.24833,-5.254407e-003
 32.63300, 0.25000,-5.287193e-003
 32.64400, 0.25167,-5.319763e-003
 32.65800, 0.25333,-5.350775e-003
 32.67200, 0.25500,-5.378998e-003
 32.67900, 0.25667,-5.404256e-003
 32.68900, 0.25833,-5.527858e-003
 32.70100, 0.26000,-5.551827e-003
 32.71100, 0.26167,-5.577352e-003
 32.72300, 0.26333,-5.604358e-003
 32.73300, 0.26500,-5.832377e-003
 32.74600, 0.26667,-5.860770e-003
 32.75600, 0.26833,-5.889009e-003
 32.76800, 0.27000,-6.016589e-003
 32.77900, 0.27167,-6.043308e-003
 32.79100, 0.27333,-6.069231e-003
 32.80100, 0.27500,-6.094807e-003
 32.81300, 0.27667,-6.220632e-003
 32.82300, 0.27833,-6.246924e-003
 32.83500, 0.28000,-6.273010e-003
 32.84800, 0.28167,-6.298163e-003
 32.85900, 0.28333,-6.422349e-003
 32.86800, 0.28500,-6.446324e-003
 32.88000, 0.28667,-6.471305e-003
 32.89200, 0.28833,-6.498292e-003
 32.90300, 0.29000,-6.727257e-003
 32.91500, 0.29167,-6.757369e-003
 32.92800, 0.29333,-6.787768e-003
 32.94000, 0.29500,-6.817858e-003
 32.95100, 0.29667,-6.947267e-003
 32.96300, 0.29833,-6.975799e-003
 32.97600, 0.30000,-7.103108e-003
 32.98700, 0.30167,-7.128920e-003
 33.00000, 0.30333,-7.153571e-003
 33.01000, 0.30500,-7.178254e-003
 33.02100, 0.30667,-7.204182e-003
 33.03400, 0.30833,-7.231955e-003
 33.04600, 0.31000,-7.361265e-003
 33.05900, 0.31167,-7.391088e-003
 33.07100, 0.31333,-7.420564e-003
 33.08300, 0.31500,-7.449343e-003
 33.09600, 0.31667,-7.477865e-003
 33.10800, 0.31833,-7.507456e-003
 33.11900, 0.32000,-7.739284e-003
 33.13100, 0.32167,-7.773296e-003
 33.14700, 0.32333,-7.808018e-003
 33.16000, 0.32500,-7.841155e-003
 33.17200, 0.32667,-7.870540e-003
 33.18500, 0.32833,-7.895786e-003
 33.19800, 0.33000,-8.018705e-003
