"species_code" "sp_abrev" "species" "family" "gf" "SLA" "DMC" "N" "C" "HC_1" "HC_2" "CL" "LG" "wt_type" "HC"
"67" "Q" "A. dealbata" "Acacia dealbata" "Fabaceae" "T" 0.595844851652611 364.585613973081 3.6029 50.19 NA 7.7957445 8.032534 55.70195 "mean" 7.7957445
"49" "L" "A. denticulata" "Alternanthera denticulata" "Amaranthaceae" "F" 0.538221808862305 274.999773536507 1.3268 41.203 NA 15.602259 17.38836 32.70467 "mean" 15.602259
"37" "J" "B. articulata" "Baumea articulata" "Cyperaceae" "G" 0.19896320110037 321.556374418688 0.60412 44.915 NA 21.7124278 21.52398 28.38867 "mean" 21.7124278
"85" "Z" "B. rubiginosa" "Baumea rubiginosa" "Cyperaceae" "G" 0.235143184297362 405.043401119272 0.20344 42.147 NA 24.5112478 17.01776 26.9692 "mean" 24.5112478
"10" "C" "C. appressa" "Carex appressa" "Cyperaceae" "G" 0.259127435182722 395.987484522958 0.50178 42.335 NA 20.5627624 20.03211 27.68408 "mean" 20.5627624
"22" "FF" "C. fascicularis" "Carex fascicularis" "Cyperaceae" "G" 0.450999641004295 299.763271870152 0.77494 42.209 NA 15.8771188 18.49638 27.12056 "mean" 15.8771188
"19" "E" "C. helmsii" "Crassula helmsii" "Crassulaceae" "F" 1.47604258986488 96.6332147485297 0.77765 36.411 NA 14.2127307 8.658037 31.31413 "mean" 14.2127307
"13" "CC" "C. procerum" "Cycnogeton procerum" "Juncaginaceae" "G" 0.901826181909068 100.813597851095 3.1817 37.636 NA 8.9697355 11.5956 37.85325 "mean" 8.9697355
"4" "B" "C. eragrostis" "Cyperus eragrostis" "Cyperaceae" "G" 0.418844753470615 253.473501840945 0.58545 40.458 5.72830447 25.3499298 13.00618 22.93139 "mean" 31.07823427
"43" "K" "E. acuta" "Eleocharis acuta" "Cyperaceae" "G" 0.941192751574301 158.370383253877 1.6467 41.006 NA 14.465486 18.16941 31.86826 "mean" 14.465486
"70" "R" "E. camaldulensis" "Eucalyptus camaldulensis" "Myrtaceae" "T" 0.717535906298268 452.871211754151 1.4169 48.45 NA 15.106569 7.16536 43.99075 "mean" 15.106569
"61" "N" "G. filum" "Gahnia filum" "Cyperaceae" "G" 0.223590140849285 432.987955686212 0.23394 44.13 NA 21.9873296 21.77194 27.87121 "mean" 21.9873296
"1" "A" "J. amabilis" "Juncus amabilis" "Juncaceae" "G" 0.152139386483157 450.972256407078 0.77926 45.282 NA 21.5530142 17.68445 30.48567 "mean" 21.5530142
"34" "II" "J. procerus" "Juncus procerus" "Juncaceae" "G" 0.262291208446106 352.04002054626 0.46373 43.119 NA 20.4730382 13.28792 32.10981 "mean" 20.4730382
"82" "X" "L. australis" "Lycopus australis" "Lamiaceae" "F" 0.877197312736989 325.894841588592 0.9427 45.314 NA 14.4157404 18.79648 34.10346 "mean" 14.4157404
"28" "H" "M. drumondii" "Marsilea drummondii" "Marsileaceae" "F" 2.27047766592922 208.77896827539 1.0208 42.538 4.81500105 13.8351936 13.83007 30.77974 "mean" 18.65019465
"7" "BB" "M. ericifolia" "Melaleuca ericifolia" "Myrtaceae" "T" 0.220674310106925 456.115148687168 0.81639 46.652 NA 13.2342662 7.190026 46.24237 "mean" 13.2342662
"46" "KK" "M. squarrosa" "Melaleuca squarrosa" "Myrtaceae" "T" 0.178704032531646 488.554451095381 0.6708 49.183 1.43675425 8.1226441 6.984848 52.84456 "mean" 9.55939835
"64" "NN" "M. florulenta" "Meuhlenbeckia florulenta" "Polygonaceae" "S" 0.0934537886583894 546.462071812594 0.86048 45.023 1.54751905 19.2945781 16.06818 29.64864 "mean" 20.84209715
"55" "M" "M. crispatum" "Myriophyllum crispatum" "Haloragaceae" "F" 0.527694601648947 180.466748389566 1.0957 39.333 6.93256994 14.1935223 9.245688 23.53595 "mean" 21.12609224
"76" "T" "N. alba" "Nymphaea alba" "Nymphaeaceae" "F" 1.50150430074451 185.529670074484 2.7909 42.716 NA 13.0407392 12.31988 35.12568 "mean" 13.0407392
"31" "I" "P. distichum" "Paspalum distichum" "Poaceae" "G" 0.0726908972933552 283.177451619033 0.30087 40.36 NA 17.9465214 26.47716 22.22748 "mean" 17.9465214
"79" "V" "P. decipiens" "Persicaria decipiens" "Polygonaceae" "F" 0.952830908761277 175.60867545498 0.60748 43.681 NA 17.1506904 12.95699 29.84226 "mean" 17.1506904
"58" "MM" "P. prostrata" "Persicaria prostrata" "Polygonaceae" "F" 0.966116311912715 227.087130023176 1.1063 44.779 NA 20.6075808 12.79775 31.4882 "mean" 20.6075808
"73" "S" "P. australis" "Phragmites australis" "Poaceae" "G" 0.186555469948932 479.858886254049 1.1903 44.618 NA 18.8755555 18.31027 33.14421 "mean" 18.8755555
"52" "LL" "R. tetraphyllus" "Restio tetraphyllus" "Restionaceae" "G" 0.349637015219855 442.604677742663 0.14089 46.153 NA 22.4070329 18.47555 31.13015 "mean" 22.4070329
"25" "G" "R. crispus" "Rumex crispus" "Polygonaceae" "F" 2.24978304540746 87.0256341385453 2.1205 39.073 NA 15.4144122 9.31272 31.57881 "mean" 15.4144122
"40" "JJ" "Sphagnum" "Sphagnum sp" "Sphagnaceae" "NV" 0.541287645467026 519.189942322359 0.37045 42.989 NA 17.8975137 18.43755 30.64115 "mean" 17.8975137
"16" "DD" "T. domingensis" "Typha domingensis" "Typhaceae" "G" 0.454874366743695 287.666892942827 0.99687 43.894 NA 14.3389633 15.52837 35.74146 "mean" 14.3389633
