#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,CL.ngb-st9                    
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,IL                            
#DATE/TIME:                  ,30/05/2017 2:08:57 PM (UTC+10)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Mulvaney                      
#OPERATOR:                   ,JGC                           
#REMARK:                     ,Training run                  
#SAMPLE:                     ,cellulose                     
#SAMPLE MASS /mg:            ,17.1559                       
#MATERIAL:                   ,CZTSE                         
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,312.1469                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/800°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/800°C        

##Temp./°C,Time/min,Mass loss/mg
 31.59700, 0.00000,-1.717149e-003
 31.69700, 0.08377,-5.423679e-003
 31.79700, 0.10604,-6.027348e-003
 31.89700, 0.13037,-5.563666e-003
 31.99700, 0.15098,-4.759683e-003
 32.09700, 0.16920,-4.137531e-003
 32.19700, 0.18575,-3.825144e-003
 32.29700, 0.20120,-3.890324e-003
 32.39700, 0.21598,-4.152853e-003
 32.49700, 0.23038,-4.538684e-003
 32.59700, 0.24457,-5.072159e-003
 32.69700, 0.25857,-5.537769e-003
 32.79700, 0.27248,-6.055989e-003
 32.89700, 0.28619,-6.467735e-003
 32.99700, 0.29969,-7.081739e-003
 33.09700, 0.31296,-7.413088e-003
 33.19700, 0.32598,-7.861419e-003
 33.29700, 0.33872,-8.183841e-003
 33.39700, 0.35117,-8.554557e-003
 33.49700, 0.36335,-8.857340e-003
 33.59700, 0.37526,-9.181455e-003
 33.69700, 0.38690,-9.441063e-003
 33.79700, 0.39831,-9.700273e-003
 33.89700, 0.40950,-1.013274e-002
 33.99700, 0.42049,-1.036504e-002
 34.09700, 0.43131,-1.058005e-002
 34.19700, 0.44195,-1.090499e-002
 34.29700, 0.45244,-1.115584e-002
 34.39700, 0.46278,-1.150364e-002
 34.49700, 0.47299,-1.168063e-002
 34.59700, 0.48310,-1.217534e-002
 34.69700, 0.49310,-1.237553e-002
 34.79700, 0.50298,-1.263726e-002
 34.89700, 0.51277,-1.288565e-002
 34.99700, 0.52247,-1.324041e-002
 35.09700, 0.53207,-1.353235e-002
 35.19700, 0.54158,-1.386314e-002
 35.29700, 0.55101,-1.419291e-002
 35.39700, 0.56037,-1.457537e-002
 35.49700, 0.56964,-1.500192e-002
 35.59700, 0.57882,-1.530698e-002
 35.69700, 0.58794,-1.580034e-002
 35.79700, 0.59699,-1.605443e-002
 35.89700, 0.60598,-1.646465e-002
 35.99700, 0.61489,-1.692045e-002
 36.09700, 0.62373,-1.713758e-002
 36.19700, 0.63253,-1.764076e-002
 36.29700, 0.64126,-1.811674e-002
 36.39700, 0.64995,-1.843143e-002
 36.49700, 0.65858,-1.866457e-002
 36.59700, 0.66717,-1.928740e-002
 36.69700, 0.67570,-1.973615e-002
 36.79700, 0.68419,-2.023572e-002
 36.89700, 0.69263,-2.069186e-002
 36.99700, 0.70104,-2.111266e-002
 37.09700, 0.70942,-2.167986e-002
 37.19700, 0.71775,-2.225936e-002
 37.29700, 0.72605,-2.272981e-002
 37.39700, 0.73431,-2.331638e-002
 37.49700, 0.74254,-2.402514e-002
 37.59700, 0.75076,-2.457738e-002
 37.69700, 0.75894,-2.519619e-002
 37.79700, 0.76709,-2.573283e-002
 37.89700, 0.77522,-2.636393e-002
 37.99700, 0.78332,-2.683881e-002
 38.09700, 0.79142,-2.759428e-002
 38.19700, 0.79949,-2.808040e-002
 38.29700, 0.80752,-2.876738e-002
 38.39700, 0.81555,-2.944995e-002
 38.49700, 0.82357,-2.991864e-002
 38.59700, 0.83157,-3.078500e-002
 38.69700, 0.83955,-3.112136e-002
 38.79700, 0.84751,-3.183700e-002
 38.89700, 0.85546,-3.258339e-002
 38.99700, 0.86339,-3.302368e-002
 39.09700, 0.87131,-3.373815e-002
 39.19700, 0.87922,-3.437330e-002
 39.29700, 0.88713,-3.494643e-002
 39.39700, 0.89503,-3.573104e-002
 39.49700, 0.90291,-3.630472e-002
 39.59700, 0.91079,-3.677911e-002
 39.69700, 0.91867,-3.748150e-002
 39.79700, 0.92654,-3.800795e-002
 39.89700, 0.93441,-3.869112e-002
 39.99700, 0.94228,-3.931378e-002
 40.09700, 0.95013,-3.986410e-002
 40.19700, 0.95799,-4.063376e-002
 40.29700, 0.96585,-4.110874e-002
 40.39700, 0.97370,-4.167942e-002
 40.49700, 0.98155,-4.236070e-002
 40.59700, 0.98940,-4.289405e-002
 40.69700, 0.99726,-4.348385e-002
 40.79700, 1.00511,-4.406633e-002
 40.89700, 1.01297,-4.456347e-002
 40.99700, 1.02082,-4.525180e-002
 41.09700, 1.02868,-4.604220e-002
 41.19700, 1.03655,-4.654181e-002
 41.29700, 1.04442,-4.728046e-002
 41.39700, 1.05230,-4.800812e-002
 41.49700, 1.06019,-4.851705e-002
 41.59700, 1.06808,-4.938107e-002
 41.69700, 1.07597,-5.003305e-002
 41.79700, 1.08388,-5.074168e-002
 41.89700, 1.09180,-5.167087e-002
 41.99700, 1.09973,-5.225835e-002
 42.09700, 1.10766,-5.309088e-002
 42.19700, 1.11561,-5.397549e-002
 42.29700, 1.12357,-5.464925e-002
 42.39700, 1.13153,-5.568120e-002
 42.49700, 1.13951,-5.627719e-002
 42.59700, 1.14750,-5.714569e-002
 42.69700, 1.15551,-5.807089e-002
 42.79700, 1.16352,-5.882959e-002
 42.89700, 1.17155,-5.998870e-002
 42.99700, 1.17960,-6.056939e-002
 43.09700, 1.18766,-6.150692e-002
 43.19700, 1.19575,-6.251464e-002
 43.29700, 1.20384,-6.313244e-002
 43.39700, 1.21196,-6.413240e-002
 43.49700, 1.22010,-6.506046e-002
 43.59700, 1.22825,-6.574265e-002
 43.69700, 1.23642,-6.673503e-002
 43.79700, 1.24460,-6.748114e-002
 43.89700, 1.25281,-6.845536e-002
 43.99700, 1.26104,-6.909550e-002
 44.09700, 1.26929,-7.007406e-002
 44.19700, 1.27756,-7.090702e-002
 44.29700, 1.28584,-7.166952e-002
 44.39700, 1.29414,-7.243104e-002
 44.49700, 1.30248,-7.323151e-002
 44.59700, 1.31083,-7.410767e-002
 44.69700, 1.31921,-7.501648e-002
 44.79700, 1.32761,-7.587981e-002
 44.89700, 1.33603,-7.683158e-002
 44.99700, 1.34449,-7.748930e-002
 45.09700, 1.35297,-7.875025e-002
 45.19700, 1.36148,-7.936909e-002
 45.29700, 1.37001,-8.067075e-002
 45.39700, 1.37856,-8.138866e-002
 45.49700, 1.38713,-8.246679e-002
 45.59700, 1.39573,-8.336046e-002
 45.69700, 1.40435,-8.425103e-002
 45.79700, 1.41300,-8.549584e-002
 45.89700, 1.42169,-8.621736e-002
 45.99700, 1.43041,-8.761162e-002
 46.09700, 1.43915,-8.844780e-002
 46.19700, 1.44792,-8.951523e-002
 46.29700, 1.45671,-9.070453e-002
 46.39700, 1.46554,-9.161679e-002
 46.49700, 1.47439,-9.286145e-002
 46.59700, 1.48328,-9.393578e-002
 46.69700, 1.49220,-9.504100e-002
 46.79700, 1.50114,-9.628341e-002
 46.89700, 1.51011,-9.755655e-002
 46.99700, 1.51913,-9.863301e-002
 47.09700, 1.52816,-9.975473e-002
 47.19700, 1.53722,      -0.10115
 47.29700, 1.54629,      -0.10232
 47.39700, 1.55540,      -0.10349
 47.49700, 1.56455,      -0.10472
 47.59700, 1.57374,      -0.10625
 47.69700, 1.58296,      -0.10743
 47.79700, 1.59222,      -0.10870
 47.89700, 1.60149,      -0.10992
 47.99700, 1.61080,      -0.11141
 48.09700, 1.62014,      -0.11267
 48.19700, 1.62951,      -0.11401
 48.29700, 1.63891,      -0.11530
 48.39700, 1.64834,      -0.11660
 48.49700, 1.65781,      -0.11802
 48.59700, 1.66730,      -0.11982
 48.69700, 1.67681,      -0.12099
 48.79700, 1.68635,      -0.12241
 48.89700, 1.69593,      -0.12415
 48.99700, 1.70554,      -0.12565
 49.09700, 1.71516,      -0.12709
 49.19700, 1.72482,      -0.12859
 49.29700, 1.73451,      -0.13008
 49.39700, 1.74425,      -0.13142
 49.49700, 1.75401,      -0.13314
 49.59700, 1.76379,      -0.13457
 49.69700, 1.77360,      -0.13619
 49.79700, 1.78343,      -0.13762
 49.89700, 1.79331,      -0.13946
 49.99700, 1.80322,      -0.14092
 50.09700, 1.81316,      -0.14260
 50.19700, 1.82311,      -0.14397
 50.29700, 1.83309,      -0.14573
 50.39700, 1.84308,      -0.14720
 50.49700, 1.85308,      -0.14889
 50.59700, 1.86311,      -0.15036
 50.69700, 1.87317,      -0.15223
