#EXPORTTYPE:                 ,DATA SINGLE                    
#FILE:                       ,HC.ngb-st9                     
#FORMAT:                     ,NETZSCH5                       
#FTYPE:                      ,ANSI                           
#IDENTITY:                   ,Saras                          
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,TG                             
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra         
#PROJECT:                    ,PM                             
#DATE/TIME:                  ,15/01/2018 12:26:33 PM (UTC+11)
#CORR. FILE:                 ,                               
#TEMPCAL:                    ,TCALZERO.TCX                   
#LABORATORY:                 ,Capture Lab                    
#OPERATOR:                   ,Frank                          
#REMARK:                     ,                               
#SAMPLE:                     ,HC                             
#SAMPLE MASS /mg:            ,15.4650                        
#MATERIAL:                   ,zeolite                        
#TYPE OF CRUCIBLE:           ,Al2O3                          
#SAMPLE CRUCIBLE MASS /mg:   ,169.3205                       
#REFERENCE CRUCIBLE MASS /mg:,                               
#M.RANGE /mg:                ,2000                           
#CORR. CODE:                 ,090                            
#RANGE:                      ,32°C/10.0(K/min)/900°C         
#SEGMENT:                    ,S1/1                           
#SEG. 1:                     ,32°C/10.0(K/min)/900°C         

##Temp./°C,Time/min,Mass loss/mg
 31.53500, 0.00000,-1.657481e-003
 31.63500, 0.07999,-2.429876e-003
 31.73500, 0.09884,-2.901349e-003
 31.83500, 0.12171,-3.383841e-003
 31.93500, 0.14156,-3.863560e-003
 32.03500, 0.15915,-3.989639e-003
 32.13500, 0.17514,-4.004796e-003
 32.23500, 0.19003,-4.093474e-003
 32.33500, 0.20416,-3.845503e-003
 32.43500, 0.21789,-3.718043e-003
 32.53500, 0.23143,-3.491227e-003
 32.63500, 0.24489,-3.536735e-003
 32.73500, 0.25827,-3.337278e-003
 32.83500, 0.27162,-3.187455e-003
 32.93500, 0.28492,-3.298307e-003
 33.03500, 0.29812,-3.409682e-003
 33.13500, 0.31116,-3.486262e-003
 33.23500, 0.32403,-3.493239e-003
 33.33500, 0.33667,-3.564147e-003
 33.43500, 0.34909,-3.719483e-003
 33.53500, 0.36127,-3.887104e-003
 33.63500, 0.37322,-4.105006e-003
 33.73500, 0.38493,-4.139561e-003
 33.83500, 0.39646,-4.249797e-003
 33.93500, 0.40781,-4.455311e-003
 34.03500, 0.41898,-4.562973e-003
 34.13500, 0.42997,-4.654164e-003
 34.23500, 0.44080,-4.627006e-003
 34.33500, 0.45150,-4.722639e-003
 34.43500, 0.46207,-4.872035e-003
 34.53500, 0.47252,-4.950308e-003
 34.63500, 0.48287,-5.006191e-003
 34.73500, 0.49310,-4.982624e-003
 34.83500, 0.50325,-5.110719e-003
 34.93500, 0.51328,-5.155793e-003
 35.03500, 0.52323,-5.200438e-003
 35.13500, 0.53309,-5.246032e-003
 35.23500, 0.54287,-5.187896e-003
 35.33500, 0.55255,-5.242528e-003
 35.43500, 0.56215,-5.293581e-003
 35.53500, 0.57167,-5.333613e-003
 35.63500, 0.58111,-5.284851e-003
 35.73500, 0.59048,-5.197884e-003
 35.83500, 0.59977,-5.223710e-003
 35.93500, 0.60899,-5.179567e-003
 36.03500, 0.61814,-5.182179e-003
 36.13500, 0.62722,-5.190243e-003
 36.23500, 0.63624,-5.314672e-003
 36.33500, 0.64522,-5.352435e-003
 36.43500, 0.65413,-5.481168e-003
 36.53500, 0.66301,-5.609663e-003
 36.63500, 0.67183,-5.707990e-003
 36.73500, 0.68061,-5.605588e-003
 36.83500, 0.68934,-5.714812e-003
 36.93500, 0.69803,-5.825909e-003
 37.03500, 0.70667,-5.932956e-003
 37.13500, 0.71527,-5.935523e-003
 37.23500, 0.72383,-6.033699e-003
 37.33500, 0.73236,-6.082292e-003
 37.43500, 0.74085,-6.103166e-003
 37.53500, 0.74932,-6.187124e-003
 37.63500, 0.75775,-6.254818e-003
 37.73500, 0.76616,-6.350048e-003
 37.83500, 0.77455,-6.446671e-003
 37.93500, 0.78290,-6.420211e-003
 38.03500, 0.79123,-6.507324e-003
 38.13500, 0.79954,-6.581391e-003
 38.23500, 0.80782,-6.663767e-003
 38.33500, 0.81609,-6.536597e-003
 38.43500, 0.82433,-6.608893e-003
 38.53500, 0.83256,-6.667183e-003
 38.63500, 0.84076,-6.718781e-003
 38.73500, 0.84895,-6.791215e-003
 38.83500, 0.85711,-6.859510e-003
 38.93500, 0.86525,-6.911960e-003
 39.03500, 0.87337,-6.967338e-003
 39.13500, 0.88149,-7.021833e-003
 39.23500, 0.88960,-7.080270e-003
 39.33500, 0.89769,-7.130885e-003
 39.43500, 0.90578,-7.187501e-003
 39.53500, 0.91385,-7.227578e-003
 39.63500, 0.92192,-7.289225e-003
 39.73500, 0.92998,-7.332309e-003
 39.83500, 0.93804,-7.380429e-003
 39.93500, 0.94608,-7.438791e-003
 40.03500, 0.95412,-7.479002e-003
 40.13500, 0.96215,-7.534294e-003
 40.23500, 0.97017,-7.569576e-003
 40.33500, 0.97819,-7.785742e-003
 40.43500, 0.98621,-7.821481e-003
 40.53500, 0.99422,-7.858388e-003
 40.63500, 1.00223,-7.890305e-003
 40.73500, 1.01025,-7.931499e-003
 40.83500, 1.01825,-7.945641e-003
 40.93500, 1.02627,-7.959254e-003
 41.03500, 1.03429,-7.991327e-003
 41.13500, 1.04231,-8.017668e-003
 41.23500, 1.05033,-8.146664e-003
 41.33500, 1.05835,-8.177323e-003
 41.43500, 1.06638,-8.202100e-003
 41.53500, 1.07442,-8.286324e-003
 41.63500, 1.08246,-8.335526e-003
 41.73500, 1.09051,-8.353510e-003
 41.83500, 1.09856,-8.473454e-003
 41.93500, 1.10661,-8.477173e-003
 42.03500, 1.11467,-8.659734e-003
 42.13500, 1.12274,-8.684494e-003
 42.23500, 1.13081,-8.748017e-003
 42.33500, 1.13889,-8.814332e-003
 42.43500, 1.14698,-8.933952e-003
 42.53500, 1.15508,-8.945789e-003
 42.63500, 1.16318,-9.049798e-003
 42.73500, 1.17131,-9.209876e-003
 42.83500, 1.17944,-9.255275e-003
 42.93500, 1.18758,-9.303467e-003
 43.03500, 1.19574,-9.345463e-003
 43.13500, 1.20391,-9.401151e-003
 43.23500, 1.21208,-9.476946e-003
 43.33500, 1.22027,-9.568993e-003
 43.43500, 1.22846,-9.768224e-003
 43.53500, 1.23666,-9.754780e-003
 43.63500, 1.24488,-9.859628e-003
 43.73500, 1.25312,-9.956135e-003
 43.83500, 1.26138,-1.005760e-002
 43.93500, 1.26965,-1.024182e-002
 44.03500, 1.27794,-1.041629e-002
 44.13500, 1.28624,-1.042019e-002
 44.23500, 1.29455,-1.066604e-002
 44.33500, 1.30290,-1.081527e-002
 44.43500, 1.31126,-1.089084e-002
 44.53500, 1.31964,-1.091117e-002
 44.63500, 1.32803,-1.101732e-002
 44.73500, 1.33643,-1.119585e-002
 44.83500, 1.34486,-1.126651e-002
 44.93500, 1.35331,-1.144641e-002
 45.03500, 1.36177,-1.163122e-002
 45.13500, 1.37026,-1.171369e-002
 45.23500, 1.37876,-1.182857e-002
 45.33500, 1.38727,-1.211513e-002
 45.43500, 1.39581,-1.214549e-002
 45.53500, 1.40437,-1.223690e-002
 45.63500, 1.41295,-1.233282e-002
 45.73500, 1.42156,-1.252447e-002
 45.83500, 1.43020,-1.260807e-002
 45.93500, 1.43885,-1.270520e-002
 46.03500, 1.44752,-1.274493e-002
 46.13500, 1.45621,-1.295006e-002
 46.23500, 1.46492,-1.302874e-002
 46.33500, 1.47365,-1.311990e-002
 46.43500, 1.48240,-1.320997e-002
 46.53500, 1.49117,-1.348411e-002
 46.63500, 1.49996,-1.355000e-002
 46.73500, 1.50878,-1.368672e-002
 46.83500, 1.51761,-1.392272e-002
 46.93500, 1.52648,-1.399761e-002
 47.03500, 1.53537,-1.411432e-002
 47.13500, 1.54427,-1.437704e-002
 47.23500, 1.55321,-1.442337e-002
 47.33500, 1.56217,-1.474248e-002
 47.43500, 1.57115,-1.490153e-002
 47.53500, 1.58016,-1.498292e-002
 47.63500, 1.58921,-1.525350e-002
 47.73500, 1.59827,-1.542663e-002
 47.83500, 1.60735,-1.557724e-002
 47.93500, 1.61647,-1.576524e-002
 48.03500, 1.62560,-1.604841e-002
 48.13500, 1.63476,-1.612874e-002
 48.23500, 1.64393,-1.631305e-002
 48.33500, 1.65315,-1.647744e-002
 48.43500, 1.66239,-1.665067e-002
 48.53500, 1.67165,-1.693914e-002
 48.63500, 1.68094,-1.699012e-002
 48.73500, 1.69026,-1.740795e-002
 48.83500, 1.69959,-1.746247e-002
 48.93500, 1.70895,-1.770682e-002
 49.03500, 1.71833,-1.800981e-002
 49.13500, 1.72773,-1.808368e-002
 49.23500, 1.73716,-1.851029e-002
 49.33500, 1.74662,-1.874917e-002
 49.43500, 1.75608,-1.895094e-002
 49.53500, 1.76559,-1.919125e-002
 49.63500, 1.77512,-1.938254e-002
 49.73500, 1.78467,-1.965083e-002
 49.83500, 1.79423,-1.995683e-002
 49.93500, 1.80381,-2.022355e-002
 50.03500, 1.81341,-2.061754e-002
 50.13500, 1.82303,-2.078245e-002
 50.23500, 1.83268,-2.119170e-002
 50.33500, 1.84235,-2.157842e-002
 50.43500, 1.85204,-2.173129e-002
 50.53500, 1.86175,-2.220722e-002
 50.63500, 1.87147,-2.257158e-002
 50.73500, 1.88123,-2.291940e-002
 50.83500, 1.89100,-2.323896e-002
 50.93500, 1.90079,-2.360240e-002
 51.03500, 1.91059,-2.397468e-002
 51.13500, 1.92043,-2.427750e-002
 51.23500, 1.93027,-2.473906e-002
 51.33500, 1.94014,-2.510953e-002
 51.43500, 1.95002,-2.556487e-002
 51.53500, 1.95992,-2.594680e-002
 51.63500, 1.96982,-2.643445e-002
 51.73500, 1.97974,-2.682246e-002
 51.83500, 1.98970,-2.731645e-002
