#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,LG2.ngb-st9                   
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,PM                            
#DATE/TIME:                  ,17/01/2018 9:46:31 AM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,Frank                         
#REMARK:                     ,                              
#SAMPLE:                     ,LG2                           
#SAMPLE MASS /mg:            ,18.4170                       
#MATERIAL:                   ,zeolite                       
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,164.3530                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/900°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/900°C        

##Temp./°C,Time/min,Mass loss/mg
 32.04800, 0.00000,-1.699158e-003
 32.14800, 0.08141,-2.561080e-003
 32.24800, 0.10140,-2.862236e-003
 32.34800, 0.12532,-3.566458e-003
 32.44800, 0.14573,-3.835416e-003
 32.54800, 0.16383,-3.965828e-003
 32.64800, 0.18035,-3.986744e-003
 32.74800, 0.19581,-3.980957e-003
 32.84800, 0.21063,-3.971395e-003
 32.94800, 0.22512,-4.122287e-003
 33.04800, 0.23951,-3.968360e-003
 33.14800, 0.25388,-3.871641e-003
 33.24800, 0.26827,-3.956591e-003
 33.34800, 0.28263,-3.934722e-003
 33.44800, 0.29692,-3.867316e-003
 33.54800, 0.31108,-3.927942e-003
 33.64800, 0.32506,-4.035990e-003
 33.74800, 0.33878,-4.116244e-003
 33.84800, 0.35225,-4.053225e-003
 33.94800, 0.36546,-4.056214e-003
 34.04800, 0.37842,-4.105517e-003
 34.14800, 0.39111,-4.149020e-003
 34.24800, 0.40359,-4.232534e-003
 34.34800, 0.41582,-4.137565e-003
 34.44800, 0.42787,-4.248651e-003
 34.54800, 0.43972,-4.309543e-003
 34.64800, 0.45140,-4.288220e-003
 34.74800, 0.46293,-4.356876e-003
 34.84800, 0.47430,-4.397220e-003
 34.94800, 0.48555,-4.460231e-003
 35.04800, 0.49666,-4.391958e-003
 35.14800, 0.50766,-4.451807e-003
 35.24800, 0.51852,-4.485057e-003
 35.34800, 0.52928,-4.643866e-003
 35.44800, 0.53993,-4.697265e-003
 35.54800, 0.55047,-4.640594e-003
 35.64800, 0.56090,-4.678777e-003
 35.74800, 0.57122,-4.745842e-003
 35.84800, 0.58144,-4.771873e-003
 35.94800, 0.59155,-4.716769e-003
 36.04800, 0.60157,-4.757623e-003
 36.14800, 0.61148,-4.818646e-003
 36.24800, 0.62131,-4.857463e-003
 36.34800, 0.63107,-4.964404e-003
 36.44800, 0.64074,-4.889066e-003
 36.54800, 0.65034,-4.931433e-003
 36.64800, 0.65988,-4.928329e-003
 36.74800, 0.66934,-5.074026e-003
 36.84800, 0.67874,-5.105295e-003
 36.94800, 0.68808,-5.020414e-003
 37.04800, 0.69736,-5.024846e-003
 37.14800, 0.70658,-5.047939e-003
 37.24800, 0.71575,-5.048736e-003
 37.34800, 0.72488,-5.147355e-003
 37.44800, 0.73394,-5.261181e-003
 37.54800, 0.74297,-5.144865e-003
 37.64800, 0.75195,-5.237485e-003
 37.74800, 0.76090,-5.274411e-003
 37.84800, 0.76979,-5.339396e-003
 37.94800, 0.77865,-5.327861e-003
 38.04800, 0.78747,-5.421808e-003
 38.14800, 0.79625,-5.410263e-003
 38.24800, 0.80500,-5.495758e-003
 38.34800, 0.81371,-5.385306e-003
