#EXPORTTYPE:                 ,DATA COMPARE                   
#FILE:                       ,LG.ngb-st9                     
#FORMAT:                     ,NETZSCH5                       
#FTYPE:                      ,ANSI                           
#IDENTITY:                   ,Saras                          
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,TG                             
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra         
#PROJECT:                    ,PM                             
#DATE/TIME:                  ,15/01/2018 10:13:45 AM (UTC+11)
#CORR. FILE:                 ,                               
#TEMPCAL:                    ,TCALZERO.TCX                   
#LABORATORY:                 ,Capture Lab                    
#OPERATOR:                   ,Frank                          
#REMARK:                     ,                               
#SAMPLE:                     ,LG                             
#SAMPLE MASS /mg:            ,17.9379                        
#MATERIAL:                   ,zeolite                        
#TYPE OF CRUCIBLE:           ,Al2O3                          
#SAMPLE CRUCIBLE MASS /mg:   ,167.6485                       
#REFERENCE CRUCIBLE MASS /mg:,                               
#M.RANGE /mg:                ,2000                           
#CORR. CODE:                 ,090                            
#RANGE:                      ,32°C/10.0(K/min)/900°C         
#SEGMENT:                    ,S1/1                           
#SEG. 1:                     ,32°C/10.0(K/min)/900°C         

##Temp./°C,Mass loss/mg
 31.19800,-1.446608e-003
 31.29800,-2.912187e-003
 31.39800,-3.273114e-003
 31.49800,-3.428267e-003
 31.59800,-3.656203e-003
 31.69800,-3.746887e-003
 31.79800,-3.731262e-003
 31.89800,-3.845842e-003
 31.99800,-3.877243e-003
 32.09800,-4.117145e-003
 32.19800,-4.069771e-003
 32.29800,-4.284120e-003
 32.39800,-4.425855e-003
 32.49800,-4.443585e-003
 32.59800,-4.606693e-003
 32.69800,-4.687674e-003
 32.79800,-4.821244e-003
 32.89800,-4.766491e-003
 32.99800,-4.890731e-003
 33.09800,-5.006610e-003
 33.19800,-4.956981e-003
 33.29800,-5.097875e-003
 33.39800,-5.121826e-003
 33.49800,-5.053446e-003
 33.59800,-5.116820e-003
 33.69800,-5.067904e-003
 33.79800,-5.094099e-003
 33.89800,-5.163122e-003
 33.99800,-4.939443e-003
 34.09800,-5.026788e-003
 34.19800,-5.016816e-003
 34.29800,-5.065748e-003
 34.39800,-4.990861e-003
 34.49800,-4.966348e-003
 34.59800,-5.030034e-003
 34.69800,-5.038439e-003
 34.79800,-5.136003e-003
 34.89800,-5.236731e-003
 34.99800,-5.181323e-003
 35.09800,-5.317199e-003
 35.19800,-5.348373e-003
 35.29800,-5.381106e-003
 35.39800,-5.534623e-003
 35.49800,-5.540206e-003
 35.59800,-5.644542e-003
 35.69800,-5.615127e-003
 35.79800,-5.639043e-003
 35.89800,-5.759788e-003
 35.99800,-5.867776e-003
 36.09800,-5.883813e-003
 36.19800,-6.025170e-003
 36.29800,-6.020269e-003
 36.39800,-5.918481e-003
 36.49800,-6.030414e-003
 36.59800,-6.025290e-003
 36.69800,-6.128520e-003
 36.79800,-6.218414e-003
 36.89800,-6.206532e-003
 36.99800,-6.316975e-003
 37.09800,-6.401267e-003
 37.19800,-6.497786e-003
 37.29800,-6.552546e-003
 37.39800,-6.634357e-003
 37.49800,-6.815788e-003
 37.59800,-6.879710e-003
 37.69800,-6.961538e-003
 37.79800,-7.040498e-003
 37.89800,-7.016717e-003
 37.99800,-7.084726e-003
 38.09800,-7.154752e-003
 38.19800,-7.213860e-003
 38.29800,-7.194034e-003
 38.39800,-7.240549e-003
 38.49800,-7.309501e-003
 38.59800,-7.388735e-003
 38.69800,-7.235432e-003
 38.79800,-7.279293e-003
 38.89800,-7.337173e-003
 38.99800,-7.388852e-003
 39.09800,-7.435383e-003
 39.19800,-7.463140e-003
 39.29800,-7.566758e-003
 39.39800,-7.792138e-003
 39.49800,-7.830026e-003
 39.59800,-7.862260e-003
 39.69800,-7.897589e-003
 39.79800,-8.045923e-003
 39.89800,-8.074826e-003
 39.99800,-8.111129e-003
 40.09800,-8.130912e-003
 40.19800,-8.177099e-003
 40.29800,-8.304067e-003
 40.39800,-8.340503e-003
 40.49800,-8.361304e-003
 40.59800,-8.373582e-003
 40.69800,-8.503737e-003
 40.79800,-8.543339e-003
 40.89800,-8.553004e-003
 40.99800,-8.776886e-003
 41.09800,-8.813061e-003
 41.19800,-8.916777e-003
 41.29800,-9.011099e-003
 41.39800,-9.049513e-003
 41.49800,-9.184068e-003
 41.59800,-9.377686e-003
 41.69800,-9.492844e-003
 41.79800,-9.530504e-003
 41.89800,-9.573878e-003
 41.99800,-9.700792e-003
 42.09800,-9.884006e-003
 42.19800,-1.001189e-002
 42.29800,-1.011526e-002
 42.39800,-1.023757e-002
 42.49800,-1.023537e-002
 42.59800,-1.042647e-002
 42.69800,-1.052121e-002
 42.79800,-1.062222e-002
 42.89800,-1.074010e-002
 42.99800,-1.092903e-002
 43.09800,-1.099885e-002
 43.19800,-1.108689e-002
 43.29800,-1.120364e-002
 43.39800,-1.139078e-002
 43.49800,-1.147274e-002
 43.59800,-1.153778e-002
 43.69800,-1.176972e-002
 43.79800,-1.194754e-002
 43.89800,-1.204498e-002
 43.99800,-1.230353e-002
 44.09800,-1.244680e-002
 44.19800,-1.259900e-002
 44.29800,-1.277760e-002
 44.39800,-1.287205e-002
 44.49800,-1.311929e-002
 44.59800,-1.336269e-002
 44.69800,-1.342596e-002
 44.79800,-1.349316e-002
 44.89800,-1.375787e-002
 44.99800,-1.398373e-002
 45.09800,-1.416519e-002
 45.19800,-1.432761e-002
 45.29800,-1.441251e-002
 45.39800,-1.480851e-002
 45.49800,-1.520210e-002
 45.59800,-1.560339e-002
 45.69800,-1.592648e-002
 45.79800,-1.632704e-002
 45.89800,-1.679496e-002
 45.99800,-1.710546e-002
 46.09800,-1.768483e-002
 46.19800,-1.798418e-002
