#EXPORTTYPE:                 ,DATA SINGLE                   
#FILE:                       ,Mix1.ngb-st9                  
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ANSI                          
#IDENTITY:                   ,Saras                         
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,TG                            
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra        
#PROJECT:                    ,PM                            
#DATE/TIME:                  ,15/01/2018 4:09:11 PM (UTC+11)
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,TCALZERO.TCX                  
#LABORATORY:                 ,Capture Lab                   
#OPERATOR:                   ,Frank                         
#REMARK:                     ,                              
#SAMPLE:                     ,Mix1                          
#SAMPLE MASS /mg:            ,18.0880                       
#MATERIAL:                   ,zeolite                       
#TYPE OF CRUCIBLE:           ,Al2O3                         
#SAMPLE CRUCIBLE MASS /mg:   ,167.8963                      
#REFERENCE CRUCIBLE MASS /mg:,                              
#M.RANGE /mg:                ,2000                          
#CORR. CODE:                 ,090                           
#RANGE:                      ,32°C/10.0(K/min)/900°C        
#SEGMENT:                    ,S1/1                          
#SEG. 1:                     ,32°C/10.0(K/min)/900°C        

##Temp./°C,Time/min,Mass loss/mg
 31.48800, 0.00000,-1.716635e-003
 31.58800, 0.08204,-5.844949e-003
 31.68800, 0.10120,-6.209800e-003
 31.78800, 0.12434,-6.011207e-003
 31.88800, 0.14398,-5.616549e-003
 31.98800, 0.16143,-5.531192e-003
 32.08800, 0.17732,-5.317883e-003
 32.18800, 0.19204,-5.605394e-003
 32.28800, 0.20603,-5.772392e-003
 32.38800, 0.21958,-6.156153e-003
 32.48800, 0.23290,-6.467353e-003
 32.58800, 0.24612,-6.717345e-003
 32.68800, 0.25929,-7.104153e-003
 32.78800, 0.27247,-7.400912e-003
 32.88800, 0.28560,-7.619084e-003
 32.98800, 0.29865,-7.865422e-003
 33.08800, 0.31159,-8.147469e-003
 33.18800, 0.32435,-8.353503e-003
 33.28800, 0.33692,-8.742762e-003
 33.38800, 0.34928,-8.999299e-003
 33.48800, 0.36140,-9.306019e-003
 33.58800, 0.37330,-9.525015e-003
 33.68800, 0.38501,-9.884769e-003
 33.78800, 0.39650,-1.019592e-002
 33.88800, 0.40779,-1.037833e-002
 33.98800, 0.41893,-1.079838e-002
 34.08800, 0.42991,-1.108147e-002
 34.18800, 0.44073,-1.125312e-002
 34.28800, 0.45142,-1.154505e-002
 34.38800, 0.46198,-1.186212e-002
 34.48800, 0.47240,-1.221745e-002
 34.58800, 0.48272,-1.252655e-002
 34.68800, 0.49294,-1.300787e-002
 34.78800, 0.50307,-1.325881e-002
 34.88800, 0.51308,-1.347158e-002
 34.98800, 0.52301,-1.370767e-002
 35.08800, 0.53285,-1.424783e-002
 35.18800, 0.54260,-1.445901e-002
 35.28800, 0.55227,-1.507173e-002
 35.38800, 0.56187,-1.531194e-002
 35.48800, 0.57139,-1.583295e-002
 35.58800, 0.58083,-1.627601e-002
 35.68800, 0.59020,-1.653218e-002
 35.78800, 0.59950,-1.707783e-002
 35.88800, 0.60874,-1.727213e-002
 35.98800, 0.61790,-1.776414e-002
 36.08800, 0.62699,-1.802494e-002
 36.18800, 0.63601,-1.822229e-002
 36.28800, 0.64498,-1.875836e-002
 36.38800, 0.65390,-1.896870e-002
 36.48800, 0.66277,-1.915792e-002
 36.58800, 0.67160,-1.959056e-002
 36.68800, 0.68038,-1.988331e-002
 36.78800, 0.68912,-2.017382e-002
 36.88800, 0.69781,-2.056451e-002
 36.98800, 0.70647,-2.090547e-002
 37.08800, 0.71509,-2.120121e-002
 37.18800, 0.72367,-2.144929e-002
 37.28800, 0.73221,-2.192075e-002
 37.38800, 0.74071,-2.229113e-002
 37.48800, 0.74918,-2.245524e-002
 37.58800, 0.75762,-2.297884e-002
 37.68800, 0.76603,-2.313450e-002
 37.78800, 0.77441,-2.363437e-002
 37.88800, 0.78276,-2.390507e-002
 37.98800, 0.79108,-2.441467e-002
