species_code,plant_part,sample,area,wet_weight,dry_weight
AA,individual,9,40.074,4.294,1.597
AA,individual,2,30.722,3.073,1.119
AA,individual,8,34.164,3.669,1.388
AA,individual,10,46.292,5.66,2.216
AA,individual,3,52.084,6.015,2.222
AA,individual,7,36.786,3.944,1.477
AA,individual,6,39.288,4.702,1.884
AA,individual,4,61.229,6.506,2.69
AA,individual,5,53.975,5.638,2.295
AA,individual,1,38.53,3.281,1.228
BB,twig with leaves,10,30.76,2.618,1.142
BB,twig with leaves,9,54.89,5.827,2.488
BB,twig with leaves,2,38.09,4.754,2.247
BB,twig with leaves,1,19.57,2.208,1.027
BB,twig with leaves,8,16.89,1.466,0.626
BB,twig with leaves,3,26.14,2.311,1.132
BB,twig with leaves,5,20.91,1.968,0.977
BB,twig with leaves,7,45,4.74,2.036
BB,twig with leaves,6,46.08,4.657,2.029
BB,twig with leaves,4,31.07,3.328,1.603
BB,leaf,1,0.023,0.006,0.001
BB,leaf,2,0.027,0.003,NA
BB,leaf,10,0.04,0.006,NA
BB,leaf,9,0.046,0.007,NA
BB,leaf,8,0.043,0.006,NA
BB,leaf,5,0.02,0.002,NA
BB,leaf,6,0.065,0.006,NA
BB,leaf,3,0.004,0.004,NA
BB,leaf,4,0.005,0.004,NA
BB,leaf,7,0.047,0.009,NA
CC,leaf,2,178.041,16.946,1.664
CC,leaf,10,198.619,22.067,2.272
CC,leaf,1,187.225,21.376,2.103
CC,leaf,5,153.768,16.5,1.606
CC,leaf,9,249.106,31.67,3.124
CC,leaf,4,153.389,15.769,1.543
CC,leaf,6,214.3,24.745,2.535
CC,leaf,8,172.019,21.121,1.998
CC,leaf,3,243.779,26.618,2.942
CC,leaf,7,158.389,16.417,1.76
DD,leaf,5,155.497,11.39,3.331
DD,leaf,4,139.117,10.364,3.057
DD,leaf,6,122.284,9.614,2.64
DD,leaf,10,153.458,11.232,3.276
DD,leaf,3,153.81,10.483,3.054
DD,leaf,8,162.7,13.116,3.447
DD,leaf,7,174.049,13.843,3.909
DD,leaf,1,148.748,11.411,3.478
DD,leaf,9,149.046,11.501,3.349
DD,leaf,2,147.749,12.665,3.679
E,individual,10,5.73,0.402,0.041
E,individual,3,5.14,0.395,0.033
E,individual,9,6.57,0.494,0.045
E,individual,7,5.2,0.43,0.026
E,individual,4,7.81,0.59,0.055
E,individual,1,6.86,0.608,0.113
E,individual,8,10.1,0.786,0.079
E,individual,2,5.32,0.423,0.026
E,individual,5,6.48,0.461,0.034
E,individual,6,7.07,0.568,0.065
FF,individual,10,217.32,16.768,5.777
FF,individual,1,172.62,10.878,2.802
FF,individual,5,232.22,17.592,6.507
FF,individual,2,154.19,11.356,2.728
FF,individual,9,149.57,9.588,2.8
FF,individual,6,229.85,17.716,5.623
FF,individual,3,211.18,18.34,5.438
FF,individual,8,209.96,16.58,5.251
FF,individual,4,199.04,16.498,4.145
FF,individual,7,218.88,18.281,5.695
FF,leaf,10,16.85,0.524,0.149
FF,leaf,9,27.6,0.772,0.174
FF,leaf,4,28.51,0.769,0.239
FF,leaf,8,27.84,0.892,0.267
FF,leaf,3,26.16,0.784,0.257
FF,leaf,1,36.19,1.061,0.352
FF,leaf,7,20.47,0.57,0.151
FF,leaf,5,27.28,0.918,0.312
FF,leaf,6,39.64,0.897,0.236
FF,leaf,2,34.38,1.047,0.296
G,leaf,2,108.43,6.789,0.474
G,leaf,3,70.78,3.077,0.206
G,leaf,1,95.78,4.973,0.407
G,leaf,10,72.14,3.051,0.218
G,leaf,9,91.24,6.363,0.662
G,leaf,6,82.49,5.061,0.51
G,leaf,7,82.5,4.672,0.514
G,leaf,4,80.82,3.907,0.378
G,leaf,5,73.6,3.647,0.263
G,leaf,8,67.39,4.435,0.428
H,individual,6,9.74,0.214,0.047
H,individual,8,11.97,0.27,0.042
H,individual,2,13.22,0.325,0.078
H,individual,7,9.46,0.226,0.052
H,individual,10,7.88,0.176,0.028
H,individual,5,11.33,0.257,0.049
H,individual,9,9.05,0.211,0.05
H,individual,1,8.67,0.159,0.037
H,individual,4,10.33,0.183,0.041
H,individual,3,10.37,0.211,0.042
I,individual,10,4.98,3.09,0.925
I,individual,4,3.06,1.517,0.469
I,individual,8,4.06,2.348,0.699
I,individual,1,5,2.501,0.669
I,individual,9,2.86,2.184,0.658
I,individual,3,4,1.624,0.443
I,individual,5,4.22,2.041,0.654
I,individual,6,2.64,0.974,0.28
I,individual,7,3.21,1.471,0.349
I,individual,2,4.55,2.106,0.503
II,individual,1,67.54,7.787,2.762
II,individual,9,62.13,6.348,2.322
II,individual,4,76.25,9.891,3.361
II,individual,5,66.7,7.438,2.576
II,individual,2,53.7,6.113,2.137
II,individual,8,40.17,3.633,1.277
II,individual,3,53.94,5.818,1.942
II,individual,6,72.17,7.922,2.828
II,individual,10,64.17,6.651,2.386
II,individual,7,60.92,6.52,2.368
J,individual,1,102.23,14.325,4.914
J,individual,2,139.30,23.399,7.166
J,individual,5,113.65,17.077,5.646
J,individual,10,86.74,12.125,4.174
J,individual,9,140.43,20.929,7.176
J,individual,4,157.67,24.973,8.186
J,individual,6,125.56,20.785,6.248
J,individual,3,162.27,26.13,8.309
J,individual,8,131.41,21.603,6.568
J,individual,7,120.22,20.844,6.214
JJ,bunch,8,54.74479742,2.045,1.015
JJ,bunch,9,53.41143475,1.899,0.992
JJ,bunch,10,53.7012962,1.928,0.997
JJ,bunch,7,57.93327336,2.133,1.07
JJ,bunch,2,61.1797216,2.161,1.126
JJ,bunch,3,55.61438176,1.828,1.03
JJ,bunch,4,65.46967106,2.243,1.2
JJ,bunch,6,66.80303373,2.476,1.223
JJ,bunch,5,58.57096855,2.163,1.081
JJ,bunch,1,53.00562872,1.82,0.985
JJ,single,6,0.575,0.013,NA
JJ,single,7,0.593,0.021,NA
JJ,single,5,0.445,0.012,NA
JJ,single,4,0.187,0.004,NA
JJ,single,9,0.423,0.014,NA
JJ,single,2,0.428,0.015,NA
JJ,single,10,0.434,0.014,NA
JJ,single,8,0.525,0.01,NA
JJ,single,3,0.46,0.013,NA
JJ,single,1,0.291,0.006,NA
KK,twig with leaves,7,15.07560857,1.645,0.844
KK,twig with leaves,6,14.51771692,1.748,0.812
KK,twig with leaves,5,17.35947751,2.105,0.975
KK,twig with leaves,10,11.86773157,1.302,0.66
KK,twig with leaves,8,11.98977037,1.42,0.667
KK,twig with leaves,9,10.5427389,1.21,0.584
KK,twig with leaves,4,22.11899065,2.655,1.248
KK,twig with leaves,2,19.48643943,2.09,1.097
KK,twig with leaves,1,16.36573301,1.863,0.918
KK,twig with leaves,3,16.1042213,1.814,0.903
KK,leaf,1,0.379,0.008,0.004
KK,leaf,2,0.399,0.01,0.006
KK,leaf,7,0.421,0.016,0.005
KK,leaf,8,0.4,0.014,0.006
KK,leaf,3,0.303,0.016,0.006
KK,leaf,4,0.435,0.014,0.007
KK,leaf,5,0.408,0.018,0.004
KK,leaf,6,0.414,0.011,0.005
KK,leaf,9,0.383,0.012,0.006
KK,leaf,10,0.403,0.011,0.006
LL,individual,3,7.173,0.467,0.197
LL,individual,2,8.755,0.633,0.28
LL,individual,4,9.527,0.642,0.282
LL,individual,1,10.893,0.927,0.416
LL,individual,5,7.48,0.536,0.229
LL,individual,10,10.064,0.622,0.278
LL,individual,7,7.127,0.445,0.19
LL,individual,8,14.985,0.832,0.386
LL,individual,9,14.345,0.78,0.357
LL,individual,6,10.8,0.654,0.295
M,individual,7,20.17,2.198,0.535
M,individual,9,20.09,2.195,0.383
M,individual,6,20.72,2.341,0.48
M,individual,3,19.24,2.027,0.375
M,individual,8,21.57,2.36,0.376
M,individual,5,25.43,2.685,0.454
M,individual,10,23.93,2.528,0.327
M,individual,2,20.11,2.011,0.392
M,individual,4,15.93,1.723,0.315
M,individual,1,21.58,2.45,0.395
MM,individual,1,7.063,0.314,0.079
MM,individual,2,7.846,0.329,0.073
MM,individual,4,9.574,0.482,0.098
MM,individual,3,8.36,0.393,0.091
MM,leaf,1,0.906,0.017,NA
MM,leaf,9,0.361,0.003,NA
MM,leaf,5,0.346,0.013,NA
MM,leaf,2,1.08,0.021,NA
MM,leaf,10,0.765,0.009,NA
MM,leaf,4,0.575,0.011,NA
MM,leaf,6,0.59,0.013,NA
MM,leaf,8,0.532,0.01,NA
MM,leaf,7,0.241,0.011,NA
MM,leaf,3,0.434,0.003,NA
Q,twig with leaves,8,22.84,1.16,0.401
Q,twig with leaves,7,13.57,0.584,0.199
Q,twig with leaves,10,17.3,0.65,0.248
Q,twig with leaves,9,18.45,0.92,0.314
Q,twig with leaves,6,14.55,0.788,0.288
Q,twig with leaves,5,11.97,0.593,0.232
Q,twig with leaves,1,18.33,0.53,0.22
Q,twig with leaves,2,20.04,0.877,0.315
Q,twig with leaves,3,11.17,0.869,0.292
Q,twig with leaves,4,13.06,0.644,0.238
R,leaf,9,23.34,0.605,0.269
R,leaf,3,28.25,0.753,0.336
R,leaf,1,30.59,0.943,0.423
R,leaf,10,26.22,0.744,0.335
R,leaf,8,48.27,1.553,0.75
R,leaf,4,45.77,1.608,0.713
R,leaf,5,34.75,1.247,0.56
R,leaf,7,31.6,1.181,0.537
R,leaf,2,35.61,0.884,0.374
R,leaf,6,29.99,1.2,0.583
S,individual,4,117.08,13.279,6.307
S,individual,3,94.44,11.495,5.357
S,individual,5,80.2,9.242,4.401
S,individual,6,112.35,10.803,5.192
S,individual,7,171.71,18.501,8.753
S,individual,2,98.25,8.773,4.414
S,individual,8,67.81,8.683,3.991
S,individual,1,122.46,14.553,6.913
S,individual,9,77.43,9.446,4.581
S,individual,10,84.54,9.839,4.968
S,leaf,7,85.46,2.14,0.843
S,leaf,8,79.9,1.934,0.817
S,leaf,6,81.4,1.974,0.838
S,leaf,9,49.42,1.188,0.528
S,leaf,10,43.53,0.945,0.386
S,leaf,1,80.15,1.927,0.816
S,leaf,2,54.25,1.375,0.562
S,leaf,5,87.87,20.021,0.869
S,leaf,3,56.05,1.211,0.467
S,leaf,4,65.32,1.792,0.724
T,individual,8,154.03,5.466,1.124
T,individual,9,178.44,6.123,1.265
T,individual,7,164.44,5.774,0.996
T,individual,2,224.32,8.487,1.328
T,individual,10,175.18,6.132,1.097
T,individual,6,183.59,6.737,1.27
T,individual,3,259.33,10.038,1.86
T,individual,4,181.24,6.49,1.247
T,individual,1,209.51,8.025,1.365
T,individual,5,193.16,6.603,1.315
X,individual,2,271.2898524,9.012,3.029
X,individual,3,386.6228827,14.098,5.144
X,individual,6,315.3508871,12.886,3.837
X,individual,7,248.8230871,8.849,2.617
X,individual,4,251.2224504,7.86,2.661
X,individual,5,228.6466232,8.624,2.247
X,individual,1,324.0213135,11.507,3.996
X,individual,8,301.9362652,11.411,3.591
X,individual,9,260.4927176,8.233,2.831
X,individual,10,317.8593124,10.8,3.883
