"sp_abrev" "species" "family" "gf" "SLA" "LDMC" "LNC" "LCC" "HC_1" "HC_2" "CL" "LG" "wt_type"
"67" "A. dealbata" "Acacia dealbata" "Fabaceae" "tree" 0.6 365 3.6 50.2 NA 7.8 8 55.7 "mean"
"49" "A. denticulata" "Alternanthera denticulata" "Amaranthaceae" "forb" 0.54 275 1.3 41.2 NA 15.6 17.4 32.7 "mean"
"37" "B. articulata" "Baumea articulata" "Cyperaceae" "graminoid" 0.2 322 0.6 44.9 NA 21.7 21.5 28.4 "mean"
"85" "B. rubiginosa" "Baumea rubiginosa" "Cyperaceae" "graminoid" 0.24 405 0.2 42.1 NA 24.5 17 27 "mean"
"10" "C. appressa" "Carex appressa" "Cyperaceae" "graminoid" 0.26 396 0.5 42.3 NA 20.6 20 27.7 "mean"
"22" "C. fascicularis" "Carex fascicularis" "Cyperaceae" "graminoid" 0.45 300 0.8 42.2 NA 15.9 18.5 27.1 "mean"
"19" "C. helmsii" "Crassula helmsii" "Crassulaceae" "forb" 1.48 97 0.8 36.4 NA 14.2 8.7 31.3 "mean"
"13" "C. procerum" "Cycnogeton procerum" "Juncaginaceae" "graminoid" 0.9 101 3.2 37.6 NA 9 11.6 37.9 "mean"
"4" "C. eragrostis" "Cyperus eragrostis" "Cyperaceae" "graminoid" 0.42 253 0.6 40.5 5.7 25.3 13 22.9 "mean"
"43" "E. acuta" "Eleocharis acuta" "Cyperaceae" "graminoid" 0.94 158 1.6 41 NA 14.5 18.2 31.9 "mean"
"70" "E. camaldulensis" "Eucalyptus camaldulensis" "Myrtaceae" "tree" 0.72 453 1.4 48.5 NA 15.1 7.2 44 "mean"
"61" "G. filum" "Gahnia filum" "Cyperaceae" "graminoid" 0.22 433 0.2 44.1 NA 22 21.8 27.9 "mean"
"1" "J. amabilis" "Juncus amabilis" "Juncaceae" "graminoid" 0.15 451 0.8 45.3 NA 21.6 17.7 30.5 "mean"
"34" "J. procerus" "Juncus procerus" "Juncaceae" "graminoid" 0.26 352 0.5 43.1 NA 20.5 13.3 32.1 "mean"
"82" "L. australis" "Lycopus australis" "Lamiaceae" "forb" 0.88 326 0.9 45.3 NA 14.4 18.8 34.1 "mean"
"28" "M. drumondii" "Marsilea drummondii" "Marsileaceae" "forb" 2.27 209 1 42.5 4.8 13.8 13.8 30.8 "mean"
"7" "M. ericifolia" "Melaleuca ericifolia" "Myrtaceae" "tree" 0.22 456 0.8 46.7 NA 13.2 7.2 46.2 "mean"
"46" "M. squarrosa" "Melaleuca squarrosa" "Myrtaceae" "tree" 0.18 489 0.7 49.2 1.4 8.1 7 52.8 "mean"
"64" "M. florulenta" "Meuhlenbeckia florulenta" "Polygonaceae" "shrub" 0.09 546 0.9 45 1.5 19.3 16.1 29.6 "mean"
"55" "M. crispatum" "Myriophyllum crispatum" "Haloragaceae" "forb" 0.53 180 1.1 39.3 6.9 14.2 9.2 23.5 "mean"
"76" "N. alba" "Nymphaea alba" "Nymphaeaceae" "forb" 1.5 186 2.8 42.7 NA 13 12.3 35.1 "mean"
"31" "P. distichum" "Paspalum distichum" "Poaceae" "graminoid" 0.07 283 0.3 40.4 NA 17.9 26.5 22.2 "mean"
"79" "P. decipiens" "Persicaria decipiens" "Polygonaceae" "forb" 0.95 176 0.6 43.7 NA 17.2 13 29.8 "mean"
"58" "P. prostrata" "Persicaria prostrata" "Polygonaceae" "forb" 0.97 227 1.1 44.8 NA 20.6 12.8 31.5 "mean"
"73" "P. australis" "Phragmites australis" "Poaceae" "graminoid" 0.19 480 1.2 44.6 NA 18.9 18.3 33.1 "mean"
"52" "R. tetraphyllus" "Restio tetraphyllus" "Restionaceae" "graminoid" 0.35 443 0.1 46.2 NA 22.4 18.5 31.1 "mean"
"25" "R. crispus" "Rumex crispus" "Polygonaceae" "forb" 2.25 87 2.1 39.1 NA 15.4 9.3 31.6 "mean"
"40" "Sphagnum" "Sphagnum sp" "Sphagnaceae" "nonvascular" 0.54 519 0.4 43 NA 17.9 18.4 30.6 "mean"
"16" "T. domingensis" "Typha domingensis" "Typhaceae" "graminoid" 0.45 288 1 43.9 NA 14.3 15.5 35.7 "mean"
