"species_code" "h1" "h2" "h3" "p1" "p2" "p3" "s1" "s2" "s3" "w1" "w2" "w3" "h0" "p0" "s0" "w0"
"1" "JJ" 0.00269124333672411 0.00414353003839259 0.00114892054369578 280 330.721285999133 332.701793406065 0.202691071597761 -0.311750972788443 0.25 61.5562695515763 40.3623917868576 250 NA NA NA NA
"2" "H" 0.00250108506853941 0.00384168911150272 0.00115944398435112 273.766233518307 315.646024150961 330 -0.33 -0.140686671699573 0.2 49.9710091582162 33.5791394773516 250 0.000829860405090552 188.053922333888 -0.200628854231925 54.4508223225076
"3" "A" 0.00394588203582573 0.00579545486933417 0.00116182671801063 266.192457240766 317.298724151828 330 0.125159660195148 0.0135504120776353 0.0943000030039549 51.0254267073146 28.6639285238187 250 NA NA NA NA
"4" "B" 0.00264606531570139 0.00446700393889412 0.000863911297796343 268.962857105732 310.794982699668 330 0.00162876964753824 -0.201574350952731 0.2 90 26.9538589142044 250 0.00156570949018021 193.937498123 -0.322758581768104 33.1444492290158
"5" "C" 0.00337099639732089 0.00680608942766035 0.00105290006803881 267.523909414184 320.545554493109 330 -0.115190175479546 -0.168586562107971 0.111933214569637 57.031298736601 27.3681103726365 250 NA NA NA NA
"6" "DD" 0.00203102786042431 0.00622381306948056 0.00137409377778236 270.099380400381 324.077803794064 330 -0.0059787026676055 -0.285432850589387 0.00783650153093597 67.1124513824856 22.5490064812218 250 NA NA NA NA
"7" "FF" 0.00252763044563888 0.00554661681611183 0.00102419569592447 265.458978711226 318.612163443666 330 -0.33 -0.270094116105904 0.175737812871953 56.7697749870166 30.5140192364388 250 NA NA NA NA
"8" "I" 0.00324241950107299 0.00482909610214136 0.000849516956539111 274.626762257097 315.722185484441 343.968310304113 -0.33 -0.28702441070251 0.0292681473031961 50 50 250 NA NA NA NA
"9" "II" 0.00288612757360485 0.00446897426630032 0.00122296224348374 268.808590506494 322.273983702534 330 0.218636615893756 0.054071795008014 0.0996518591219759 65.5013844723927 27.9032635531853 250 NA NA NA NA
"10" "J" 0.00367574871929708 0.00723714723932907 0.00107247314289733 263.084062729676 317.338058986024 330 -0.0145908192080282 -0.226478823082771 0.172345171609935 55.4877499375821 27.4276395991154 250 NA NA NA NA
"11" "K" 0.00241624101708772 0.0057347945150215 0.00121777049405003 269.563220593163 319.031438865223 330 -0.0793937378547468 -0.0606193999270494 0.0718156338975741 56.1142569359081 29.7245505782121 250 NA NA NA NA
