"species_code" "HC_1" "HC_2" "CL" "LG" "wt_type"
"1" "A" NA "21.5530142" "1.768445e+01" "30.48567" "mean"
"2.5%" "A" NA "20.4452073" "1.674543e+01" "29.28383" "2.5%"
"97.5%" "A" NA "22.7231642" "1.865794e+01" "31.58651" "97.5%"
"11" "B" " 5.72830447" "25.3499298" "1.300618e+01" "22.93139" "mean"
"2.5%1" "B" " 4.89559900" "21.4772615" "1.211428e+01" "18.32536" "2.5%"
"97.5%1" "B" " 6.67656561" "29.4239449" "1.397194e+01" "27.46963" "97.5%"
"12" "BB" NA "13.2342662" "7.190026e+00" "46.24237" "mean"
"2.5%2" "BB" NA "10.2799384" "6.168361e+00" "43.36792" "2.5%"
"97.5%2" "BB" NA "16.7038884" "8.302331e+00" "48.81812" "97.5%"
"13" "C" NA "20.5627624" "2.003211e+01" "27.68408" "mean"
"2.5%3" "C" NA "18.8932175" "1.859205e+01" "25.90105" "2.5%"
"97.5%3" "C" NA "22.3100292" "2.164874e+01" "29.46542" "97.5%"
"14" "CC" NA " 8.9697355" "1.159560e+01" "37.85325" "mean"
"2.5%4" "CC" NA " 7.8880549" "1.069945e+01" "36.13450" "2.5%"
"97.5%4" "CC" NA "10.2168185" "1.254572e+01" "39.70850" "97.5%"
"15" "DD" NA "14.3389633" "1.552837e+01" "35.74146" "mean"
"2.5%5" "DD" NA "12.7661608" "1.468921e+01" "34.39393" "2.5%"
"97.5%5" "DD" NA "15.9376598" "1.642995e+01" "37.11653" "97.5%"
"16" "E" NA "14.2127307" "8.658037e+00" "31.31413" "mean"
"2.5%6" "E" NA " 0.6188009" "4.411843e-03" "29.53175" "2.5%"
"97.5%6" "E" NA "29.7432373" "2.976619e+01" "33.28911" "97.5%"
"17" "FF" NA "15.8771188" "1.849638e+01" "27.12056" "mean"
"2.5%7" "FF" NA "13.5378330" "1.680007e+01" "24.90198" "2.5%"
"97.5%7" "FF" NA "18.2554406" "2.056423e+01" "29.30208" "97.5%"
"18" "G" NA "15.4144122" "9.312720e+00" "31.57881" "mean"
"2.5%8" "G" NA "11.8959245" "7.008015e+00" "26.01731" "2.5%"
"97.5%8" "G" NA "19.8052892" "1.173157e+01" "36.31204" "97.5%"
"19" "H" " 4.81500105" "13.8351936" "1.383007e+01" "30.77974" "mean"
"2.5%9" "H" " 2.75696997" " 6.1320728" "6.671049e+00" "26.01920" "2.5%"
"97.5%9" "H" " 6.93135953" "23.5801761" "2.512352e+01" "35.77977" "97.5%"
"110" "I" NA "17.9465214" "2.647716e+01" "22.22748" "mean"
"2.5%10" "I" NA " 7.0530617" "1.627700e+01" "20.17850" "2.5%"
"97.5%10" "I" NA "30.6002516" "3.978939e+01" "24.37713" "97.5%"
"111" "II" NA "20.4730382" "1.328792e+01" "32.10981" "mean"
"2.5%11" "II" NA "18.3340292" "1.236016e+01" "30.00108" "2.5%"
"97.5%11" "II" NA "22.9061211" "1.424460e+01" "34.04408" "97.5%"
"112" "J" NA "21.7124278" "2.152398e+01" "28.38867" "mean"
"2.5%12" "J" NA "19.9915355" "2.008458e+01" "26.73759" "2.5%"
"97.5%12" "J" NA "23.7043385" "2.316152e+01" "29.99080" "97.5%"
"113" "JJ" NA "17.8975137" "1.843755e+01" "30.64115" "mean"
"2.5%13" "JJ" NA "13.4502762" "1.531051e+01" "28.63112" "2.5%"
"97.5%13" "JJ" NA "22.8460069" "2.221426e+01" "32.45542" "97.5%"
"114" "K" NA "14.4654860" "1.816941e+01" "31.86826" "mean"
"2.5%14" "K" NA "12.5313646" "1.639984e+01" "30.33611" "2.5%"
"97.5%14" "K" NA "16.5008112" "2.012319e+01" "33.55470" "97.5%"
"115" "KK" " 1.43675425" " 8.1226441" "6.984848e+00" "52.84456" "mean"
"2.5%15" "KK" " 0.06326828" " 5.4423991" "6.159443e+00" "25.33587" "2.5%"
"97.5%15" "KK" "34.73649201" "25.1039313" "8.395358e+00" "59.09740" "97.5%"
"116" "L" NA "15.6022590" "1.738836e+01" "32.70467" "mean"
"2.5%16" "L" NA " 8.3972325" "1.309421e+01" "26.27653" "2.5%"
"97.5%16" "L" NA "26.1350625" "2.243846e+01" "39.05446" "97.5%"
"117" "LL" NA "22.4070329" "1.847555e+01" "31.13015" "mean"
"2.5%17" "LL" NA "21.3750146" "1.784007e+01" "30.03252" "2.5%"
"97.5%17" "LL" NA "23.4228027" "1.914307e+01" "32.30526" "97.5%"
"118" "M" " 6.93256994" "14.1935223" "9.245688e+00" "23.53595" "mean"
"2.5%18" "M" " 0.20841717" " 1.0662702" "5.661572e+00" "17.92591" "2.5%"
"97.5%18" "M" "30.97438006" "23.5683967" "1.278077e+01" "28.53611" "97.5%"
"119" "MM" NA "20.6075808" "1.279775e+01" "31.48820" "mean"
"2.5%19" "MM" NA " 5.7481325" "1.425085e+00" "27.15456" "2.5%"
"97.5%19" "MM" NA "35.6264910" "3.479352e+01" "35.58587" "97.5%"
"120" "N" NA "21.9873296" "2.177194e+01" "27.87121" "mean"
"2.5%20" "N" NA " 0.8994182" "1.842087e+00" "25.86843" "2.5%"
"97.5%20" "N" NA "57.6925152" "6.847452e+01" "29.91549" "97.5%"
"121" "NN" " 1.54751905" "19.2945781" "1.606818e+01" "29.64864" "mean"
"2.5%21" "NN" " 0.05111764" "10.7780924" "1.395276e+01" "18.42010" "2.5%"
